policy,comparison,subset,locality,rows,model_error,reference_error,gain_percent,model_p95,model_p99,reference_p95
half0__global,ADE_vs_floor4,all,eu-locality-008,157961,17.394408948418924,17.466975925577778,0.4154524370334145,61.15555508688983,126.2161732321477,61.24959048903298
half0__global,ADE_vs_floor4,all,eu-locality-020,1225,6.48082357659422,6.448501284113131,-0.5012372806797893,20.578926997737675,47.8928622689107,20.950455289077674
half0__global,ADE_vs_floor4,all,eu-locality-048,8058,25.24785815123181,25.2057165027749,-0.16719083725420525,86.22211666927359,151.59669850272,86.31775306667878
half0__global,ADE_vs_floor4,all,eu-locality-067,6903,26.830782712823062,27.401641879979564,2.0833027803840776,88.52599234520865,156.9247662910197,88.7408126959883
half0__global,ADE_vs_floor4,all,eu-locality-074,102348,18.379503612028127,18.62450223451202,1.31546400219974,61.15081522478719,127.35695537598392,61.509130432529204
half0__global,ADE_vs_floor4,all,eu-locality-082,1368,13.228623780123337,13.174770524047632,-0.40876048639637563,51.49383861322664,100.33835734515218,50.57497731631109
half0__global,ADE_vs_floor4,all,eu-locality-112,5004,23.352864853220638,23.65488959344297,1.2767962371130759,83.82489639062909,182.57109000452257,83.91872194267576
half0__global,ADE_vs_floor4,all,eu-locality-126,5790,18.60988177099383,18.76141831163623,0.807703011175942,82.48422337046588,153.56414102499878,82.1707199959473
half0__global,ADE_vs_floor4,easy,eu-locality-008,39889,1.6281630388498416,1.7241720949012762,5.568414912603714,3.0087410737318994,3.395417548087515,3.1033643965504147
half0__global,ADE_vs_floor4,easy,eu-locality-020,593,1.2590030400318593,1.2736100237440386,1.1468961016213752,3.0839725886684093,4.488365884976389,3.0839156726310635
half0__global,ADE_vs_floor4,easy,eu-locality-048,1582,1.629987574510803,1.6938727305913583,3.7715440438227055,3.078559688072969,3.7384859155582353,3.091778570545298
half0__global,ADE_vs_floor4,easy,eu-locality-067,1219,1.5794496165080039,1.611886085015975,2.012330077757929,3.126949156780998,3.459253775206729,3.1321490509109946
half0__global,ADE_vs_floor4,easy,eu-locality-074,17048,1.959689420361742,2.009092341676263,2.458967180836613,3.384683129633164,6.063236593169677,3.3126905574851873
half0__global,ADE_vs_floor4,easy,eu-locality-082,513,1.5047741119595985,1.578078341351625,4.6451578144873,2.964743488814622,3.399770284704364,3.0061798004979905
half0__global,ADE_vs_floor4,easy,eu-locality-112,571,1.9668280434867027,2.024035064897236,2.8263848982990725,3.2254898507179885,4.0894316080669295,3.2155185149690704
half0__global,ADE_vs_floor4,easy,eu-locality-126,2160,1.3201465420221363,1.415028582644297,6.705309121378478,2.889798245325956,3.400895628752034,2.9758368738441074
half0__global,ADE_vs_floor4,hard,eu-locality-008,28100,57.42482505470191,57.62387890293079,0.3454363920280201,132.10120691383332,221.45804714909536,132.8382820550419
half0__global,ADE_vs_floor4,hard,eu-locality-020,30,45.226313929035264,43.04818478161064,-5.05974678949781,65.92653088633897,69.65016417684733,64.72063289570352
half0__global,ADE_vs_floor4,hard,eu-locality-048,2478,60.08330617371367,60.05940424544668,-0.039797145122033584,129.9574687442872,214.3711837116651,129.96960939889047
half0__global,ADE_vs_floor4,hard,eu-locality-067,2296,59.731711401668306,61.33773875305253,2.618334787087817,134.92211300701905,204.06893802959559,137.54280661418298
