rank,type,min_all_gain,min_hard_gain,easy_max,min_sep,margin,eligible,score,selected_slices,val_all,val_t50,val_t100,val_hard,val_easy,val_near005,val_switch
1,all_hard_proximity_full_waypoint_repair,-0.005,-0.005,0.02,0.05,0.0,True,0.16265142921326084,"ETH_UCY|50,ETH_UCY|100",0.028380013127622394,0.018225153486102097,0.055177188263861754,0.0318802074713711,0.001301247136421546,0.0,0.13592834610184767
2,all_hard_proximity_full_waypoint_repair,-0.005,0.0,0.02,0.05,0.0,True,0.16265142921326084,"ETH_UCY|50,ETH_UCY|100",0.028380013127622394,0.018225153486102097,0.055177188263861754,0.0318802074713711,0.001301247136421546,0.0,0.13592834610184767
3,all_hard_proximity_full_waypoint_repair,-0.005,0.0025,0.02,0.05,0.0,True,0.16265142921326084,"ETH_UCY|50,ETH_UCY|100",0.028380013127622394,0.018225153486102097,0.055177188263861754,0.0318802074713711,0.001301247136421546,0.0,0.13592834610184767
4,all_hard_proximity_full_waypoint_repair,-0.005,0.005,0.02,0.05,0.0,True,0.16265142921326084,"ETH_UCY|50,ETH_UCY|100",0.028380013127622394,0.018225153486102097,0.055177188263861754,0.0318802074713711,0.001301247136421546,0.0,0.13592834610184767
5,all_hard_proximity_full_waypoint_repair,-0.005,0.01,0.02,0.05,0.0,True,0.16265142921326084,"ETH_UCY|50,ETH_UCY|100",0.028380013127622394,0.018225153486102097,0.055177188263861754,0.0318802074713711,0.001301247136421546,0.0,0.13592834610184767
6,all_hard_proximity_full_waypoint_repair,-0.005,0.02,0.02,0.05,0.0,True,0.16265142921326084,"ETH_UCY|50,ETH_UCY|100",0.028380013127622394,0.018225153486102097,0.055177188263861754,0.0318802074713711,0.001301247136421546,0.0,0.13592834610184767
7,all_hard_proximity_full_waypoint_repair,0.0,-0.005,0.02,0.05,0.0,True,0.16265142921326084,"ETH_UCY|50,ETH_UCY|100",0.028380013127622394,0.018225153486102097,0.055177188263861754,0.0318802074713711,0.001301247136421546,0.0,0.13592834610184767
8,all_hard_proximity_full_waypoint_repair,0.0,0.0,0.02,0.05,0.0,True,0.16265142921326084,"ETH_UCY|50,ETH_UCY|100",0.028380013127622394,0.018225153486102097,0.055177188263861754,0.0318802074713711,0.001301247136421546,0.0,0.13592834610184767
9,all_hard_proximity_full_waypoint_repair,0.0,0.0025,0.02,0.05,0.0,True,0.16265142921326084,"ETH_UCY|50,ETH_UCY|100",0.028380013127622394,0.018225153486102097,0.055177188263861754,0.0318802074713711,0.001301247136421546,0.0,0.13592834610184767
10,all_hard_proximity_full_waypoint_repair,0.0,0.005,0.02,0.05,0.0,True,0.16265142921326084,"ETH_UCY|50,ETH_UCY|100",0.028380013127622394,0.018225153486102097,0.055177188263861754,0.0318802074713711,0.001301247136421546,0.0,0.13592834610184767
