rank,mode,min_sep,margin,alpha,safe_min_sep,strength,val_score,val_all,val_t50,val_hard,val_easy,val_base_near005,val_final_near005
1,repel_unsafe,0.08,0.0,,,0.5,1.9103557229981505,0.44156489895599793,0.47594484424243677,0.4372599087028438,-0.28703887951299933,0.015512022868673281,0.004371952244829325
2,repel_unsafe,0.08,0.005,,,0.5,1.9103557229981505,0.44156489895599793,0.47594484424243677,0.4372599087028438,-0.28703887951299933,0.015512022868673281,0.004371952244829325
3,repel_unsafe,0.08,0.01,,,0.5,1.9103557229981505,0.44156489895599793,0.47594484424243677,0.4372599087028438,-0.28703887951299933,0.015512022868673281,0.004371952244829325
4,repel_unsafe,0.08,0.0,,,0.25,1.9100842565025813,0.44159295937438214,0.4754276330389221,0.4372914545920613,-0.2874460844174852,0.015512022868673281,0.007146460400201783
5,repel_unsafe,0.08,0.005,,,0.25,1.9100842565025813,0.44159295937438214,0.4754276330389221,0.4372914545920613,-0.2874460844174852,0.015512022868673281,0.007146460400201783
6,repel_unsafe,0.08,0.01,,,0.25,1.9100842565025813,0.44159295937438214,0.4754276330389221,0.4372914545920613,-0.2874460844174852,0.015512022868673281,0.007146460400201783
7,repel_unsafe,0.12,0.0,,,0.25,1.9092935305113856,0.44097120508749554,0.4768567512067404,0.4366578308108152,-0.28696829075200025,0.015512022868673281,0.00496048427778712
8,repel_unsafe,0.12,0.005,,,0.25,1.9092935305113856,0.44097120508749554,0.4768567512067404,0.4366578308108152,-0.28696829075200025,0.015512022868673281,0.00496048427778712
9,repel_unsafe,0.12,0.01,,,0.25,1.9092935305113856,0.44097120508749554,0.4768567512067404,0.4366578308108152,-0.28696829075200025,0.015512022868673281,0.00496048427778712
10,repel_unsafe,0.05,0.0,,,0.5,1.9080464636954015,0.4412285644596943,0.4744157741912838,0.4369208588654141,-0.28723926586054227,0.015512022868673281,0.012779552715654952
11,repel_unsafe,0.05,0.005,,,0.5,1.9080464636954015,0.4412285644596943,0.4744157741912838,0.4369208588654141,-0.28723926586054227,0.015512022868673281,0.012779552715654952
