metric,stage42i_full,no_aux,full_minus_no_aux
ade_all,-0.01055804004793807,-0.0023389398251364435,-0.008219100222801626
ade_t50,-0.03208177658024658,-0.03744290181012914,0.005361125229882559
ade_hard_failure,-0.011590796127162406,-0.0025638694532068573,-0.009026926673955549
fde_t50,0.020136199116103242,0.01505192049654395,0.005084278619559292
