kind,name,rows,ade_all,ade_all_ci_low,ade_t50,ade_t50_ci_low,ade_hard_failure,easy_degradation_ci_high,fde_t50,fde_t50_ci_low
domain,ETH_UCY,25901,0.04281715910154604,0.02191697492888833,0.017092525274558956,-0.013218100958604987,0.04432023342536003,0.004777781489251657,0.059435135650619385,-0.04199023614248535
domain,TrajNet,20087,0.1026352681873121,0.05628118098923323,0.0974649986079477,0.07310199412909509,0.10892024629281671,0.010288197075049882,0.23541252454524778,0.20113861104353362
domain,UCY,9540,0.19609079475331423,0.10793474903048775,0.12289185352519343,0.03123017667060067,0.20736023721199923,0.0,0.29223556763373615,0.20177053075863066
horizon,10,16726,0.20145268922891502,0.15723432816102637,0.0,0.0,0.2120068862548028,0.0,0.0,0.0
horizon,25,15208,-0.004781149088858072,-0.009699414723418013,0.0,0.0,-0.009892633761499367,0.0003935264699250733,0.0,0.0
horizon,50,13689,0.06109367671246102,0.05367075264893123,0.06109367671246102,0.05367075264893123,0.06109367671246102,0.012703091081153611,0.1537620890856707,0.12238352439618314
horizon,100,9905,0.08153326024168321,0.0527811719773623,0.0,0.0,0.08153326024168321,0.03124761092545726,0.0,0.0
