kind,name,rows,ade_all,ade_all_ci_low,ade_t50,ade_t50_ci_low,ade_hard_failure,easy_degradation_ci_high,switch_rate
horizon,10,16726,0.20145268922891502,0.15723432816102637,0.0,0.0,0.2120068862548028,0.0,0.3728127864801307
horizon,25,15208,0.0,0.0,0.0,0.0,0.0,0.0,0.0
horizon,50,13689,0.06109367671246102,0.05367075264893123,0.06109367671246102,0.05367075264893123,0.06109367671246102,0.012703091081153611,0.27330946989066646
horizon,100,9905,0.08153326024168321,0.0527811719773623,0.0,0.0,0.08153326024168321,0.03124761092545726,0.2763250883392226
domain_horizon,ETH_UCY|10,7223,0.14054095935930547,0.08643102425037913,0.0,0.0,0.15483859200295244,0.0,0.3096589598043287
domain_horizon,ETH_UCY|100,5433,0.02637860412148459,0.005792546866137192,0.0,0.0,0.02637860412148459,0.0,0.14651205595435304
domain_horizon,ETH_UCY|25,6823,0.0,0.0,0.0,0.0,0.0,0.0,0.0
domain_horizon,ETH_UCY|50,6422,0.017092525274558956,-0.013218100958604987,0.017092525274558956,-0.013218100958604987,0.017092525274558956,0.02245710289154866,0.13749610713173469
domain_horizon,TrajNet|10,6443,0.18592937079227193,0.06884988340878989,0.0,0.0,0.19192909927123178,0.0,0.31284598272026487
domain_horizon,TrajNet|100,3032,0.09875907078956987,0.00013534692415026472,0.0,0.0,0.09875907078956987,0.09673888851207463,0.31651275285839925
domain_horizon,TrajNet|25,5685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
domain_horizon,TrajNet|50,4927,0.0974649986079477,0.07310199412909509,0.0974649986079477,0.07310199412909509,0.0974649986079477,0.012953553917164455,0.30255057167985927
domain_horizon,UCY|10,3060,0.36895573772764734,0.1936275600316101,0.0,0.0,0.3818924459884416,0.0,0.6481481481481483
domain_horizon,UCY|100,1440,0.21388011127028828,0.14507307653059948,0.0,0.0,0.21388011127028828,0.0,0.6814814814814815
domain_horizon,UCY|25,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
domain_horizon,UCY|50,2340,0.12289185352519343,0.03123017667060067,0.12289185352519343,0.03123017667060067,0.12289185352519343,0.0,0.5844729344729345
