slice,domain,horizon,rows,status,ade_all,ade_all_ci_low,ade_t50,ade_t50_ci_low,fde_t50,fde_t50_ci_low,hard_failure,hard_failure_ci_low,easy_degradation_ci_high,switch_rate
ETH_UCY|10,ETH_UCY,10,7223,positive_supported,0.14054095935930547,0.096360382348646,0.0,0.0,0.0,0.0,0.15483859200295244,0.1097962687096174,0.0,0.3096589598043287
ETH_UCY|100,ETH_UCY,100,5433,positive_supported,0.02637860412148459,0.009570158757711032,0.0,0.0,0.0,0.0,0.02637860412148459,0.009570158757711032,0.0,0.14651205595435304
ETH_UCY|25,ETH_UCY,25,6823,floor_non_harm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH_UCY|50,ETH_UCY,50,6422,positive_supported,0.024635928198443218,0.002820688160982139,0.024635928198443218,0.002820688160982139,0.10547615864239786,0.021040393452369632,0.024635928198443218,0.002820688160982139,0.0,0.20730821135679434
TrajNet|10,TrajNet,10,6443,positive_supported,0.18592937079227193,0.090334369646888,0.0,0.0,0.0,0.0,0.19192909927123178,0.10041313139822212,0.0,0.31284598272026487
TrajNet|100,TrajNet,100,3032,safety_limited,0.09875907078956987,0.018233137455094597,0.0,0.0,0.0,0.0,0.09875907078956987,0.018233137455094597,0.08498424090178214,0.31651275285839925
TrajNet|25,TrajNet,25,5685,floor_non_harm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TrajNet|50,TrajNet,50,4927,positive_supported,0.0974649986079477,0.07757268874983766,0.0974649986079477,0.07757268874983766,0.23541252454524778,0.20742799135608553,0.0974649986079477,0.07757268874983766,0.011379580265625272,0.30255057167985927
UCY|10,UCY,10,3060,positive_supported,0.36895573772764734,0.2258008800985441,0.0,0.0,0.0,0.0,0.3818924459884416,0.23163508595706409,0.0,0.6481481481481483
UCY|100,UCY,100,1440,positive_supported,0.21388011127028828,0.15769940266155708,0.0,0.0,0.0,0.0,0.21388011127028828,0.15769940266155708,0.0,0.6814814814814815
UCY|25,UCY,25,2700,floor_non_harm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCY|50,UCY,50,2340,positive_supported,0.12289185352519343,0.04805040777131636,0.12289185352519343,0.04805040777131636,0.29223556763373615,0.21837117433171183,0.12289185352519343,0.04805040777131636,0.0,0.5844729344729345
