slice,rows,ade_all,ade_all_ci_low,ade_t100,ade_t100_ci_low,hard_failure,hard_failure_ci_low,easy_degradation_ci_high,switch_rate
ETH_UCY|10,7223,0.14054095935930547,0.096360382348646,0.0,0.0,0.15483859200295244,0.1097962687096174,0.0,0.3096589598043287
ETH_UCY|100,5433,0.02637860412148459,0.009570158757711032,0.02637860412148459,0.009570158757711032,0.02637860412148459,0.009570158757711032,0.0,0.14651205595435304
ETH_UCY|25,6823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH_UCY|50,6422,0.024635928198443218,0.002820688160982139,0.0,0.0,0.024635928198443218,0.002820688160982139,0.0,0.20730821135679434
TrajNet|10,6443,0.18592937079227193,0.090334369646888,0.0,0.0,0.19192909927123178,0.10041313139822212,0.0,0.31284598272026487
TrajNet|100,3032,0.11720354460558946,0.048714385704072966,0.11720354460558946,0.048714385704072966,0.11720354460558946,0.048714385704072966,0.0,0.3332233948988566
TrajNet|25,5685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TrajNet|50,4927,0.0974649986079477,0.07757268874983766,0.0,0.0,0.0974649986079477,0.07757268874983766,0.011379580265625272,0.30255057167985927
UCY|10,3060,0.36895573772764734,0.2258008800985441,0.0,0.0,0.3818924459884416,0.23163508595706409,0.0,0.6481481481481483
UCY|100,1440,0.21388011127028828,0.15769940266155708,0.21388011127028828,0.15769940266155708,0.21388011127028828,0.15769940266155708,0.0,0.6814814814814815
UCY|25,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCY|50,2340,0.12289185352519343,0.04805040777131636,0.0,0.0,0.12289185352519343,0.04805040777131636,0.0,0.5844729344729345
