variant,seed,source,feature_dim,dropped_feature_count,all_improvement,t50_improvement,t100_raw_frame_diagnostic_improvement,hard_failure_improvement,easy_degradation,selector_regret,switch_rate
full_retrained_external,11,fresh_run,177,0,0.8122114532625723,0.8462394413584415,0.9527150912578739,0.8458915435912138,-0.841224034410694,0.7154200891408725,0.3499992458863098
full_retrained_external,17,fresh_run,177,0,0.8122311212113629,0.8463543750123302,0.9527142853275348,0.8458580947213095,-0.8412578331742688,0.7152907288990287,0.3499992458863098
full_retrained_external,23,fresh_run,177,0,0.8122058909530551,0.8458586286295349,0.9526940985430912,0.8459026900473178,-0.8413436239545747,0.7154566736221533,0.3499992458863098
no_history,11,fresh_run,52,125,0.8218140770558109,0.8542308094915407,0.9532151603861716,0.8637090495660165,-0.7898278343955223,0.6522616098578679,0.3499992458863098
no_history,17,fresh_run,52,125,0.821818393140257,0.8539965638484358,0.9530558484572381,0.8637940139556244,-0.7892508651247483,0.6522332220613717,0.3499992458863098
no_history,23,fresh_run,52,125,0.8218588113965081,0.8542981825158456,0.9532654925084403,0.8637184930296486,-0.7901703989392665,0.6519673826767349,0.3499992458863098
no_neighbor,11,fresh_run,170,7,0.8088872933870155,0.8459680295197064,0.9530363897899187,0.8424779654614771,-0.839651642790867,0.7372837888082052,0.3499992458863098
no_neighbor,17,fresh_run,170,7,0.8087081513488109,0.8459436927408008,0.9530511554551742,0.8422879848029069,-0.8397931529224375,0.7384620437260563,0.3499992458863098
no_neighbor,23,fresh_run,170,7,0.8089558507762127,0.8460399423874421,0.9530466582218943,0.8425272028798604,-0.8399798918285003,0.7368328724192531,0.3499992458863098
no_goal,11,fresh_run,158,19,0.8025052891663359,0.8460359342959893,0.95268394334029,0.8349564064866001,-0.8413876768117974,0.7792595748053257,0.3499992458863098
no_goal,17,fresh_run,158,19,0.802471591340942,0.8459533142483505,0.9526793458596153,0.834910419065931,-0.8416887442481178,0.779481212500694,0.3499992458863098
no_goal,23,fresh_run,158,19,0.8026093679016413,0.8460743472290704,0.9526770110645761,0.8350628062380878,-0.8416092508452249,0.7785750270411811,0.3499992458863098
no_scene_goal,11,fresh_run,158,19,0.8025052891663359,0.8460359342959893,0.95268394334029,0.8349564064866001,-0.8413876768117974,0.7792595748053257,0.3499992458863098
no_scene_goal,17,fresh_run,158,19,0.802471591340942,0.8459533142483505,0.9526793458596153,0.834910419065931,-0.8416887442481178,0.779481212500694,0.3499992458863098
no_scene_goal,23,fresh_run,158,19,0.8026093679016413,0.8460743472290704,0.9526770110645761,0.8350628062380878,-0.8416092508452249,0.7785750270411811,0.3499992458863098
no_interaction,11,fresh_run,170,7,0.8088872933870155,0.8459680295197064,0.9530363897899187,0.8424779654614771,-0.839651642790867,0.7372837888082052,0.3499992458863098
no_interaction,17,fresh_run,170,7,0.8087081513488109,0.8459436927408008,0.9530511554551742,0.8422879848029069,-0.8397931529224375,0.7384620437260563,0.3499992458863098
no_interaction,23,fresh_run,170,7,0.8089558507762127,0.8460399423874421,0.9530466582218943,0.8425272028798604,-0.8399798918285003,0.7368328724192531,0.3499992458863098
no_domain_expert,11,fresh_run,174,3,0.8122077643821717,0.8462113279547192,0.9527155784340574,0.8458875210789134,-0.841224034410694,0.7154443516842536,0.3499992458863098
no_domain_expert,17,fresh_run,174,3,0.8122311212113629,0.8463543750123302,0.9527142853275348,0.8458580947213095,-0.8412578331742688,0.7152907288990287,0.3499992458863098
no_domain_expert,23,fresh_run,174,3,0.8122058909530551,0.8458586286295349,0.9526940985430912,0.8459026900473178,-0.8413436239545747,0.7154566736221533,0.3499992458863098
no_transformer_proxy_history_sequence,11,fresh_run,65,112,0.8177834506628253,0.8529168875990841,0.9497437458869664,0.8597358064992728,-0.8048066677648801,0.678771888612947,0.3499992458863098
no_transformer_proxy_history_sequence,17,fresh_run,65,112,0.8181741672560869,0.8528572805310116,0.950701423289316,0.8602837167106286,-0.8043758572464678,0.6762020632826644,0.3499992458863098
no_transformer_proxy_history_sequence,23,fresh_run,65,112,0.8176534630262215,0.8526418470329772,0.949809615670578,0.8596269382807376,-0.8050308873787555,0.6796268446781075,0.3499992458863098
no_safe_switch,11,fresh_run,177,0,0.7909844679668284,0.9054124289725047,0.9559833911429533,0.8011533659475965,-0.9109233012843603,0.855034442458127,0.9612385563247515
no_safe_switch,17,fresh_run,177,0,0.7902714157286026,0.9054363263281542,0.9559756235709995,0.800397299188329,-0.9111658135118457,0.8597243372187018,0.9619172586459135
no_safe_switch,23,fresh_run,177,0,0.7912267531311017,0.9050271635748078,0.9559741945921514,0.8014734771492223,-0.9108987073760304,0.8534408819003231,0.9620982459315567
no_teacher_floor_proxy,11,fresh_run,177,0,0.7909844679668284,0.9054124289725047,0.9559833911429533,0.8011533659475965,-0.9109233012843603,0.855034442458127,0.9612385563247515
no_teacher_floor_proxy,17,fresh_run,177,0,0.7902714157286026,0.9054363263281542,0.9559756235709995,0.800397299188329,-0.9111658135118457,0.8597243372187018,0.9619172586459135
no_teacher_floor_proxy,23,fresh_run,177,0,0.7912267531311017,0.9050271635748078,0.9559741945921514,0.8014734771492223,-0.9108987073760304,0.8534408819003231,0.9620982459315567
