view,site,seed,action,policy,cutoff,selected,complete_selected,incomplete_selected,easy_selected,zero_CV_harmed,predicted_harm,observed_positive_harm,observed_easy_benefit,observed_net_easy_harm,predicted_selected_denominator,observed_selected_denominator,observed_population_denominator,predicted_positive_selected_ratio,observed_positive_selected_ratio,observed_net_selected_ratio,observed_positive_population_ratio,observed_net_population_ratio,benefit_cancels_positive_harm_percent,predicted_to_observed_harm,predicted_to_observed_denominator
coupa_seed17,coupa,17,damped_velocity_005,net_stop,6.246571682255203,6980,6045,935,779,0,3203.3195809606946,2743.6445859188375,667.1754938845852,2076.4690920342523,4277.954642904295,3718.977949275846,22379.510980131203,74.87969949082881,73.77415578527633,55.83440182640984,12.25962706850332,9.278438183380175,24.317125377999727,1.1675417426152934,1.150303847253865
coupa_seed17,coupa,17,damped_velocity_005,strict_stop,6.246571682255203,4098,3754,344,578,0,523.625936499867,316.36882945744753,605.9543499653125,-289.585520507865,3320.075820581996,2874.420208943761,22379.510980131203,15.771505375081386,11.0063528106665,-10.07457154687472,1.4136538985964597,-1.2939760871672419,191.53415050543563,1.6551122858653686,1.1550419142794701
coupa_seed17,coupa,17,damped_velocity_005,pointwise,6.246571682255203,1003,975,28,473,0,20.156425041460245,1.1818767123121292,508.6805619106693,-507.4986851983572,1781.5070943779683,2396.4942791468143,22379.510980131203,1.131425471448828,0.049316901049849114,-21.176711733233674,0.005281065852428203,-2.2676933631343448,43040.06979844178,17.054591931190373,0.7433804911949174
coupa_seed17,coupa,17,damped_velocity_005,aggregate_selected,6.246571682255203,1419,1384,35,491,0,30.532779943002442,1.7795314057616602,528.4989623784584,-526.7194309726967,2102.455407813617,2484.378742954715,22379.510980131203,1.4522438777787945,0.07162882917140212,-21.201253330088473,0.007951609878077985,-2.3535788223447978,29698.771298293253,17.157764029421024,0.8462700841310251
coupa_seed17,coupa,17,damped_velocity_005,aggregate_population,6.246571682255203,3187,3038,149,580,0,131.84622071574924,35.44789289888941,619.4744050079651,-584.0265121090756,3182.6843424519816,2811.2128186737623,22379.510980131203,4.142610655952553,1.260946615760402,-20.77489502856636,0.15839440339138988,-2.6096482297025227,1747.5634074356317,3.719437459705257,1.1321392394452254
coupa_seed17,coupa,17,damped_velocity_005,aggregate_joint,6.246571682255203,3187,3038,149,580,0,131.84622071574924,35.44789289888941,619.4744050079651,-584.0265121090756,3182.6843424519816,2811.2128186737623,22379.510980131203,4.142610655952553,1.260946615760402,-20.77489502856636,0.15839440339138988,-2.6096482297025227,1747.5634074356317,3.719437459705257,1.1321392394452254
coupa_seed17,coupa,17,transformer,net_stop,6.246571682255203,14223,12015,2208,1655,5,2425.38279591663,2588.744990473661,1760.8646791769654,827.8803112966955,7307.116306540111,7443.698810370219,22379.510980131203,33.19206502496522,34.777669763681736,11.121894267717154,11.567477916617479,3.6992779334262376,68.02001300463284,0.9368952155742692,0.9816512586941551
coupa_seed17,coupa,17,transformer,strict_stop,6.246571682255203,2434,2328,106,368,0,271.91622985168954,136.7648303172119,867.8871746189493,-731.1223443017374,2265.7546480265937,1902.575497544357,22379.510980131203,12.001133048034157,7.188404901342074,-38.42803322366932,0.6111162591471876,-3.266927257484922,634.5835933156021,1.9882028824297,1.1908881676185727
coupa_seed17,coupa,17,transformer,pointwise,6.246571682255203,52,49,3,30,0,1.609163835040016,0.0,39.83608872873179,-39.83608872873179,96.93978041725522,136.8090039404414,22379.510980131203,1.6599623272445394,0.0,-29.118031402431733,0.0,-0.17800249864306125,,,0.7085774885069488
coupa_seed17,coupa,17,transformer,aggregate_selected,6.246571682255203,56,53,3,32,0,1.7461382454425818,0.0,44.420358364909404,-44.420358364909404,102.96662921771282,147.76081451731486,22379.510980131203,1.6958292785816498,0.0,-30.06233994446759,0.0,-0.19848672477404145,,,0.6968466541963128
coupa_seed17,coupa,17,transformer,aggregate_population,6.246571682255203,3652,3289,363,588,0,282.42351707370324,242.65526586946945,979.0729795124878,-736.4177136430184,2659.719560083272,2808.9486711798354,22379.510980131203,10.618544951591097,8.638650764933614,-26.21684480028974,1.0842742099454348,-3.290588942255346,403.4830960722511,1.163887855727088,0.9468736781744456
coupa_seed17,coupa,17,transformer,aggregate_joint,6.246571682255203,3652,3289,363,588,0,282.2791648306702,242.65526586946945,979.0729795124878,-736.4177136430184,2660.374117772023,2808.9486711798354,22379.510980131203,10.610506354913339,8.638650764933614,-26.21684480028974,1.0842742099454348,-3.290588942255346,403.4830960722511,1.163292969634195,0.9471067040376331
coupa_seed17,coupa,17,eqmotion,net_stop,6.246571682255203,15255,12805,2450,1768,5,3913.6358581780632,3556.351370982447,2194.37536200017,1361.976008982277,8349.914132514576,7902.4886673759975,22379.510980131203,46.87037251004008,45.0029290856715,17.2347733265971,15.891104028769075,6.085816665929187,61.70299650098889,1.1004637759111289,1.0566182988639634
coupa_seed17,coupa,17,eqmotion,strict_stop,6.246571682255203,2418,2314,104,363,0,379.1112113754767,79.38945676649487,1166.6111387019423,-1087.2216819354474,2331.318256625711,1895.9027165788452,22379.510980131203,16.261666990254362,4.187422491263322,-57.34585811962641,0.35474169581711495,-4.85811188144681,1469.4786766626332,4.775334494233181,1.229661330320035
coupa_seed17,coupa,17,eqmotion,pointwise,6.246571682255203,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,22379.510980131203,,,,0.0,0.0,,,
coupa_seed17,coupa,17,eqmotion,aggregate_selected,6.246571682255203,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,22379.510980131203,,,,0.0,0.0,,,
coupa_seed17,coupa,17,eqmotion,aggregate_population,6.246571682255203,1592,1464,128,309,0,185.45582959053417,86.36949258456183,838.5132093705746,-752.1437167860128,1443.2197941147488,1552.7874756105562,22379.510980131203,12.850144541170891,5.562222386589082,-48.43829104754145,0.38593109858942715,-3.360858588258586,970.8442000508583,2.1472376882260806,0.9294380697830362
coupa_seed17,coupa,17,eqmotion,aggregate_joint,6.246571682255203,1592,1464,128,309,0,185.45582959053417,86.36949258456183,838.5132093705746,-752.1437167860128,1443.2197941147488,1552.7874756105562,22379.510980131203,12.850144541170891,5.562222386589082,-48.43829104754145,0.38593109858942715,-3.360858588258586,970.8442000508583,2.1472376882260806,0.9294380697830362
coupa_seed29,coupa,29,damped_velocity_005,net_stop,6.246571682255203,6770,5897,873,758,0,2619.0214381441056,2310.741398168493,668.4963664054762,1642.2450317630169,4163.626918290622,3620.273442762518,22379.510980131203,62.90240431098341,63.82781396769959,45.36245832607249,10.32525420336484,7.3381631672873535,28.929951527043674,1.1334117440488827,1.1500863081528692
coupa_seed29,coupa,29,damped_velocity_005,strict_stop,6.246571682255203,4011,3694,317,576,0,468.40299277093595,286.2125967732218,603.9836458302884,-317.77104905706665,3317.0721023790184,2862.51738889983,22379.510980131203,14.120977124223357,9.998632598114058,-11.101104583305174,1.2789046062146967,-1.419919538631508,211.02622758035,1.6365561755553033,1.1587954418169981
