action,policy,seed,site,subset,rows,gain_percent,absolute_harm
damped_velocity_005,parent_net_population,17,coupa,hard,4416,1.4784686860394025,-0.6308868461006298
damped_velocity_005,parent_net_population,17,deathCircle,hard,12715,0.6113546242208168,-0.34433442712454365
damped_velocity_005,parent_net_population,17,gates,hard,6404,0.19922086980190823,-0.08979370078670712
damped_velocity_005,parent_net_population,17,hyang,hard,18309,1.053989022201629,-0.46546299098191213
damped_velocity_005,parent_net_population,17,coupa,positive_easy,11220,2.2372014202905244,-0.04933972729846525
damped_velocity_005,parent_net_population,17,deathCircle,positive_easy,4581,0.21828559332794928,-0.005832699760119908
damped_velocity_005,parent_net_population,17,gates,positive_easy,2923,0.7921503342699809,-0.022411322126949962
damped_velocity_005,parent_net_population,17,hyang,positive_easy,19679,0.23295197313024651,-0.006197562274201207
damped_velocity_005,parent_net_population,17,coupa,complete,24834,2.416217991267433,-0.28780501829534977
damped_velocity_005,parent_net_population,17,deathCircle,complete,27394,0.7719766519717952,-0.21160097783216258
damped_velocity_005,parent_net_population,17,gates,complete,15281,0.43173449987640167,-0.09436704783856698
damped_velocity_005,parent_net_population,17,hyang,complete,76409,1.0293651535594694,-0.1737011450316075
damped_velocity_005,parent_net_population,17,coupa,zero_CV,2463,,0.0
damped_velocity_005,parent_net_population,17,deathCircle,zero_CV,2984,,0.0
damped_velocity_005,parent_net_population,17,gates,zero_CV,1565,,0.0
damped_velocity_005,parent_net_population,17,hyang,zero_CV,4554,,0.0
damped_velocity_005,net_population,17,coupa,all,27778,2.2367846766353505,-0.26636092428223357
damped_velocity_005,net_population,17,deathCircle,all,35760,0.7284677220818492,-0.18073780936758155
damped_velocity_005,net_population,17,gates,all,20236,0.4053993224709673,-0.08011308589011534
damped_velocity_005,net_population,17,hyang,all,89183,0.9752092343083829,-0.15528608622328832
damped_velocity_005,net_population,17,coupa,hard,4416,1.4784686860394025,-0.6308868461006298
damped_velocity_005,net_population,17,deathCircle,hard,12715,0.6113546242208168,-0.34433442712454365
damped_velocity_005,net_population,17,gates,hard,6404,0.19922086980190823,-0.08979370078670712
damped_velocity_005,net_population,17,hyang,hard,18309,1.0535012185573511,-0.46524756697037617
damped_velocity_005,net_population,17,coupa,positive_easy,11220,2.2372014202905244,-0.04933972729846525
damped_velocity_005,net_population,17,deathCircle,positive_easy,4581,0.21828559332794928,-0.005832699760119908
damped_velocity_005,net_population,17,gates,positive_easy,2923,0.7921503342699809,-0.022411322126949962
damped_velocity_005,net_population,17,hyang,positive_easy,19679,0.23295197313024651,-0.006197562274201207
damped_velocity_005,net_population,17,coupa,complete,24834,2.416217991267433,-0.28780501829534977
damped_velocity_005,net_population,17,deathCircle,complete,27394,0.7719766519717952,-0.21160097783216258
damped_velocity_005,net_population,17,gates,complete,15281,0.43173449987640167,-0.09436704783856698
damped_velocity_005,net_population,17,hyang,complete,76409,1.0290592524876851,-0.1736495254811956
damped_velocity_005,net_population,17,coupa,zero_CV,2463,,0.0
damped_velocity_005,net_population,17,deathCircle,zero_CV,2984,,0.0
damped_velocity_005,net_population,17,gates,zero_CV,1565,,0.0
damped_velocity_005,net_population,17,hyang,zero_CV,4554,,0.0
damped_velocity_005,net_clipped_population,17,coupa,all,27778,1.8257477510554065,-0.21741380096042562
damped_velocity_005,net_clipped_population,17,deathCircle,all,35760,0.6306541516127306,-0.15646959553033923
