cohort,decoder,seed,rows,ade,cv_ade,normalized_ade,gain_percent,moving_ade,moving_cv_ade,zero_rows,easy_absolute_harm,easy_relative_degradation,max_prediction_norm,clipped_update_fraction,max_preclip_gradient,fit_seconds,updates,passes_per_row
nonzero_only,context_radius,17,16,44.630401611328125,2552.587890625,0.0395781472325325,98.25156331062317,44.630401611328125,2552.587890625,0,,,26618.31640625,1.0,167.1512451171875,22.43041683291085,2000,2000
nonzero_only,training_cost_scale,17,16,43.0362548828125,2552.587890625,0.03816446289420128,98.31401705741882,43.0362548828125,2552.587890625,0,,,26525.33203125,0.879,22.69580078125,22.7363987499848,2000,2000
nonzero_only,context_radius,29,16,54.78721618652344,2552.587890625,0.0485851913690567,97.8536605834961,54.78721618652344,2552.587890625,0,,,26413.5390625,1.0,170.5471649169922,22.64721025014296,2000,2000
nonzero_only,training_cost_scale,29,16,36.34123611450195,2552.587890625,0.03222733363509178,98.57629537582397,36.34123611450195,2552.587890625,0,,,26592.837890625,0.864,17.685049057006836,23.00852416618727,2000,2000
nonzero_only,context_radius,43,16,40.009124755859375,2552.587890625,0.035480011254549026,98.43260645866394,40.009124755859375,2552.587890625,0,,,26569.7265625,1.0,169.42735290527344,22.916200291132554,2000,2000
nonzero_only,training_cost_scale,43,16,40.102821350097656,2552.587890625,0.03556310012936592,98.42893481254578,40.102821350097656,2552.587890625,0,,,26549.197265625,0.8725,17.571273803710938,22.88078266591765,2000,2000
mixed_zero,context_radius,17,32,41.838619232177734,1276.2939453125,0.03710240125656128,96.72186374664307,49.175804138183594,2552.587890625,16,34.501426696777344,,26589.064453125,1.0,154.84283447265625,43.81891491706483,2000,2000
mixed_zero,training_cost_scale,17,32,47.60154342651367,1276.2939453125,0.04221295192837715,96.2703287601471,73.68717193603516,2552.587890625,16,21.515911102294922,,26578.115234375,0.721,10.17635440826416,44.44241108302958,2000,2000
mixed_zero,context_radius,29,32,49.979190826416016,1276.2939453125,0.044321443885564804,96.08404040336609,63.64314651489258,2552.587890625,16,36.31523132324219,,26617.466796875,1.0,152.3022918701172,44.36809075018391,2000,2000
mixed_zero,training_cost_scale,29,32,29.892459869384766,1276.2939453125,0.026508571580052376,97.65787124633789,40.81239318847656,2552.587890625,16,18.972524642944336,,26497.29296875,0.668,8.876947402954102,43.14090979192406,2000,2000
mixed_zero,context_radius,43,32,38.194969177246094,1276.2939453125,0.03387121856212616,97.00735211372375,45.542236328125,2552.587890625,16,30.84770393371582,,26559.75,1.0,154.10836791992188,43.12578099989332,2000,2000
mixed_zero,training_cost_scale,43,32,37.88572311401367,1276.2939453125,0.033596981316804886,97.03158140182495,51.726070404052734,2552.587890625,16,24.045381546020508,,26521.564453125,0.772,10.320834159851074,43.89595645898953,2000,2000
