trial,step,preclip_gradient,ade,cv_ade,normalized_ade,gain_percent,moving_ade,moving_cv_ade,zero_rows,easy_absolute_harm,easy_relative_degradation,max_prediction_norm
nonzero_only_context_radius_seed17,0,,2552.587890625,2552.587890625,2.263629674911499,0.0,2552.587890625,2552.587890625,0,,,0.0
nonzero_only_context_radius_seed17,1,74.52257537841797,2541.06982421875,2552.587890625,2.253415584564209,0.4512310028076172,2541.06982421875,2552.587890625,0,,,1636.0186767578125
nonzero_only_context_radius_seed17,100,78.69827270507812,466.1998596191406,2552.587890625,0.413425087928772,81.73618912696838,466.1998596191406,2552.587890625,0,,,12950.3955078125
nonzero_only_context_radius_seed17,200,118.31498718261719,81.3165283203125,2552.587890625,0.0721113309264183,96.81435227394104,81.3165283203125,2552.587890625,0,,,26670.78125
nonzero_only_context_radius_seed17,300,98.3634033203125,85.257568359375,2552.587890625,0.07560623437166214,96.65995836257935,85.257568359375,2552.587890625,0,,,26710.59765625
nonzero_only_context_radius_seed17,400,155.2211151123047,62.14443588256836,2552.587890625,0.05510955676436424,97.56543636322021,62.14443588256836,2552.587890625,0,,,26595.12890625
nonzero_only_context_radius_seed17,500,120.42607116699219,47.60285186767578,2552.587890625,0.04221411049365997,98.13511371612549,47.60285186767578,2552.587890625,0,,,26699.69921875
nonzero_only_context_radius_seed17,600,153.53631591796875,61.26421356201172,2552.587890625,0.054328978061676025,97.59991765022278,61.26421356201172,2552.587890625,0,,,26655.9140625
nonzero_only_context_radius_seed17,700,85.719482421875,66.0255355834961,2552.587890625,0.05855130776762962,97.41339087486267,66.0255355834961,2552.587890625,0,,,26479.51953125
nonzero_only_context_radius_seed17,800,146.2960662841797,67.94233703613281,2552.587890625,0.06025112420320511,97.33829498291016,67.94233703613281,2552.587890625,0,,,26676.447265625
nonzero_only_context_radius_seed17,900,155.86880493164062,55.944801330566406,2552.587890625,0.049611736088991165,97.80831336975098,55.944801330566406,2552.587890625,0,,,26662.29296875
nonzero_only_context_radius_seed17,1000,147.7081756591797,45.70050048828125,2552.587890625,0.0405271090567112,98.20964336395264,45.70050048828125,2552.587890625,0,,,26673.3359375
nonzero_only_context_radius_seed17,1100,96.79467010498047,84.16696166992188,2552.587890625,0.07463908940553665,96.70268297195435,84.16696166992188,2552.587890625,0,,,26634.28515625
nonzero_only_context_radius_seed17,1200,123.40956115722656,53.899234771728516,2552.587890625,0.047797732055187225,97.88844585418701,53.899234771728516,2552.587890625,0,,,26493.466796875
nonzero_only_context_radius_seed17,1300,143.8261260986328,45.05104064941406,2552.587890625,0.03995117172598839,98.23508262634277,45.05104064941406,2552.587890625,0,,,26542.3828125
nonzero_only_context_radius_seed17,1400,152.5499267578125,45.578285217285156,2552.587890625,0.040418729186058044,98.2144296169281,45.578285217285156,2552.587890625,0,,,26589.55859375
nonzero_only_context_radius_seed17,1500,149.1771240234375,51.8082389831543,2552.587890625,0.04594343900680542,97.97036647796631,51.8082389831543,2552.587890625,0,,,26603.7734375
