group,subset,component,mean_pp,low_pp,high_pp
damping097_fold0_seed17_easy,all,ranking_at_control_count,-0.5124388848096607,-0.6451740783817084,-0.3829105709568865
damping097_fold0_seed17_easy,all,ranking_at_supported_count,-0.5467458232362372,-0.6791740813817412,-0.4079908892241371
damping097_fold0_seed17_easy,all,coverage_with_supported_ranking,-1.2475118437501238,-1.6131046072493909,-0.8446098207151036
damping097_fold0_seed17_easy,all,coverage_with_control_ranking,-1.2132049053235474,-1.532624497801082,-0.8680663749269446
damping097_fold0_seed17_easy,easy,full_total,0.4404032869866911,0.14546447790323658,0.8931761204746035
damping097_fold0_seed17_easy,easy,support_difference,0.0,0.0,0.0
damping097_fold0_seed17_easy,easy,total,0.4404032869866911,0.14546447790323658,0.8931761204746035
damping097_fold0_seed17_easy,easy,ranking_at_control_count,-0.09845370038407109,-0.31815018643227144,0.047838237997615274
damping097_fold0_seed17_easy,easy,ranking_at_supported_count,0.05744224252155433,-0.0010461687576381311,0.11042922916341089
damping097_fold0_seed17_easy,easy,coverage_with_supported_ranking,0.5388569873707622,0.1468238817512443,1.1917864871768489
damping097_fold0_seed17_easy,easy,coverage_with_control_ranking,0.38296104446513674,0.069292745685539,0.8614648380296959
damping097_fold0_seed17_easy,hard,full_total,-2.175607634759672,-2.4929607215019445,-1.7586153699400064
damping097_fold0_seed17_easy,hard,support_difference,0.0,0.0,0.0
damping097_fold0_seed17_easy,hard,total,-2.175607634759672,-2.4929607215019445,-1.7586153699400064
damping097_fold0_seed17_easy,hard,ranking_at_control_count,-0.6257562714520462,-0.7828936028594954,-0.48155654707113427
damping097_fold0_seed17_easy,hard,ranking_at_supported_count,-0.8379911966089195,-1.0412344897252994,-0.6343056061852775
damping097_fold0_seed17_easy,hard,coverage_with_supported_ranking,-1.5498513633076254,-1.9200435160774159,-1.1444109239024518
damping097_fold0_seed17_easy,hard,coverage_with_control_ranking,-1.337616438150752,-1.6434066422179314,-1.0192777240228201
neural_fold0_seed29_all,all,full_total,0.0,0.0,0.0
neural_fold0_seed29_all,all,support_difference,0.0,0.0,0.0
neural_fold0_seed29_all,all,total,0.0,0.0,0.0
neural_fold0_seed29_all,all,ranking_at_control_count,0.0,0.0,0.0
neural_fold0_seed29_all,all,ranking_at_supported_count,0.0,0.0,0.0
neural_fold0_seed29_all,all,coverage_with_supported_ranking,0.0,0.0,0.0
neural_fold0_seed29_all,all,coverage_with_control_ranking,0.0,0.0,0.0
neural_fold0_seed29_all,easy,full_total,0.0,0.0,0.0
neural_fold0_seed29_all,easy,support_difference,0.0,0.0,0.0
