model,dataset,subset,horizon,ADE,FDE,baseline_ADE,baseline_FDE,improvement,ci_low,ci_high,episodes,alpha_mean,failure_prob,intervention_rate,false_intervention_rate,residual_mag
failure_predictor_only_gate,eth_ucy,all,1,0.084168,0.084168,0.084168,0.084168,0.0,0.0,0.0,6,0.0,0.122073,0.0,0.0,0.738185
failure_predictor_only_gate,eth_ucy,all,10,0.395439,0.713643,0.395439,0.713643,0.0,0.0,0.0,6,0.0,0.122073,0.0,0.0,0.738185
failure_predictor_only_gate,eth_ucy,easy,1,0.0,0.0,0.0,0.0,0.0,,,1,0.0,0.080802,0.0,0.0,0.183012
failure_predictor_only_gate,eth_ucy,easy,10,0.0,0.0,0.0,0.0,0.0,,,1,0.0,0.080802,0.0,0.0,0.183012
failure_predictor_only_gate,eth_ucy,medium,1,0.012018,0.012018,0.012018,0.012018,0.0,0.0,0.0,3,0.0,0.142077,0.0,0.0,0.294429
failure_predictor_only_gate,eth_ucy,medium,10,0.144023,0.263202,0.144023,0.263202,0.0,0.0,0.0,3,0.0,0.142077,0.0,0.0,0.294429
failure_predictor_only_gate,eth_ucy,hard,1,0.234475,0.234475,0.234475,0.234475,0.0,0.0,0.0,2,0.0,0.112703,0.0,0.0,1.681406
failure_predictor_only_gate,eth_ucy,hard,10,0.970284,1.746128,0.970284,1.746128,0.0,0.0,0.0,2,0.0,0.112703,0.0,0.0,1.681406
failure_predictor_only_gate,eth_ucy,baseline_failure,1,0.234475,0.234475,0.234475,0.234475,0.0,0.0,0.0,2,0.0,0.112703,0.0,0.0,1.681406
failure_predictor_only_gate,eth_ucy,baseline_failure,10,0.970284,1.746128,0.970284,1.746128,0.0,0.0,0.0,2,0.0,0.112703,0.0,0.0,1.681406
failure_predictor_only_gate,eth_ucy,pedestrian_drone,1,0.084168,0.084168,0.084168,0.084168,0.0,0.0,0.0,6,0.0,0.122073,0.0,0.0,0.738185
failure_predictor_only_gate,eth_ucy,pedestrian_drone,10,0.395439,0.713643,0.395439,0.713643,0.0,0.0,0.0,6,0.0,0.122073,0.0,0.0,0.738185
failure_predictor_only_gate,tgsim,all,1,0.001326,0.001326,0.001326,0.001326,0.0,0.0,0.0,4,0.041716,0.17568,0.2,0.15,0.703979
failure_predictor_only_gate,tgsim,all,10,0.042997,0.112008,0.042997,0.112008,0.0,0.0,0.0,4,0.041716,0.17568,0.2,0.15,0.703979
failure_predictor_only_gate,tgsim,all,25,0.257363,0.75285,0.257363,0.75285,0.0,0.0,0.0,4,0.041716,0.17568,0.2,0.15,0.703979
failure_predictor_only_gate,tgsim,all,50,1.091483,2.845408,0.982001,2.62938,-0.082159,-0.275294,0.102518,4,0.041716,0.17568,0.2,0.15,0.703979
failure_predictor_only_gate,tgsim,all,100,2.689692,6.12394,2.659638,6.062032,-0.010212,-0.518176,-0.004678,4,0.041716,0.17568,0.2,0.15,0.703979
failure_predictor_only_gate,tgsim,medium,1,0.000224,0.000224,0.000224,0.000224,0.0,0.0,0.0,2,0.037589,0.142705,0.2,0.2,0.551362
failure_predictor_only_gate,tgsim,medium,10,0.003985,0.010922,0.003985,0.010922,0.0,0.0,0.0,2,0.037589,0.142705,0.2,0.2,0.551362
failure_predictor_only_gate,tgsim,medium,25,0.012411,0.019863,0.012411,0.019863,0.0,0.0,0.0,2,0.037589,0.142705,0.2,0.2,0.551362
failure_predictor_only_gate,tgsim,medium,50,0.040213,0.100025,0.027277,0.069851,-0.301742,-0.397513,-0.153075,2,0.037589,0.142705,0.2,0.2,0.551362
failure_predictor_only_gate,tgsim,medium,100,0.097971,0.195521,0.064928,0.129012,-0.515527,-0.689386,-0.255704,2,0.037589,0.142705,0.2,0.2,0.551362
failure_predictor_only_gate,tgsim,hard,1,0.002428,0.002428,0.002428,0.002428,0.0,0.0,0.0,2,0.045844,0.208655,0.2,0.1,0.856597
failure_predictor_only_gate,tgsim,hard,10,0.08201,0.213094,0.08201,0.213094,0.0,0.0,0.0,2,0.045844,0.208655,0.2,0.1,0.856597
failure_predictor_only_gate,tgsim,hard,25,0.502315,1.485838,0.502315,1.485838,0.0,0.0,0.0,2,0.045844,0.208655,0.2,0.1,0.856597
failure_predictor_only_gate,tgsim,hard,50,2.142753,5.590791,1.936726,5.18891,-0.07745,-0.079917,0.187715,2,0.045844,0.208655,0.2,0.1,0.856597
failure_predictor_only_gate,tgsim,hard,100,5.281414,12.052359,5.254347,11.995052,-0.004778,-0.004811,-0.004545,2,0.045844,0.208655,0.2,0.1,0.856597
failure_predictor_only_gate,tgsim,baseline_failure,1,0.004669,0.004669,0.004669,0.004669,0.0,,,1,0.06021,0.325744,0.2,0.0,1.571415
failure_predictor_only_gate,tgsim,baseline_failure,10,0.159947,0.418199,0.159947,0.418199,0.0,,,1,0.06021,0.325744,0.2,0.0,1.571415
failure_predictor_only_gate,tgsim,baseline_failure,25,0.998028,2.956981,0.998028,2.956981,0.0,,,1,0.06021,0.325744,0.2,0.0,1.571415
failure_predictor_only_gate,tgsim,baseline_failure,50,4.265524,11.114914,3.847094,10.292379,-0.079917,,,1,0.06021,0.325744,0.2,0.0,1.571415
failure_predictor_only_gate,tgsim,baseline_failure,100,10.142796,21.068335,10.089779,20.967461,-0.004811,,,1,0.06021,0.325744,0.2,0.0,1.571415
failure_predictor_only_gate,tgsim,traffic,1,0.001326,0.001326,0.001326,0.001326,0.0,0.0,0.0,4,0.041716,0.17568,0.2,0.15,0.703979
failure_predictor_only_gate,tgsim,traffic,10,0.042997,0.112008,0.042997,0.112008,0.0,0.0,0.0,4,0.041716,0.17568,0.2,0.15,0.703979
failure_predictor_only_gate,tgsim,traffic,25,0.257363,0.75285,0.257363,0.75285,0.0,0.0,0.0,4,0.041716,0.17568,0.2,0.15,0.703979
failure_predictor_only_gate,tgsim,traffic,50,1.091483,2.845408,0.982001,2.62938,-0.082159,-0.275294,0.102518,4,0.041716,0.17568,0.2,0.15,0.703979
failure_predictor_only_gate,tgsim,traffic,100,2.689692,6.12394,2.659638,6.062032,-0.010212,-0.518176,-0.004678,4,0.041716,0.17568,0.2,0.15,0.703979
failure_predictor_only_gate,tgsim,verified_t50,1,0.001326,0.001326,0.001326,0.001326,0.0,0.0,0.0,4,0.041716,0.17568,0.2,0.15,0.703979
failure_predictor_only_gate,tgsim,verified_t50,10,0.042997,0.112008,0.042997,0.112008,0.0,0.0,0.0,4,0.041716,0.17568,0.2,0.15,0.703979
failure_predictor_only_gate,tgsim,verified_t50,25,0.257363,0.75285,0.257363,0.75285,0.0,0.0,0.0,4,0.041716,0.17568,0.2,0.15,0.703979
failure_predictor_only_gate,tgsim,verified_t50,50,1.091483,2.845408,0.982001,2.62938,-0.082159,-0.275294,0.102518,4,0.041716,0.17568,0.2,0.15,0.703979
failure_predictor_only_gate,tgsim,verified_t50,100,2.689692,6.12394,2.659638,6.062032,-0.010212,-0.518176,-0.004678,4,0.041716,0.17568,0.2,0.15,0.703979
failure_predictor_only_gate,tgsim,verified_t100,1,0.001326,0.001326,0.001326,0.001326,0.0,0.0,0.0,4,0.041716,0.17568,0.2,0.15,0.703979
failure_predictor_only_gate,tgsim,verified_t100,10,0.042997,0.112008,0.042997,0.112008,0.0,0.0,0.0,4,0.041716,0.17568,0.2,0.15,0.703979
failure_predictor_only_gate,tgsim,verified_t100,25,0.257363,0.75285,0.257363,0.75285,0.0,0.0,0.0,4,0.041716,0.17568,0.2,0.15,0.703979
failure_predictor_only_gate,tgsim,verified_t100,50,1.091483,2.845408,0.982001,2.62938,-0.082159,-0.275294,0.102518,4,0.041716,0.17568,0.2,0.15,0.703979
