trial,objective,arm,site,seed,mode,ade,fde,cv_ade,gain_percent,native_pixel_ade,native_pixel_fde,native_pixel_cv_ade,native_pixel_cv_fde,hard_rows,hard_gain_percent,easy_rows,easy_absolute_harm,easy_native_pixel_harm,easy_nonzero_predictions,intervention_rate,oracle_binary_gain_percent,training_ade,training_cv_ade,training_gain_percent
ade_mask_only_bookstore_seed17,ade,mask_only,bookstore,17,uncontrolled,791.6759818413741,1574.3132492858163,773.9476085867074,-2.29064255228338,0.7916760194439655,1.574313324061683,0.7739476453472461,1.5649910498453663,496,-0.05765413829050825,3769,25.559977323799437,0.025559978537833213,3769,1.0,0.047023653076994076,1144.4110201492174,1127.6525371766854,-1.486138896515965
ade_mask_only_bookstore_seed17,ade,mask_only,bookstore,17,fixed_probability_gate,774.0270607681892,1565.009525687167,773.9476085867074,-0.010265834612108936,0.7740270975325019,1.5650096000211309,0.7739476453472461,1.5649910498453663,496,-0.00159152178476063,3769,0.09135204478891727,9.135204912790655e-05,10,0.0034562211981566822,8.799477934084976e-05,1144.4110201492174,1127.6525371766854,-1.486138896515965
log_ade_mask_only_bookstore_seed17,log_ade,mask_only,bookstore,17,uncontrolled,787.5661108430158,1579.9019275028154,773.9476085867074,-1.7596155224482193,0.7875661482503988,1.5799020025441304,0.7739476453472461,1.5649910498453663,496,-0.05057764492879535,3769,19.554182995232694,0.019554183924006548,3769,1.0,0.018417210960652852,1140.9965006589036,1127.6525371766854,-1.1833399954588542
log_ade_mask_only_bookstore_seed17,log_ade,mask_only,bookstore,17,fixed_probability_gate,773.999556569992,1565.064328998696,773.9476085867074,-0.006712080082465027,0.7739995933329981,1.565064403335263,0.7739476453472461,1.5649910498453663,496,-0.0011294446509602096,3769,0.06170095115309662,6.170095408373452e-05,10,0.0034562211981566822,0.0,1140.9965006589036,1127.6525371766854,-1.1833399954588542
ade_past_rgb_bookstore_seed17,ade,past_rgb,bookstore,17,uncontrolled,787.9632796440515,1579.32708674157,773.9476085867074,-1.8109327946549088,0.7879633170702991,1.5793271617555813,0.7739476453472461,1.5649910498453663,496,-0.06061802596390997,3769,20.01541014731147,0.02001541109799244,3769,1.0,0.04793532461523364,1141.0656013940127,1127.6525371766854,-1.1894678347383225
ade_past_rgb_bookstore_seed17,ade,past_rgb,bookstore,17,fixed_probability_gate,774.3593355228896,1565.366107923714,773.9476085867074,-0.05319829554536954,0.7743593723029845,1.5653661822746145,0.7739476453472461,1.5649910498453663,496,-0.001719112336240336,3769,0.5561413466835871,0.0005561413730988836,110,0.025921658986175114,0.0007002952395973594,1141.0656013940127,1127.6525371766854,-1.1894678347383225
log_ade_past_rgb_bookstore_seed17,log_ade,past_rgb,bookstore,17,uncontrolled,790.1976849571013,1571.7377795345953,773.9476085867074,-2.099635193662256,0.7901977224894774,1.571737854188134,0.7739476453472461,1.5649910498453663,496,-0.05209547769469136,3769,23.108480632948293,0.023108481730542228,3769,1.0,0.08318074330753156,1143.6470073867447,1127.6525371766854,-1.418386398535909
log_ade_past_rgb_bookstore_seed17,log_ade,past_rgb,bookstore,17,fixed_probability_gate,774.4219133066234,1565.1896812724547,773.9476085867074,-0.061283827826819265,0.7744219500896907,1.5651897556149752,0.7739476453472461,1.5649910498453663,496,-0.0019439295697365466,3769,0.6323361964868697,0.0006323362265212274,110,0.025921658986175114,0.0015309339500668706,1143.6470073867447,1127.6525371766854,-1.418386398535909
ade_mask_only_bookstore_seed29,ade,mask_only,bookstore,29,uncontrolled,789.2391534437298,1580.069344222175,773.9476085867074,-1.975785529584632,0.7892391909305781,1.5800694192714415,0.7739476453472461,1.5649910498453663,496,-0.037907955555138706,3769,23.07051709414503,0.023070518189935794,3769,1.0,0.08928454217201898,1142.2790326011561,1127.6525371766854,-1.2970746699237035
ade_mask_only_bookstore_seed29,ade,mask_only,bookstore,29,fixed_probability_gate,773.9901340486296,1565.0394289289325,773.9476085867074,-0.005494617652459835,0.7739901708111883,1.5650395032643163,0.7739476453472461,1.5649910498453663,496,0.0,3769,0.05160906320327265,5.160906565457162e-05,11,0.002304147465437788,7.58229040997982e-05,1142.2790326011561,1127.6525371766854,-1.2970746699237035
