trial,schedule,seed,step,training_ade,cv_ade,gain_percent,zero_rows,moving_rows,easy_absolute_harm,easy_pixel_harm,moving_gain_percent,hard_gain_percent,zero_harm_contribution,moving_harm_contribution,predicted_path_norm_mean,regret_binary_oracle,training_binary_oracle_gain_percent,training_rows_helped,training_rows_harmed,tail_ade_95,tail_ade_99,percentage_easy_degradation,continuation_clip_fraction
constant_seed17,constant,17,2000,1141.0656013940127,1127.6525371766852,-1.1894678347383447,8566,6864,19.029669325334364,0.019029670229195158,-0.25262209906384836,-0.032433059686498567,10.564364707765012,2.8486995095622007,19.628295110705267,13.998864097302002,0.05194861543444951,1675,13704,4081.9161453532465,17575.507999145717,,
constant_seed17,constant,17,4000,1141.1416803315706,1127.6525371766852,-1.1962144996062518,8566,6864,21.398358388116844,0.02139835940448433,-0.14275631998075244,0.02153382324268094,11.879347890642183,1.6097952642430757,23.535198807440654,15.019345990668008,0.13569807944687762,1925,13454,4079.5509774156176,17566.998685869,,
constant_seed17,constant,17,6000,1142.412305110825,1127.6525371766852,-1.30889324925334,8566,6864,25.949278776125897,0.0259492800086505,-0.031389644244450565,0.08076341958334066,14.405801814406638,0.3539661197330151,30.10877030840604,18.147952605079833,0.3004635345762674,2496,12883,4076.1412698564236,17566.22084648269,,
constant_seed17,constant,17,10000,1137.152029962066,1127.6525371766852,-0.8424131079565411,8566,6864,36.94532859167476,0.03694533034648371,0.9764347633579584,0.63820110757139,20.510284168262213,-11.01079138288128,54.00058717396725,24.335399142190028,1.3156451892489818,3561,11818,4029.5002081784796,17559.66139935953,,1.0
cosine_seed17,cosine,17,2000,1141.0656013940127,1127.6525371766852,-1.1894678347383447,8566,6864,19.029669325334364,0.019029670229195158,-0.25262209906384836,-0.032433059686498567,10.564364707765012,2.8486995095622007,19.628295110705267,13.998864097302002,0.05194861543444951,1675,13704,4081.9161453532465,17575.507999145717,,
cosine_seed17,cosine,17,4000,1144.13252145377,1127.6525371766852,-1.4614416882656078,8566,6864,23.89067671358636,0.023890677848332615,-0.2852846978914192,-0.018947010929104557,13.262964143135498,3.2170201339492235,25.438662005344163,17.688476816219612,0.1071688751005273,1780,13599,4086.7617132614587,17574.393619881525,,
cosine_seed17,cosine,17,6000,1133.8137962093956,1127.6525371766852,-0.5463792107572862,8566,6864,13.288474346235521,0.013288474977404183,0.10782293600921644,0.08291078933196916,7.377127106276959,-1.215868073566538,16.52469563790786,9.007743855635777,0.2524257010986797,2795,12584,4076.3732558340216,17565.432879413267,,
cosine_seed17,cosine,17,10000,1125.3537706437273,1127.6525371766852,0.20385415340024027,8566,6864,10.465025420150825,0.010465025917212859,0.7190556669410375,0.312305715346195,5.809682939015682,-8.108449471973628,20.556129842466127,6.968326583163377,0.8218039520687226,4399,10980,4060.2619864071717,17560.59961910063,,1.0
constant_seed29,constant,29,2000,1144.1891811837518,1127.6525371766852,-1.4664662617147606,8566,6864,24.085954984667822,0.024085956128689297,-0.28069556695065057,-0.033377061367478866,13.37137332460561,3.165270682461093,24.856713840431286,17.267348654931542,0.06479874108156203,1741,13638,4081.3210507958897,17566.714237996763,,
constant_seed29,constant,29,4000,1141.3240224677354,1127.6525371766852,-1.2123845635358288,8566,6864,21.418832219461773,0.021418833236801715,-0.15791844093140384,0.0009508386578760408,11.890713985217728,1.7807713058324781,23.251504800398298,15.06609614499674,0.12367380979234621,2024,13355,4083.574900384232,17568.5900227919,,
