trial,step,site,rows,ade,cv_ade,gain_percent
constant_seed17,2000,coupa,4250,1208.8175430078431,1194.5014738117636,-1.1984974074913168
constant_seed17,2000,deathCircle,3054,1282.9059325150881,1271.9512415452677,-0.8612508571092414
constant_seed17,2000,gates,1662,745.2994277557785,725.7411275974281,-2.6949416830073236
constant_seed17,2000,hyang,6464,1131.2631969206523,1118.8623977707434,-1.1083399687590312
constant_seed17,4000,coupa,4250,1208.3194478152616,1194.5014738117636,-1.1567984055644187
constant_seed17,4000,deathCircle,3054,1283.7522163915175,1271.9512415452677,-0.9277851588016084
constant_seed17,4000,gates,1662,744.8178406704418,725.7411275974281,-2.6285837122346
constant_seed17,4000,hyang,6464,1131.4962800506348,1118.8623977707434,-1.1291721220646478
constant_seed17,6000,coupa,4250,1208.3953478668873,1194.5014738117636,-1.1631525251105002
constant_seed17,6000,deathCircle,3054,1285.887586737738,1271.9512415452677,-1.0956666212723176
constant_seed17,6000,gates,1662,747.7714845944326,725.7411275974281,-3.0355668377147316
constant_seed17,6000,hyang,6464,1132.7111296616272,1118.8623977707434,-1.2377511227901206
constant_seed17,10000,coupa,4250,1197.7784769857285,1194.5014738117636,-0.274340655562999
constant_seed17,10000,deathCircle,3054,1287.6426118775134,1271.9512415452677,-1.23364558480894
constant_seed17,10000,gates,1662,745.8165138255362,725.7411275974281,-2.766191065203616
constant_seed17,10000,hyang,6464,1126.8084332415485,1118.8623977707434,-0.71018880307685
cosine_seed17,2000,coupa,4250,1208.8175430078431,1194.5014738117636,-1.1984974074913168
cosine_seed17,2000,deathCircle,3054,1282.9059325150881,1271.9512415452677,-0.8612508571092414
cosine_seed17,2000,gates,1662,745.2994277557785,725.7411275974281,-2.6949416830073236
cosine_seed17,2000,hyang,6464,1131.2631969206523,1118.8623977707434,-1.1083399687590312
cosine_seed17,4000,coupa,4250,1212.469850744284,1194.5014738117636,-1.5042574100123662
cosine_seed17,4000,deathCircle,3054,1285.6075241089773,1271.9512415452677,-1.073648275001382
cosine_seed17,4000,gates,1662,748.9658681129414,725.7411275974281,-3.200141156723335
cosine_seed17,4000,hyang,6464,1133.9636895012281,1118.8623977707434,-1.3497005315911137
cosine_seed17,6000,coupa,4250,1199.9300934504045,1194.5014738117636,-0.45446738724546076
cosine_seed17,6000,deathCircle,3054,1278.5092246895076,1271.9512415452677,-0.5155844760426964
cosine_seed17,6000,gates,1662,734.5919178498925,725.7411275974281,-1.2195519746503791
cosine_seed17,6000,hyang,6464,1124.6263983104084,1118.8623977707434,-0.5151661679889674
cosine_seed17,10000,coupa,4250,1188.997313250042,1194.5014738117636,0.4607914416511649
cosine_seed17,10000,deathCircle,3054,1275.413364864325,1271.9512415452677,-0.2721899398322236
cosine_seed17,10000,gates,1662,723.4129825299881,725.7411275974281,0.32079552596768757
cosine_seed17,10000,hyang,6464,1115.9568852814891,1118.8623977707434,0.259684523766579
constant_seed29,2000,coupa,4250,1211.3413897478497,1194.5014738117636,-1.4097861162404746
constant_seed29,2000,deathCircle,3054,1285.754305635469,1271.9512415452677,-1.0851881455324008
