variant,seed,step,interpretation,score_rmse,constant_training_mean_rmse,zero_predictor_rmse,score_mae,mean_label,mean_score,score_std,label_std,independent_calibration
expected_cost,17,2000,unconstrained_action_logit_not_gain_regression,0.020195450556727945,0.013674623988083563,0.020195450556727945,0.01593056511050313,-0.014861388965159773,0.0,0.0,0.013674623988083563,False
expected_cost,17,4000,unconstrained_action_logit_not_gain_regression,0.550822604245975,0.014881837280932744,0.019041858304069376,0.5506220353727267,-0.011879532264196944,-0.5625014901161194,0.0011685260105878115,0.014881837280932744,False
expected_cost,17,6000,unconstrained_action_logit_not_gain_regression,0.9347207932581768,0.021547486984169938,0.022538733575619543,0.9345009247403434,-0.006610621442783337,-0.9411115646362305,0.0035322776529937983,0.021547486984169938,False
expected_cost,17,10000,unconstrained_action_logit_not_gain_regression,1.0505893442854863,0.04340141499752808,0.043440356358176814,1.0498021335130534,0.001838949900823179,-1.0479631423950195,0.006436083000153303,0.04340141499752808,False
cost_supervised,17,2000,in_sample_signed_cost_fit,0.020195450556727945,0.013674623988083563,0.020195450556727945,0.01593056511050313,-0.014861388965159773,0.0,0.0,0.013674623988083563,False
cost_supervised,17,4000,in_sample_signed_cost_fit,0.013202413960043258,0.012843258792786885,0.016589229261947586,0.009507716742465982,-0.010500153860156548,-0.014148618094623089,0.0013529715361073613,0.012843258792786885,False
cost_supervised,17,6000,in_sample_signed_cost_fit,0.018252107835509835,0.019524675536954826,0.02023899457732646,0.008706623285717559,-0.005329535315361706,-0.0081242760643363,0.0033596688881516457,0.019524675536954826,False
cost_supervised,17,10000,in_sample_signed_cost_fit,0.03945427101938211,0.042701486442218536,0.042738531741213864,0.014256032152693821,0.0017790871310229585,0.0019456347217783332,0.00680733984336257,0.042701486442218536,False
expected_cost,29,2000,unconstrained_action_logit_not_gain_regression,0.018715585950262525,0.013491956400978285,0.018715585950262525,0.014732829150722196,-0.01297074669923691,0.0,0.0,0.013491956400978285,False
expected_cost,29,4000,unconstrained_action_logit_not_gain_regression,0.5759689342716768,0.015077256031967549,0.019118562845732327,0.5757747980297117,-0.011755670794672445,-0.5875304341316223,0.001641759998165071,0.015077256031967549,False
expected_cost,29,6000,unconstrained_action_logit_not_gain_regression,0.9452759469344872,0.025848666388038635,0.02678326743474569,0.9449639145333215,-0.007013548348802516,-0.9519774913787842,0.00482119619846344,0.025848666388038635,False
expected_cost,29,10000,unconstrained_action_logit_not_gain_regression,1.0470833591674176,0.04773121560607224,0.04778919388456251,1.0461289340721163,0.002353318699826323,-1.0437756776809692,0.008093583397567272,0.04773121560607224,False
cost_supervised,29,2000,in_sample_signed_cost_fit,0.018715585950262525,0.013491956400978285,0.018715585950262525,0.014732829150722196,-0.01297074669923691,0.0,0.0,0.013491956400978285,False
cost_supervised,29,4000,in_sample_signed_cost_fit,0.016879301428641216,0.017020214389598224,0.020566665686535465,0.011631710792789633,-0.011545563632574585,-0.014790119603276253,0.002368158893659711,0.017020214389598224,False
cost_supervised,29,6000,in_sample_signed_cost_fit,0.023070565491932885,0.02482093293955663,0.026242365000967875,0.012293895614395376,-0.008519566236262042,-0.00898587517440319,0.004361235536634922,0.02482093293955663,False
cost_supervised,29,10000,in_sample_signed_cost_fit,0.042896539432514355,0.04717357116896597,0.047229982250622055,0.017000585876729146,0.0023076842419571266,0.001914521912112832,0.00941776018589735,0.04717357116896597,False
expected_cost,43,2000,unconstrained_action_logit_not_gain_regression,0.01815083549933803,0.012770078509805513,0.01815083549933803,0.014136608706500116,-0.012898756691147912,0.0,0.0,0.012770078509805513,False
expected_cost,43,4000,unconstrained_action_logit_not_gain_regression,0.5655926051053262,0.015937256265796954,0.02064023303487979,0.5653678086100519,-0.013115757029331503,-0.5784835815429688,0.0016468873945996165,0.015937256265796954,False
expected_cost,43,6000,unconstrained_action_logit_not_gain_regression,0.9469449199758594,0.023873569214970514,0.024609859631793584,0.9466652538987,-0.005974770626107382,-0.9526400566101074,0.003744330955669284,0.023873569214970514,False
expected_cost,43,10000,unconstrained_action_logit_not_gain_regression,1.064779685085153,0.04418097942866273,0.04421296020999086,1.0639581365377653,0.0016813409096062995,-1.062276840209961,0.0065645198337733746,0.04418097942866273,False
cost_supervised,43,2000,in_sample_signed_cost_fit,0.01815083549933803,0.012770078509805513,0.01815083549933803,0.014136608706500116,-0.012898756691147912,0.0,0.0,0.012770078509805513,False
cost_supervised,43,4000,in_sample_signed_cost_fit,0.014586633294293883,0.014757801349434536,0.0200259126707778,0.010403315338949204,-0.013536782395689425,-0.014840060845017433,0.0016006439691409469,0.014757801349434536,False
cost_supervised,43,6000,in_sample_signed_cost_fit,0.025306196461502523,0.0272895526042445,0.02793932532866926,0.010992175544391658,-0.005990510702886029,-0.007507086265832186,0.004152742214500904,0.0272895526042445,False
cost_supervised,43,10000,in_sample_signed_cost_fit,0.03830555540691339,0.04244536670233565,0.042469921805021946,0.013062162699344505,0.0014439887911387385,0.0014092804631218314,0.008473760448396206,0.04244536670233565,False
