variant,seed,step,mode,site,rows,gain_percent,actual_changed_rate,native_pixel_ade
cost_supervised,17,10000,hard_action,deathCircle,3054,-0.1958616809143221,0.7337917485265226,1.2744425671601398
cost_supervised,17,10000,hard_action,gates,1662,0.6829874821612014,0.7148014440433214,0.7207844407784643
cost_supervised,17,10000,hard_action,hyang,6464,0.20751277705959303,0.7105507425742574,1.1165406683704873
expected_cost,29,2000,proposal,coupa,4250,-1.2449666189005226,0.9969411764705882,1.2093726758651118
expected_cost,29,2000,proposal,deathCircle,3054,-0.9690004467794999,1.0,1.2842765157585172
expected_cost,29,2000,proposal,gates,1662,-3.152283958271651,1.0,0.7486185842987346
expected_cost,29,2000,proposal,hyang,6464,-1.2004572005514635,0.9941212871287128,1.1322939157701177
expected_cost,29,2000,hard_action,coupa,4250,0.0,0.0,1.194501530547539
expected_cost,29,2000,hard_action,deathCircle,3054,0.0,0.0,1.27195130195971
expected_cost,29,2000,hard_action,gates,1662,0.0,0.0,0.7257411620682819
expected_cost,29,2000,hard_action,hyang,6464,0.0,0.0,1.1188624509138556
expected_cost,29,4000,proposal,coupa,4250,-1.0933394359802007,0.9969411764705882,1.2075614868444027
expected_cost,29,4000,proposal,deathCircle,3054,-0.9034925958462114,1.0,1.2834432877956854
expected_cost,29,4000,proposal,gates,1662,-2.583893033087792,1.0,0.7444935373932149
expected_cost,29,4000,proposal,hyang,6464,-1.144543359136141,0.9941212871287128,1.131668316793658
expected_cost,29,4000,hard_action,coupa,4250,0.0,0.0,1.194501530547539
expected_cost,29,4000,hard_action,deathCircle,3054,0.0,0.0,1.27195130195971
expected_cost,29,4000,hard_action,gates,1662,0.0,0.0,0.7257411620682819
expected_cost,29,4000,hard_action,hyang,6464,0.0,0.0,1.1188624509138556
expected_cost,29,6000,proposal,coupa,4250,-0.5054920137423924,0.9969411764705882,1.2005396403884876
expected_cost,29,6000,proposal,deathCircle,3054,-0.6816225500235751,1.0,1.280621208859186
expected_cost,29,6000,proposal,gates,1662,-1.5487122470875692,1.0,0.7369808043273892
expected_cost,29,6000,proposal,hyang,6464,-0.7081171267977693,0.9941212871287128,1.1267853075540861
expected_cost,29,6000,hard_action,coupa,4250,0.0,0.0,1.194501530547539
expected_cost,29,6000,hard_action,deathCircle,3054,0.0,0.0,1.27195130195971
expected_cost,29,6000,hard_action,gates,1662,0.0,0.0,0.7257411620682819
expected_cost,29,6000,hard_action,hyang,6464,0.0,0.0,1.1188624509138556
expected_cost,29,10000,proposal,coupa,4250,0.6079568717140216,0.9969411764705882,1.1872394764098464
expected_cost,29,10000,proposal,deathCircle,3054,-0.3387864539058816,1.0,1.2762605006710288
expected_cost,29,10000,proposal,gates,1662,0.3814451116522455,1.0,0.7229728578823245
expected_cost,29,10000,proposal,hyang,6464,0.25776810982327536,0.9941212871287128,1.1159783803226127
expected_cost,29,10000,hard_action,coupa,4250,0.0,0.0,1.194501530547539
expected_cost,29,10000,hard_action,deathCircle,3054,0.0,0.0,1.27195130195971
expected_cost,29,10000,hard_action,gates,1662,0.0,0.0,0.7257411620682819
expected_cost,29,10000,hard_action,hyang,6464,0.0,0.0,1.1188624509138556
cost_supervised,29,2000,proposal,coupa,4250,-1.2449666189005226,0.9969411764705882,1.2093726758651118
cost_supervised,29,2000,proposal,deathCircle,3054,-0.9690004467794999,1.0,1.2842765157585172
cost_supervised,29,2000,proposal,gates,1662,-3.152283958271651,1.0,0.7486185842987346
cost_supervised,29,2000,proposal,hyang,6464,-1.2004572005514635,0.9941212871287128,1.1322939157701177
cost_supervised,29,2000,hard_action,coupa,4250,0.0,0.0,1.194501530547539
cost_supervised,29,2000,hard_action,deathCircle,3054,0.0,0.0,1.27195130195971
cost_supervised,29,2000,hard_action,gates,1662,0.0,0.0,0.7257411620682819
cost_supervised,29,2000,hard_action,hyang,6464,0.0,0.0,1.1188624509138556
cost_supervised,29,4000,proposal,coupa,4250,-1.077568931485673,0.9969411764705882,1.2073731079268402
cost_supervised,29,4000,proposal,deathCircle,3054,-0.9112447425601022,1.0,1.2835418913267425
cost_supervised,29,4000,proposal,gates,1662,-2.5048413879483755,1.0,0.743919827065146
cost_supervised,29,4000,proposal,hyang,6464,-1.114085450767166,0.9941212871287128,1.1313275346935843
cost_supervised,29,4000,hard_action,coupa,4250,0.024679531513360775,0.003058823529411765,1.19420673316588
cost_supervised,29,4000,hard_action,deathCircle,3054,0.0,0.0,1.27195130195971
cost_supervised,29,4000,hard_action,gates,1662,0.24803006891380708,0.007821901323706379,0.7239411057638682
cost_supervised,29,4000,hard_action,hyang,6464,0.0044181946694754615,0.0006188118811881188,1.1188130173926907
cost_supervised,29,6000,proposal,coupa,4250,-0.6526854247281388,0.9969411764705882,1.2022978679355776
cost_supervised,29,6000,proposal,deathCircle,3054,-0.7962985171418469,1.0,1.2820798313159814
cost_supervised,29,6000,proposal,gates,1662,-1.8794800287154079,1.0,0.7393813222695226
cost_supervised,29,6000,proposal,hyang,6464,-0.8503599735932399,0.9941212871287128,1.1283768093559914
cost_supervised,29,6000,hard_action,coupa,4250,0.07439325365476979,0.014588235294117647,1.1936129019940087
cost_supervised,29,6000,hard_action,deathCircle,3054,0.00532317654549086,0.009823182711198428,1.2718835937463342
cost_supervised,29,6000,hard_action,gates,1662,0.580462794576353,0.021660649819494584,0.7215285046375496
cost_supervised,29,6000,hard_action,hyang,6464,0.0468380703111726,0.023824257425742575,1.1183383973324112
cost_supervised,29,10000,proposal,coupa,4250,0.5978895707236087,0.9969411764705882,1.1873597304742616
cost_supervised,29,10000,proposal,deathCircle,3054,-0.32529240583674124,1.0,1.2760888629509264
cost_supervised,29,10000,proposal,gates,1662,0.3975341619010475,1.0,0.7228560930220831
cost_supervised,29,10000,proposal,hyang,6464,0.2439248477953182,0.9941212871287128,1.1161332673834252
cost_supervised,29,10000,hard_action,coupa,4250,0.4975447405562772,0.5308235294117647,1.1885583510064355
cost_supervised,29,10000,hard_action,deathCircle,3054,-0.1828013388977423,0.5468238375900458,1.2742764459698197
cost_supervised,29,10000,hard_action,gates,1662,0.8572679499899816,0.5090252707581228,0.7195196156859857
cost_supervised,29,10000,hard_action,hyang,6464,0.31441062891643945,0.526144801980198,1.1153446284452275
expected_cost,43,2000,proposal,coupa,4250,-1.258187074670336,0.9969411764705882,1.2095305944116277
expected_cost,43,2000,proposal,deathCircle,3054,-0.9450694286434969,1.0,1.2839721248617644
expected_cost,43,2000,proposal,gates,1662,-2.9909971849501282,1.0,0.7474480597957686
expected_cost,43,2000,proposal,hyang,6464,-1.213610154630973,0.9941212871287128,1.1324410792344992
expected_cost,43,2000,hard_action,coupa,4250,0.0,0.0,1.194501530547539
expected_cost,43,2000,hard_action,deathCircle,3054,0.0,0.0,1.27195130195971
expected_cost,43,2000,hard_action,gates,1662,0.0,0.0,0.7257411620682819
expected_cost,43,2000,hard_action,hyang,6464,0.0,0.0,1.1188624509138556
expected_cost,43,4000,proposal,coupa,4250,-1.2508343321333992,0.9969411764705882,1.2094427657894868
expected_cost,43,4000,proposal,deathCircle,3054,-0.9820445289480118,1.0,1.2844424301314885
expected_cost,43,4000,proposal,gates,1662,-2.9763046284856154,1.0,0.7473414298657456
expected_cost,43,4000,proposal,hyang,6464,-1.2535684511972844,0.9941212871287128,1.1328881576108045
expected_cost,43,4000,hard_action,coupa,4250,0.0,0.0,1.194501530547539
expected_cost,43,4000,hard_action,deathCircle,3054,0.0,0.0,1.27195130195971
expected_cost,43,4000,hard_action,gates,1662,0.0,0.0,0.7257411620682819
expected_cost,43,4000,hard_action,hyang,6464,0.0,0.0,1.1188624509138556
expected_cost,43,6000,proposal,coupa,4250,-0.5145262707838993,0.9969411764705882,1.200647554727122
expected_cost,43,6000,proposal,deathCircle,3054,-0.5867826184389413,1.0,1.2794148911146175
expected_cost,43,6000,proposal,gates,1662,-1.1371040055546455,1.0,0.7339935938921194
expected_cost,43,6000,proposal,hyang,6464,-0.5714502229795526,0.9941212871287128,1.1252561928844373
expected_cost,43,6000,hard_action,coupa,4250,0.0,0.0,1.194501530547539
expected_cost,43,6000,hard_action,deathCircle,3054,0.0,0.0,1.27195130195971
expected_cost,43,6000,hard_action,gates,1662,0.0,0.0,0.7257411620682819
expected_cost,43,6000,hard_action,hyang,6464,0.0,0.0,1.1188624509138556
expected_cost,43,10000,proposal,coupa,4250,0.44244989289328185,0.9969411764705882,1.189216459805023
expected_cost,43,10000,proposal,deathCircle,3054,-0.28817532741693963,1.0,1.2756167517887167
expected_cost,43,10000,proposal,gates,1662,0.4174267928415576,1.0,0.7227117240111293
expected_cost,43,10000,proposal,hyang,6464,0.1790931217110825,0.9941212871287128,1.116858645222861
expected_cost,43,10000,hard_action,coupa,4250,0.0,0.0,1.194501530547539
expected_cost,43,10000,hard_action,deathCircle,3054,0.0,0.0,1.27195130195971
expected_cost,43,10000,hard_action,gates,1662,0.0,0.0,0.7257411620682819
expected_cost,43,10000,hard_action,hyang,6464,0.0,0.0,1.1188624509138556
cost_supervised,43,2000,proposal,coupa,4250,-1.258187074670336,0.9969411764705882,1.2095305944116277
cost_supervised,43,2000,proposal,deathCircle,3054,-0.9450694286434969,1.0,1.2839721248617644
cost_supervised,43,2000,proposal,gates,1662,-2.9909971849501282,1.0,0.7474480597957686
cost_supervised,43,2000,proposal,hyang,6464,-1.213610154630973,0.9941212871287128,1.1324410792344992
cost_supervised,43,2000,hard_action,coupa,4250,0.0,0.0,1.194501530547539
cost_supervised,43,2000,hard_action,deathCircle,3054,0.0,0.0,1.27195130195971
cost_supervised,43,2000,hard_action,gates,1662,0.0,0.0,0.7257411620682819
cost_supervised,43,2000,hard_action,hyang,6464,0.0,0.0,1.1188624509138556
cost_supervised,43,4000,proposal,coupa,4250,-1.324409340138466,0.9969411764705882,1.2103216203862077
cost_supervised,43,4000,proposal,deathCircle,3054,-1.0158927409569918,1.0,1.2848729629048263
cost_supervised,43,4000,proposal,gates,1662,-2.916212752651881,1.0,0.7469053183877612
cost_supervised,43,4000,proposal,hyang,6464,-1.2950564069373893,0.9941212871287128,1.1333523507692325
cost_supervised,43,4000,hard_action,coupa,4250,0.010595431429205604,0.001176470588235294,1.194374967956949
cost_supervised,43,4000,hard_action,deathCircle,3054,0.0,0.0,1.27195130195971
cost_supervised,43,4000,hard_action,gates,1662,0.0,0.0,0.7257411620682819
cost_supervised,43,4000,hard_action,hyang,6464,0.0,0.0,1.1188624509138556
cost_supervised,43,6000,proposal,coupa,4250,-0.5304317051115115,0.9969411764705882,1.2008375453836055
cost_supervised,43,6000,proposal,deathCircle,3054,-0.6031717461663533,1.0,1.2796233528381258
cost_supervised,43,6000,proposal,gates,1662,-1.0316219657362735,1.0,0.733228067310568
