family,seed,step,loss,gradient_norm,learning_rate,supported_batch_rows,mean_past_normalized_ADE
transformer,17,1,1.1856008768081665,16.774391174316406,0.0003,64,59.50160217285156
transformer,17,50,0.9000363349914551,2.5781235694885254,0.00029988999006034904,63,22.410362243652344
transformer,17,100,0.9589829444885254,6.206094741821289,0.0002995511049040809,63,451.7455749511719
transformer,17,150,0.8329225778579712,1.6047823429107666,0.00029898382150483655,63,267.01312255859375
transformer,17,200,0.8230515718460083,0.4440658986568451,0.0002981890150099629,63,24.44963836669922
transformer,17,250,1.2585970163345337,2.671367645263672,0.00029716791156638426,63,247.82269287109375
transformer,17,300,1.1099644899368286,4.942734241485596,0.00029592208642902746,64,52.2728271484375
transformer,17,350,1.0011308193206787,5.292964458465576,0.0002944534615306779,63,96.4140396118164
transformer,17,400,0.7976807355880737,2.2718920707702637,0.0002927643025170163,63,6.743697643280029
transformer,17,450,0.9281126856803894,3.000696897506714,0.0002908572152514106,63,0.2539042830467224
transformer,17,500,1.1066246032714844,1.8684014081954956,0.00028873514179485345,64,403.0488586425781
transformer,17,550,1.0585235357284546,2.5853817462921143,0.00028640135586724896,63,57.69454574584961
transformer,17,600,1.1231112480163574,5.339524269104004,0.0002838594577970492,63,77.22731018066406
transformer,17,650,0.9508657455444336,2.241730213165283,0.00028111336896703226,62,108.72461700439453
transformer,17,700,1.0172233581542969,2.486146926879883,0.00027816732576479037,62,134.2408447265625
transformer,17,750,0.7683632373809814,1.6163349151611328,0.00027502587304726044,63,658.9898681640625
transformer,17,800,1.2775661945343018,2.882953643798828,0.00027169385712937896,63,34.31143569946289
transformer,17,850,1.007973313331604,1.8081625699996948,0.0002681764183076788,62,216.69708251953125
transformer,17,900,0.899982213973999,2.9199702739715576,0.00026447898293036027,63,171.17657470703125
transformer,17,950,0.9600695967674255,2.9250035285949707,0.000260607255026071,63,332.817138671875
transformer,17,1000,1.2059416770935059,1.8784325122833252,0.00025656720750430874,63,907.3499755859375
transformer,17,1050,1.1518197059631348,1.4848803281784058,0.00025236507294102155,64,247.96568298339844
transformer,17,1100,1.1575376987457275,2.2302534580230713,0.0002480073339636212,64,59.3197135925293
transformer,17,1150,0.8691715002059937,2.2980470657348633,0.00024350071325024268,63,55.383609771728516
transformer,17,1200,0.810662031173706,1.7134531736373901,0.00023885216315867728,63,37.03668212890625
transformer,17,1250,0.895746648311615,2.049715280532837,0.0002340688550009797,64,0.38163602352142334
transformer,17,1300,0.8857859373092651,2.463466167449951,0.00022915816798029423,62,28.24889373779297
transformer,17,1350,1.1404919624328613,1.87177312374115,0.00022412767780696793,64,128.7941436767578
transformer,17,1400,0.9944068789482117,1.6650110483169556,0.00021898514501151274,60,400.20635986328125
transformer,17,1450,0.9548835754394531,3.5562822818756104,0.0002137385029724445,62,270.7195129394531
transformer,17,1500,0.9542959928512573,2.0774333477020264,0.00020839584567747136,63,94.48274230957031
transformer,17,1550,0.9164350032806396,1.7978240251541138,0.00020296541523690906,61,39.008819580078125
transformer,17,1600,1.4818077087402344,4.625965118408203,0.00019745558916858856,64,603.1735229492188
transformer,17,1650,0.9504529237747192,0.9164016246795654,0.0001918748674738704,63,1.5810680389404297
transformer,17,1700,0.885977029800415,2.613110303878784,0.0001862318595247038,62,9.903480529785156
transformer,17,1750,1.217878818511963,3.395468235015869,0.00018053527078196,64,117.41065216064453
transformer,17,1800,0.9216383695602417,3.766533613204956,0.0001747938893655294,63,147.6090545654297
transformer,17,1850,1.1319210529327393,4.326545238494873,0.00016901657249690066,61,66.88510131835938
transformer,17,1900,1.0328752994537354,4.7589921951293945,0.00016321223283513668,64,64.25647735595703
transformer,17,1950,1.2455713748931885,2.5822620391845703,0.00015738982472732766,60,43.29098892211914
transformer,17,2000,1.0539453029632568,1.7985069751739502,0.0001515583303947313,63,43.68585205078125
transformer,17,2050,1.0271131992340088,4.276137351989746,0.00014572674607591255,64,19.823055267333984
transformer,17,2100,0.7818930149078369,2.439345598220825,0.00013990406814825762,60,0.22193562984466553
transformer,17,2150,0.9114872217178345,6.956928730010986,0.0001340992792492751,64,70.11518859863281
transformer,17,2200,0.7919920682907104,3.822654962539673,0.00012832133441909274,64,103.2207260131836
transformer,17,2250,1.0471527576446533,3.8788459300994873,0.00012257914728552898,62,5.038943767547607
transformer,17,2300,1.1316062211990356,3.13525128364563,0.00011688157631305119,64,148.16647338867188
transformer,17,2350,0.8236286640167236,3.910839319229126,0.00011123741113683434,63,151.90977478027344
transformer,17,2400,0.9592875242233276,2.333109140396118,0.00010565535900300224,64,2.9220335483551025
transformer,17,2450,0.93210768699646,1.5686827898025513,0.00010014403133597081,62,32.31045150756836
transformer,17,2500,0.6869262456893921,2.735158920288086,9.471193045361487e-05,62,98.0739974975586
transformer,17,2550,0.886797308921814,1.57212495803833,8.936743645075374e-05,63,102.98174285888672
transformer,17,2600,1.0039443969726562,4.906238555908203,8.411879427119006e-05,63,109.42224884033203
transformer,17,2650,0.8028860688209534,1.2244021892547607,7.897410098824593e-05,64,106.44908905029297
transformer,17,2700,0.8788135647773743,8.94451904296875,7.394129331341849e-05,63,312.3518981933594
transformer,17,2750,1.1471872329711914,1.7043466567993164,6.90281353524261e-05,63,70.44722747802734
transformer,17,2800,0.7563305497169495,3.5219013690948486,6.424220662753214e-05,63,45.15614700317383
transformer,17,2850,0.8806416392326355,6.13490629196167,5.95908903846265e-05,63,57.680206298828125
transformer,17,2900,0.9939331412315369,2.2474637031555176,5.508136220310183e-05,64,68.52760314941406
transformer,17,2950,0.7676632404327393,4.647223949432373,5.072057892609671e-05,61,136.4117431640625
transformer,17,3000,1.2638006210327148,5.365540981292725,4.651526792818301e-05,63,56.013954162597656
transformer,17,3050,0.9556025862693787,5.205804347991943,4.2471916737054047e-05,64,45.14435577392578
transformer,17,3100,1.084167718887329,4.440104007720947,3.8596763025224284e-05,63,74.52586364746094
transformer,17,3150,0.983872652053833,3.0911850929260254,3.489578498718005e-05,61,215.80291748046875
transformer,17,3200,0.6827397346496582,1.8864561319351196,3.13746921168271e-05,63,0.2931404113769531
transformer,17,3250,1.1512044668197632,3.8513317108154297,2.803891639946175e-05,63,7.063485622406006
transformer,17,3300,0.8436152935028076,7.701704025268555,2.4893603931854464e-05,63,91.19497680664062
transformer,17,3350,0.9826194643974304,2.6383144855499268,2.1943606983373167e-05,63,159.85934448242188
transformer,17,3400,1.3419544696807861,7.385373115539551,1.9193476510393732e-05,62,1.5396584272384644
transformer,17,3450,1.2908530235290527,2.763101577758789,1.6647455135545614e-05,64,230.490234375
transformer,17,3500,1.1753520965576172,5.696836948394775,1.4309470602623549e-05,63,0.4038796126842499
transformer,17,3550,1.0270726680755615,3.2675681114196777,1.2183129717262534e-05,62,211.03121948242188
transformer,17,3600,0.9188612103462219,6.025787353515625,1.0271712782723344e-05,64,48.409305572509766
transformer,17,3650,1.4041540622711182,3.890456199645996,8.578168539373221e-06,62,57.88604736328125
transformer,17,3700,1.1067560911178589,7.842214584350586,7.105109615667955e-06,64,5.746164321899414
transformer,17,3750,1.1340497732162476,3.0364131927490234,5.854808497653461e-06,64,386.5426330566406
transformer,17,3800,0.6346652507781982,3.215317726135254,4.829194023204497e-06,64,93.00916290283203
transformer,17,3850,0.9540079236030579,2.129147529602051,4.029848406409195e-06,63,90.97468566894531
transformer,17,3900,1.002760410308838,2.4776270389556885,3.458004796689305e-06,63,71.87767028808594
transformer,17,3950,0.8234763741493225,3.1734611988067627,3.1145453764223597e-06,61,190.77658081054688
transformer,17,4000,0.9282290935516357,1.1846060752868652,2.9999999999999997e-06,63,0.3315553367137909
transformer,29,1,0.9646958708763123,8.560333251953125,0.0003,63,14.793753623962402
transformer,29,50,1.012726068496704,1.6904407739639282,0.00029988999006034904,64,405.25872802734375
transformer,29,100,0.8916537761688232,3.745485544204712,0.0002995511049040809,62,492.7249450683594
transformer,29,150,1.225153923034668,0.5120149850845337,0.00029898382150483655,61,39.346343994140625
transformer,29,200,1.3168762922286987,1.5251044034957886,0.0002981890150099629,62,115.00090789794922
transformer,29,250,0.9118441343307495,0.9698015451431274,0.00029716791156638426,64,28.418840408325195
transformer,29,300,0.841403067111969,3.5860507488250732,0.00029592208642902746,63,49.73060989379883
transformer,29,350,0.8707013130187988,2.0709428787231445,0.0002944534615306779,63,34.01031494140625
transformer,29,400,1.1517181396484375,3.209897994995117,0.0002927643025170163,64,203.32530212402344
transformer,29,450,1.5763616561889648,1.7582465410232544,0.0002908572152514106,64,49.36685562133789
transformer,29,500,1.3471592664718628,3.514659881591797,0.00028873514179485345,63,152.7958526611328
transformer,29,550,0.9728308916091919,1.9680484533309937,0.00028640135586724896,63,0.3150087594985962
transformer,29,600,1.0695314407348633,5.467777729034424,0.0002838594577970492,63,30.339336395263672
transformer,29,650,0.9817584753036499,2.9875307083129883,0.00028111336896703226,62,81.19544982910156
transformer,29,700,1.0017764568328857,4.686715602874756,0.00027816732576479037,64,21.045562744140625
transformer,29,750,0.9537322521209717,3.6528401374816895,0.00027502587304726044,64,107.21166229248047
transformer,29,800,1.0995045900344849,2.042914628982544,0.00027169385712937896,63,195.11862182617188
transformer,29,850,0.9780798554420471,3.4401907920837402,0.0002681764183076788,62,17.507007598876953
transformer,29,900,0.798336386680603,2.1007513999938965,0.00026447898293036027,62,0.315737783908844
transformer,29,950,0.7885047197341919,2.5939488410949707,0.000260607255026071,62,61.179656982421875
transformer,29,1000,0.8964657187461853,2.8510963916778564,0.00025656720750430874,63,40.5953254699707
transformer,29,1050,0.7891051173210144,2.20002818107605,0.00025236507294102155,61,41.55207824707031
transformer,29,1100,1.1384716033935547,0.8773046135902405,0.0002480073339636212,61,59.31669998168945
transformer,29,1150,0.9034825563430786,2.234485387802124,0.00024350071325024268,63,125.98251342773438
