group,subset,locality,indexed_rows,supported_rows,unknown_rows,floor_error_sum,oracle_gain_cost_sum,captured_gain_cost_sum,missed_gain_cost_sum,selected_harm_cost_sum,fallback_regression_cost_sum,fallback_relief_cost_sum,original_gain_cost_sum,rebased_gain_cost_sum,rebase_advantage_cost_sum,signed_oracle_deficit_cost_sum,union_oracle_gain_cost_sum,missed_source_support_abstain_cost_sum,missed_no_observed_motion_cost_sum,missed_nonpositive_utility_cost_sum,missed_zero_event_mass_cost_sum,missed_risk_veto_cost_sum,oracle_gain_pp,captured_gain_pp,missed_gain_pp,selected_harm_pp,fallback_regression_pp,fallback_relief_pp,original_gain_pp,rebased_gain_pp,rebase_advantage_pp,signed_oracle_deficit_pp,union_oracle_gain_pp,missed_source_support_abstain_pp,missed_no_observed_motion_pp,missed_nonpositive_utility_pp,missed_zero_event_mass_pp,missed_risk_veto_pp
fold2_seed17_all,all,eu-locality-007,5664,5526,138,71777.08888413734,14234.886462207114,565.5716671966275,13669.314795010487,359.20228508753917,4161.119319538866,403.5670320684388,-3551.1829053613383,206.3693821090883,3757.5522874704266,17786.069367568452,14499.960729155293,0.0,0.0,5611.701820748888,0.0,8057.612974261599,19.832075504183635,0.7879557056285382,19.044119798555094,0.5004414231223058,5.7972806981009635,0.5622504873663478,-4.947515928228381,0.28751428250623257,5.235030210734615,24.779591432412015,20.20137756291725,0.0,0.0,7.818235467597891,0.0,11.225884330957205
fold2_seed17_all,all,eu-locality-074,104353,102348,2005,1937320.5896085496,425165.75039683556,18490.202179424476,406675.54821741104,9770.315698800427,85471.55761197758,10918.687656469065,-65832.98347488447,8719.886480624049,74552.8699555085,490998.73387172003,431472.54793523304,0.0,0.0,93490.62710112917,0.0,313184.9211162819,21.9460709124422,0.954421394094643,20.99164951834755,0.5043210582289116,4.411843763517104,0.5635973578681301,-3.3981460697832424,0.4501003358657314,3.848246405648973,25.34421698222544,22.271613188316724,0.0,0.0,4.8257695500990705,0.0,16.165879968248483
fold2_seed17_all,all,eu-locality-082,1448,1368,80,18306.725861613573,4146.155105514764,124.97605559962632,4021.1790499151375,30.177281619699606,443.9261797161567,47.28861433020815,-301.83879140602187,94.79877397992671,396.63756538594856,4447.993896920786,4168.319038218822,0.0,0.0,1974.6785243552708,0.0,2046.500525559867,22.648261283076412,0.6826783584588556,21.965582924617557,0.16484259308747715,2.42493487405633,0.2583127899968459,-1.648786318688106,0.5178357653713783,2.166622084059484,24.29704760176452,22.769331172206794,0.0,0.0,10.786628582754233,0.0,11.178954341863326
fold2_seed17_all,all,eu-locality-110,8660,8550,110,253001.00326773585,66034.02607291928,2783.1282641723046,63250.89780874697,571.2319030991516,9095.95121911059,404.29565456916896,-6479.759203468267,2211.896361073153,8691.65556454142,72513.78527638754,66343.18061473143,0.0,0.0,7382.646886738204,0.0,55868.250922008774,26.100302062059185,1.100046335083931,25.00025572697525,0.22578246557174755,3.5952233792072703,0.1598000202953057,-2.561159489399781,0.8742638695121834,3.435423358911964,28.66146155145896,26.22249704856878,0.0,0.0,2.918030676315378,0.0,22.082225050659872
fold2_seed17_all,all,eu-locality-112,5131,5004,127,119821.94720314286,33491.91419042545,259.38871226869827,33232.52547815675,89.09124101064202,3845.221255709847,258.8141642460667,-3416.1096202057242,170.29747125805628,3586.4070914637796,36908.02381063118,33644.637282650554,0.0,0.0,4714.709972807083,0.0,28517.81550534967,27.95140203625983,0.21647846519213856,27.73492357106769,0.07435302387433178,3.209112642102839,0.21599896370176677,-2.850988237083266,0.14212544131780683,2.9931136784010723,30.8023902733431,28.078860399097298,0.0,0.0,3.9347632740552054,0.0,23.800160297012486
fold2_seed17_all,all,eu-locality-119,5787,5639,148,159384.51118872495,29256.795310233778,531.0147145903466,28725.78059564343,338.9787931578262,4086.3085130769946,539.2990566177585,-3354.9735350267156,192.03592143252035,3547.009456459236,32611.768845260493,29570.682557047163,0.0,0.0,3745.4586315157767,0.0,24980.321964127652,18.35610944377852,0.3331658205869073,18.022943623191615,0.21267988377894903,2.563805279823241,0.3383635289248289,-2.104955814090454,0.12048593680795827,2.225441750898412,20.461065257868977,18.553046551702213,0.0,0.0,2.3499514498499994,0.0,15.672992173341616
fold2_seed17_all,all,eu-locality-124,3651,3550,101,148063.92662788066,29210.844218179795,869.3448404432261,28341.499377736567,135.53427528413886,3162.163954981733,278.07051776437345,-2150.282872058272,733.8105651590872,2884.0934372173588,31361.127090238064,29430.206631294393,0.0,0.0,7474.733370355911,0.0,20866.766007380655,19.72853542618351,0.5871415544909149,19.141393871692593,0.0915376745510527,2.13567479061189,0.1878043653828186,-1.4522665452892092,0.49560387993986216,1.947870425229071,21.180801971472714,19.876689279799663,0.0,0.0,5.0483149681297235,0.0,14.09307890356287
fold2_seed17_all,all,eu-locality-126,5891,5790,101,109953.09648621042,23493.720550335376,771.9277796240339,22721.79277071134,537.4081598557632,4973.875027193695,357.6835675345375,-4381.671839890887,234.51961976827064,4616.191459659158,27875.392390226265,23752.97708382518,0.0,0.0,2920.6797829852703,0.0,19801.112987726076,21.367038583839975,0.7020518787489026,20.664986705091074,0.48876127824482085,4.523633427474674,0.3253055884418824,-3.9850372385287094,0.21329060050408177,4.198327839032791,25.352075822368686,21.60282688064553,0.0,0.0,2.656296071981531,0.0,18.008690633109545
fold2_seed17_all,easy,eu-locality-007,1784,1784,0,2444.8188660221567,440.8420463830698,77.40597809263801,363.43606829043176,83.117078968177,79.6563302546035,23.540898662344855,-61.826532467797634,-5.711100875538989,56.115431592258645,502.6685788508674,462.0788675782504,0.0,0.0,184.90883122176155,0.0,178.5272370686702,18.031685394359787,3.166123231803321,14.865562162556467,3.3997233955991457,3.258168994098461,0.9628892753370756,-2.5288798825572103,-0.233600163795825,2.2952797187613854,20.560565276916996,18.90033139060629,0.0,0.0,7.5632936980160625,0.0,7.302268464540401
fold2_seed17_all,easy,eu-locality-074,17176,17176,0,33928.27020085376,6669.158514127933,1620.4072722797994,5048.751241848134,1012.0419673831751,1458.6312987199503,810.4778755851304,-39.78811823819606,608.3653048966243,648.1534231348203,6708.946632366129,7335.2155496319065,0.0,0.0,1629.3749994343088,0.0,3419.376242413825,19.656641716912855,4.7759796260966585,14.880662090816196,2.982887018383001,4.299161997015828,2.388798104905259,-0.1172712843969123,1.7930926077136569,1.910363892110569,19.77391300130977,21.619774619241642,0.0,0.0,4.802411056586397,0.0,10.0782510342298
