group,action,metric,subset,locality,rows,model_error,reference_error,gain_percent,model_p95,model_p99,reference_p95
fold2_seed17_all,original_neural,ADE_vs_floor,all,eu-locality-007,5526,13.631609082428282,12.988977358692967,-4.9475159282283965,45.682102021465525,78.0568687212355,45.00724434474006
fold2_seed17_all,original_neural,ADE_vs_floor,all,eu-locality-074,102348,19.571985511035233,18.928758643144462,-3.398146069783259,64.14521338914835,132.1292056740525,62.90487006757357
fold2_seed17_all,original_neural,ADE_vs_floor,all,eu-locality-082,1368,13.60275193934181,13.382109547963138,-1.6487863186881002,51.77887705037489,101.91283477915022,51.425477538041534
fold2_seed17_all,original_neural,ADE_vs_floor,all,eu-locality-110,8550,30.34862718961452,29.590760616109456,-2.561159489399789,120.58686240247472,266.2451493782819,119.69634221657493
fold2_seed17_all,original_neural,ADE_vs_floor,all,eu-locality-112,5004,24.62790903743976,23.94523325402535,-2.8509882370832518,86.2710070848162,185.7800808901213,84.7327219344217
fold2_seed17_all,original_neural,ADE_vs_floor,all,eu-locality-119,5639,28.859635524694387,28.264676571861138,-2.104955814090448,114.31522229375783,201.6878989025234,112.61105661938669
fold2_seed17_all,original_neural,ADE_vs_floor,all,eu-locality-124,3550,42.313861830968705,41.708148345881874,-1.4522665452892047,183.35779447274274,339.2013573961945,183.4575493815521
fold2_seed17_all,original_neural,ADE_vs_floor,all,eu-locality-126,5790,19.746937534732528,18.990172104699553,-3.9850372385287436,85.7413258923247,154.13705580720486,83.50039592159716
fold2_seed17_all,original_neural,ADE_vs_floor,easy,eu-locality-007,1784,1.4050702906333825,1.3704141625684736,-2.528879882557211,3.18148570549557,3.433519233981336,3.069367262607619
fold2_seed17_all,original_neural,ADE_vs_floor,easy,eu-locality-074,17176,1.9776466184846275,1.9753301234777456,-0.1172712843969359,3.3457185586995872,3.582914663761177,3.2693935131203515
fold2_seed17_all,original_neural,ADE_vs_floor,easy,eu-locality-082,515,1.600939370259319,1.5708147140080164,-1.917772731733458,3.1780470985439444,3.4499118397810564,3.0305478831342776
fold2_seed17_all,original_neural,ADE_vs_floor,easy,eu-locality-110,2009,1.8534441441601015,1.7398333075084131,-6.529984002570255,3.3545087770731508,3.833164409044467,3.0739867959322544
fold2_seed17_all,original_neural,ADE_vs_floor,easy,eu-locality-112,575,2.104646434577345,2.0216492814735574,-4.105417980476411,3.36628483654906,3.4970316239353663,3.1780176558709265
fold2_seed17_all,original_neural,ADE_vs_floor,easy,eu-locality-119,1323,1.791442403250253,1.8083397066073579,0.9344097956465292,3.2851397729290923,3.4536030454505204,3.099600206318804
fold2_seed17_all,original_neural,ADE_vs_floor,easy,eu-locality-124,739,1.9767819999265526,1.8896930090669188,-4.608631690003229,3.320059890044361,3.4341675891943266,3.0841436643812377
fold2_seed17_all,original_neural,ADE_vs_floor,easy,eu-locality-126,2167,1.4656997330636048,1.4008583701146202,-4.62868797676379,3.188319072768653,3.480370170986865,2.953123766367965
fold2_seed17_all,original_neural,ADE_vs_floor,hard,eu-locality-007,1057,40.418404728254956,38.85684622224942,-4.018747422459068,80.55862777744943,113.78079974285086,79.62499588488345
fold2_seed17_all,original_neural,ADE_vs_floor,hard,eu-locality-074,26162,50.83518245692639,49.499371913581456,-2.6986414002930337,119.24722913243798,216.71770466947203,118.25169417871308
fold2_seed17_all,original_neural,ADE_vs_floor,hard,eu-locality-082,245,48.31440188857318,47.48178753237176,-1.7535446735946092,103.63458869349301,169.5400402883042,102.84492248432812
fold2_seed17_all,original_neural,ADE_vs_floor,hard,eu-locality-110,2779,78.03542900587738,76.58741773950138,-1.8906646928626758,223.08745862792557,399.24214427247335,217.7895967541795
