bin,rows,tracks,recordings,cv_error_share_percent,control_gain_percent,motion_loss_gain_percent
zero,8566,453,29,0.0,,
"(0,1]",1299,75,22,4.064723192478533,-8.689576446076952,-196.9029624109238
"(1,2]",1902,121,22,10.127761338252244,-2.5283379065974554,-118.90250425323741
"(2,5]",2432,202,25,23.300984492652805,-1.1060003675604113,-41.511511583959006
"(5,10]",503,122,22,9.256632339284335,-0.33948492183317747,-17.59687205255791
>10,728,115,23,53.24989863733208,-0.06409071311661574,-1.953072123922417
