variant,mode,seed,requested_rate,rows,ade,fde,cv_ade,gain_percent,native_pixel_ade,native_pixel_cv_ade,harm_over_cv,easy_rows,moving_rows,hard_rows,easy_absolute_harm,easy_pixel_harm,easy_percentage_degradation,easy_percentage_reason,moving_gain_percent,hard_gain_percent,actual_changed_rate,tail_ade95,tail_ade99,rows_helped,rows_harmed,binary_oracle_ade,binary_oracle_gain_percent,regret_to_binary_future_oracle,oracle_is_deployable
expected_cost,proposal,17,1.0,6944,787.0569579683746,1606.5570728427238,773.9476085867074,-1.693829044269024,0.787056995351574,0.7739476453472461,13.109349381667169,3769,3175,496,21.780872214233156,0.021780873248769074,,zero_error_CV_denominator,-0.1663328752535831,-0.03453164748774551,1.0,2989.450800655713,9112.412398487248,1343,5601,772.3124561887903,0.21127430071178344,14.744501779584342,False
expected_cost,hard_action,17,0.0,6944,773.9476085867074,1564.990975512284,773.9476085867074,0.0,0.7739476453472461,0.7739476453472461,0.0,3769,3175,496,0.0,0.0,,zero_error_CV_denominator,0.0,0.0,0.0,2995.9352076779546,9109.718933300863,0,0,773.9476085867074,0.0,0.0,False
cost_supervised,proposal,17,1.0,6944,787.0346754132668,1607.9344396320382,773.9476085867074,-1.6909499662977945,0.787034712795408,0.7739476453472461,13.08706682655941,3769,3175,496,21.648097756402624,0.021648098784632093,,zero_error_CV_denominator,-0.1727652919591538,-0.04063093742894264,1.0,2988.0788701118445,9114.943665533143,1354,5590,772.3115110962253,0.21139641396006326,14.723164317041439,False
cost_supervised,hard_action,17,0.7530241935483871,6944,784.1445561137696,1598.5936233307455,773.9476085867074,-1.3175242631323192,0.7841445933586375,0.7739476453472461,10.196947527062266,3769,3175,496,16.63317889037464,0.016633179680408245,,zero_error_CV_denominator,-0.151036677892602,-0.03592330488342288,0.7530241935483871,2997.3263622740137,9114.943665533143,1012,4217,772.7783103869767,0.15108234546596933,11.366245726792878,False
expected_cost,proposal,29,1.0,6944,789.9349177488712,1615.9126733712667,773.9476085867074,-2.0656836438008863,0.7899349552687666,0.7739476453472461,15.98730916216383,3769,3175,496,26.03667186238685,0.026036673099062407,,zero_error_CV_denominator,-0.23972754192729262,-0.0918294903282213,1.0,2992.575569248413,9114.315169512844,1377,5567,771.9217590668951,0.2617553820615348,18.013158681976083,False
expected_cost,hard_action,29,0.0,6944,773.9476085867074,1564.990975512284,773.9476085867074,0.0,0.7739476453472461,0.7739476453472461,0.0,3769,3175,496,0.0,0.0,,zero_error_CV_denominator,0.0,0.0,0.0,2995.9352076779546,9109.718933300863,0,0,773.9476085867074,0.0,0.0,False
cost_supervised,proposal,29,1.0,6944,789.8030021344043,1616.008168143639,773.9476085867074,-2.0486391290297057,0.7898030396480339,0.7739476453472461,15.855393547696956,3769,3175,496,26.007132863879658,0.026007134099152184,,zero_error_CV_denominator,-0.2247546020045732,-0.07262117477846441,1.0,2998.972950909014,9114.554809265404,1393,5551,771.9390894393667,0.2595161642799493,17.86391269503757,False
cost_supervised,hard_action,29,0.5560195852534562,6944,785.2524856161194,1601.5343788589169,773.9476085867074,-1.4606772995985784,0.7852525229136111,0.7739476453472461,11.30487702941205,3769,3175,496,18.171548844432145,0.0181715497075344,,zero_error_CV_denominator,-0.18630357517037677,-0.05916932673837305,0.5560195852534562,2998.972950909014,9108.748301422358,759,3102,772.7244277418766,0.1580443987758251,12.528057874242897,False
expected_cost,proposal,43,1.0,6944,786.7603147651795,1606.196785510689,773.9476085867074,-1.6555004545939722,0.7867603521342893,0.7739476453472461,12.812706178472054,3769,3175,496,21.47349958262537,0.02147350060256187,,zero_error_CV_denominator,-0.1495603790454325,-0.04624405437212431,1.0,2981.2341897542515,9112.600277870495,1349,5595,772.2239832344734,0.22270568874571683,14.536331530706082,False
expected_cost,hard_action,43,0.0,6944,773.9476085867074,1564.990975512284,773.9476085867074,0.0,0.7739476453472461,0.7739476453472461,0.0,3769,3175,496,0.0,0.0,,zero_error_CV_denominator,0.0,0.0,0.0,2995.9352076779546,9109.718933300863,0,0,773.9476085867074,0.0,0.0,False
cost_supervised,proposal,43,1.0,6944,785.5875581666712,1602.9140952016621,773.9476085867074,-1.5039712573334807,0.7855875954800781,0.7739476453472461,11.639949579963925,3769,3175,496,19.72143621504825,0.019721437151766205,,zero_error_CV_denominator,-0.12090367538959423,-0.039142037573602906,1.0,2980.174092335021,9114.39700520189,1331,5613,772.3361265761703,0.20821590410748936,13.25143159050099,False
cost_supervised,hard_action,43,0.5805011520737328,6944,781.365687763529,1589.0696043186288,773.9476085867074,-0.9584730406193342,0.7813657248764078,0.7739476453472461,7.418079176821676,3769,3175,496,12.647704579509718,0.01264770518024345,,zero_error_CV_denominator,-0.07148742764577776,-0.013898512089638437,0.5805011520737328,2982.977627384127,9114.39700520189,812,3219,772.8963464701059,0.135831173187706,8.469341293423161,False
dense_control,proposal,17,1.0,6944,787.0258790467094,1606.5141584070454,773.9476085867074,-1.6898134078977334,0.7870259164284327,0.7739476453472461,13.078270460001901,3769,3175,496,21.649640730806244,0.021649641759109,,zero_error_CV_denominator,-0.1715205245091056,-0.042463166840844835,1.0,2990.7587486742145,9114.705526805792,1360,5584,772.3374574731824,0.2080439419491431,14.68842157352681,False
dense_control,proposal,29,1.0,6944,789.9843770939774,1617.43905518426,773.9476085867074,-2.072074172637417,0.7899844146162219,0.7739476453472461,16.036768507270043,3769,3175,496,26.2546417937502,0.026254643040778763,,zero_error_CV_denominator,-0.2308318034443424,-0.0901774324443716,1.0,2997.886199760015,9113.115817791408,1397,5547,771.8734538694764,0.2679967861155985,18.110923224500937,False
