variant,mode,recording,rows,ade,fde,cv_ade,gain_percent,native_pixel_ade,native_pixel_cv_ade,harm_over_cv,easy_rows,moving_rows,hard_rows,easy_absolute_harm,easy_pixel_harm,easy_percentage_degradation,easy_percentage_reason,moving_gain_percent,hard_gain_percent,actual_changed_rate,tail_ade95,tail_ade99,rows_helped,rows_harmed,binary_oracle_ade,binary_oracle_gain_percent,regret_to_binary_future_oracle,oracle_is_deployable
expected_cost,proposal,bookstore/video0,2601,1078.838240478676,2212.020350769816,1074.2519411608769,-0.42692958160663874,1.0788382917207429,1.0742519921851061,4.58629931779919,1000,1601,221,10.041187869501586,0.010041188346432419,,zero_error_CV_denominator,-0.06756225120996273,-0.00034888408768640744,1.0,3992.023119957246,12539.72856494009,660,1941,1072.9785518547137,0.11853730557721542,5.859688623962289,False
expected_cost,proposal,bookstore/video1,1662,786.3982820571423,1517.514515590334,776.3253572015786,-1.297513312185683,0.7863983194090564,0.7763253940750544,10.072924855563619,891,771,147,16.716460427410947,0.016716461221400213,,zero_error_CV_denominator,-0.1431374494792248,-0.04508816665189652,1.0,3561.9464258454523,7779.310665135828,355,1307,774.5428640082544,0.22960646290746123,11.855418048887833,False
expected_cost,proposal,bookstore/video2,729,609.6735702939179,1302.5710711109502,591.3380134598498,-3.100689692987757,0.6096735992518588,0.5913380415468983,18.33555683406823,388,341,33,26.77825141253677,0.026778252684435462,,zero_error_CV_denominator,-0.6905033903740643,0.11745594692964545,1.0,2181.5784676903518,6265.20345792104,129,600,589.3712238875706,0.33259988830612874,20.30234640634735,False
expected_cost,proposal,bookstore/video3,856,496.2978424222458,1005.9881356696972,477.7487767400338,-3.882598257767067,0.4962978659951285,0.47774879943188303,18.549065682212078,618,238,48,22.496320759860716,0.022496321828378615,,zero_error_CV_denominator,-0.4830076370456071,-0.2697298887463617,1.0,2343.0112017110364,5008.692174682969,84,772,475.8570354553243,0.3959698855992899,20.440806966921535,False
expected_cost,proposal,bookstore/video4,212,635.6799047902592,1979.498840877797,536.9894501440408,-18.378471796744968,0.6356799349834346,0.5369894756496711,98.69045464621837,194,18,11,106.80347332616546,0.10680347839905824,,zero_error_CV_denominator,-0.1778807299008145,-0.42224327778053183,1.0,2213.533020338721,15085.747515644352,5,207,534.4795656688937,0.4673992151007611,101.20033912136554,False
expected_cost,proposal,bookstore/video5,352,441.884603168409,798.8108945397249,412.81815739601626,-7.040980453897361,0.44188462415680135,0.41281817700382656,29.06644577239276,248,104,14,39.71249076706466,0.03971249265330676,,zero_error_CV_denominator,-0.2633583078411439,-0.9575414174207708,1.0,2118.011077468575,3536.19200243856,48,304,410.1347768686006,0.6500151408896149,31.7498262998084,False
expected_cost,proposal,bookstore/video6,532,373.412949844843,732.4136542319789,358.492541093981,-4.161985826910275,0.3734129675810064,0.35849255812146297,14.920408750861965,430,102,22,16.874033551335373,0.016874034352808962,,zero_error_CV_denominator,-0.3575031798134898,-0.10813857889737655,1.0,1932.0456830080616,6693.808307891678,49,483,357.92904594074673,0.1571846241248842,15.483903904096286,False
expected_cost,hard_action,bookstore/video0,2601,1074.2519411608769,2198.248241118697,1074.2519411608769,0.0,1.0742519921851061,1.0742519921851061,0.0,1000,1601,221,0.0,0.0,,zero_error_CV_denominator,0.0,0.0,0.0,3994.042696329308,12541.246908997484,0,0,1074.2519411608769,0.0,0.0,False
expected_cost,hard_action,bookstore/video1,1662,776.3253572015786,1486.4598312957417,776.3253572015786,0.0,0.7763253940750544,0.7763253940750544,0.0,891,771,147,0.0,0.0,,zero_error_CV_denominator,0.0,0.0,0.0,3586.492327303515,7796.035347199763,0,0,776.3253572015786,0.0,0.0,False
expected_cost,hard_action,bookstore/video2,729,591.3380134598498,1244.3361985948222,591.3380134598498,0.0,0.5913380415468983,0.5913380415468983,0.0,388,341,33,0.0,0.0,,zero_error_CV_denominator,0.0,0.0,0.0,2162.326503736727,6273.637407596833,0,0,591.3380134598498,0.0,0.0,False
expected_cost,hard_action,bookstore/video3,856,477.7487767400338,945.8883617531981,477.7487767400338,0.0,0.47774879943188303,0.47774879943188303,0.0,618,238,48,0.0,0.0,,zero_error_CV_denominator,0.0,0.0,0.0,2344.4204368929722,4981.299882047401,0,0,477.7487767400338,0.0,0.0,False
expected_cost,hard_action,bookstore/video4,212,536.9894501440408,1660.760374863079,536.9894501440408,0.0,0.5369894756496711,0.5369894756496711,0.0,194,18,11,0.0,0.0,,zero_error_CV_denominator,0.0,0.0,0.0,2316.666666666663,15081.96750726943,0,0,536.9894501440408,0.0,0.0,False
