family,seed,head,recording,subset,rows,target_benefit_mean,target_harm_mean,predicted_benefit_mean,predicted_harm_mean,benefit_mse,harm_mse,actual_net_gain_mean,predicted_net_gain_mean,positive_harm_fraction
transformer,17,ridge,all_fit,all,11966,0.058665803411292565,0.8415290888009964,0.08719301133222172,0.8651422140053556,0.19850626222135948,0.9669399923850517,-0.7828632853897038,-0.7779492026731339,0.7740264081564433
transformer,17,ridge,all_fit,ridge_harm_clipped_to_zero,2358,0.013539868474029168,0.09283539464447375,0.08586417854170333,0.0,0.04691782983877044,0.08109882302469355,-0.07929552617044458,0.08586417854170333,0.6959287531806616
transformer,17,ridge,all_fit,ridge_benefit_clipped_to_zero,4452,0.011069719414195593,0.8494398427114102,0.0,0.985231518069314,0.009262936664952282,0.5949953506624235,-0.8383701232972145,-0.985231518069314,0.7863881401617251
transformer,17,ridge,all_fit,eligible_conservative,2055,0.016409189774685397,0.11120121926501746,0.11237601192980787,0.003925539977359075,0.05510922873796285,0.09515964672093209,-0.09479202949033205,0.1084504719524488,0.7099756690997567
transformer,17,ridge,all_fit,eligible_moderate,2381,0.01699831537028727,0.10899080125509993,0.10572649450352316,0.00752359047901325,0.048821999608031005,0.0861839975119269,-0.09199248588481265,0.09820290402450992,0.7165056698866022
transformer,17,ridge,eth_eth,all,2614,0.11755514270289606,0.1672700768258284,0.1302819480106246,0.20977210524251833,0.2593561896819659,0.7313204426585495,-0.04971493412293234,-0.07949015723189372,0.6392501912777353
transformer,17,ridge,eth_eth,ridge_harm_clipped_to_zero,977,0.0132081584058785,0.03467839348985937,0.06870574712898189,0.0,0.06522248343183708,0.07717774810981799,-0.021470235083980868,0.06870574712898189,0.6110542476970318
transformer,17,ridge,eth_eth,ridge_benefit_clipped_to_zero,1477,0.013949615642272416,0.06071515280954475,0.0,0.13340054437286078,0.024666505502770934,0.25355786332737945,-0.04676553716727234,-0.13340054437286078,0.6878808395396073
transformer,17,ridge,eth_eth,eligible_conservative,691,0.01800706407628743,0.03951612276575246,0.10470646957552812,0.0023577549695623593,0.09251097822628113,0.10866825128232936,-0.02150905868946503,0.10234871460596577,0.5716353111432706
transformer,17,ridge,eth_eth,eligible_moderate,790,0.016739620991814527,0.037658014253629746,0.09574784102460629,0.003567740434332739,0.08119760493608574,0.0951877816238556,-0.02091839326181522,0.09218010059027355,0.5873417721518988
