tag,pair,bank,weighting,bin,mean_target_minus_cap,normalized_mean_target_minus_cap,rows
fold0_seed17_controller1_full_eu-locality-110,full,original_in_sample,registered_risk_weights,0,-0.13736216487293001,-1.2578147902732755,2209
fold0_seed17_controller1_full_eu-locality-110,full,original_in_sample,registered_risk_weights,1,-0.2513394813713776,-1.8140705244497166,2233
fold0_seed17_controller1_full_eu-locality-110,full,original_in_sample,registered_risk_weights,2,-0.577740290485249,-2.0037227634525534,2237
fold0_seed17_controller1_full_eu-locality-110,full,original_in_sample,uniform_positive_envelope,0,-0.13646092541358035,-1.1860615546781288,2227
fold0_seed17_controller1_full_eu-locality-110,full,original_in_sample,uniform_positive_envelope,1,-0.2510189641418774,-1.7134970678977237,2226
fold0_seed17_controller1_full_eu-locality-110,full,original_in_sample,uniform_positive_envelope,2,-0.5695768546552631,-1.878338924253696,2226
fold0_seed17_controller1_full_eu-locality-119,full,in_sample_next,registered_risk_weights,0,-0.05304757706873915,-0.532972236384616,2321
fold0_seed17_controller1_full_eu-locality-119,full,in_sample_next,registered_risk_weights,1,-0.1536461688186479,-1.4368263524787068,2903
fold0_seed17_controller1_full_eu-locality-119,full,in_sample_next,registered_risk_weights,2,-0.45836808455343503,-2.105774518521757,2961
fold0_seed17_controller1_full_eu-locality-119,full,in_sample_next,uniform_positive_envelope,0,-0.06861900087457978,-0.5205930594854423,2729
fold0_seed17_controller1_full_eu-locality-119,full,in_sample_next,uniform_positive_envelope,1,-0.16338158405899447,-3.6746903299520226,2728
fold0_seed17_controller1_full_eu-locality-119,full,in_sample_next,uniform_positive_envelope,2,-0.4260786774972265,-2.0602409921370755,2728
fold0_seed17_controller1_full_eu-locality-119,full,in_sample_prev,registered_risk_weights,0,-0.028977716492672764,-0.26637046469413683,2913
fold0_seed17_controller1_full_eu-locality-119,full,in_sample_prev,registered_risk_weights,1,-0.1662834235583756,-2.7883101110500297,2661
fold0_seed17_controller1_full_eu-locality-119,full,in_sample_prev,registered_risk_weights,2,-0.5390090036096771,-2.3338846407433116,2611
fold0_seed17_controller1_full_eu-locality-119,full,in_sample_prev,uniform_positive_envelope,0,-0.023269417676197713,-0.22755200190046884,2729
fold0_seed17_controller1_full_eu-locality-119,full,in_sample_prev,uniform_positive_envelope,1,-0.1477477132917441,-2.4530419115463027,2728
fold0_seed17_controller1_full_eu-locality-119,full,in_sample_prev,uniform_positive_envelope,2,-0.4877105706471013,-2.2251873394559545,2728
fold0_seed17_controller1_full_eu-locality-119,full,oof,registered_risk_weights,0,-0.026536500915476033,-0.11987950546752547,3160
fold0_seed17_controller1_full_eu-locality-119,full,oof,registered_risk_weights,1,-0.17091458031134887,-1.6299979756596568,2673
fold0_seed17_controller1_full_eu-locality-119,full,oof,registered_risk_weights,2,-0.4457218460040777,-4.774312689895921,2352
fold0_seed17_controller1_full_eu-locality-119,full,oof,uniform_positive_envelope,0,-0.017633267164076136,-0.08357834859128463,2729
fold0_seed17_controller1_full_eu-locality-119,full,oof,uniform_positive_envelope,1,-0.12668320803822208,-1.3110580168353643,2728
fold0_seed17_controller1_full_eu-locality-119,full,oof,uniform_positive_envelope,2,-0.41977244818011517,-4.618139624700027,2728
fold0_seed17_controller1_full_eu-locality-119,full,original_in_sample,registered_risk_weights,0,-0.06795730824068728,-0.6219345344344711,2858
fold0_seed17_controller1_full_eu-locality-119,full,original_in_sample,registered_risk_weights,1,-0.1592316858065711,-1.6109486359899954,2655
fold0_seed17_controller1_full_eu-locality-119,full,original_in_sample,registered_risk_weights,2,-0.41856656493011357,-1.9301034482745267,2672
fold0_seed17_controller1_full_eu-locality-119,full,original_in_sample,uniform_positive_envelope,0,-0.06079218168030859,-0.5913316666527207,2729
fold0_seed17_controller1_full_eu-locality-119,full,original_in_sample,uniform_positive_envelope,1,-0.15083686917939745,-1.6318530284699266,2728
fold0_seed17_controller1_full_eu-locality-119,full,original_in_sample,uniform_positive_envelope,2,-0.3741782721054276,-1.8042255637606626,2728
fold0_seed17_controller1_full_eu-locality-124,full,in_sample_next,registered_risk_weights,0,-0.12832430496621955,-1.2489486495264568,3280
fold0_seed17_controller1_full_eu-locality-124,full,in_sample_next,registered_risk_weights,1,-0.229204028074674,-2.4468981046313742,3302
fold0_seed17_controller1_full_eu-locality-124,full,in_sample_next,registered_risk_weights,2,-0.5972731643885812,-2.067221249339599,3099
fold0_seed17_controller1_full_eu-locality-124,full,in_sample_next,uniform_positive_envelope,0,-0.12703805178972352,-1.3459529763452738,3227
fold0_seed17_controller1_full_eu-locality-124,full,in_sample_next,uniform_positive_envelope,1,-0.2185172344700081,-2.6078596622810224,3227
fold0_seed17_controller1_full_eu-locality-124,full,in_sample_next,uniform_positive_envelope,2,-0.5578305993754193,-2.0937674202402237,3227
fold0_seed17_controller1_full_eu-locality-124,full,in_sample_prev,registered_risk_weights,0,-0.14239456121498112,-1.1202484922402727,3439
fold0_seed17_controller1_full_eu-locality-124,full,in_sample_prev,registered_risk_weights,1,-0.293187961786293,-1.7784901442464824,3143
fold0_seed17_controller1_full_eu-locality-124,full,in_sample_prev,registered_risk_weights,2,-0.6172528857068695,-2.531034284974483,3099
fold0_seed17_controller1_full_eu-locality-124,full,in_sample_prev,uniform_positive_envelope,0,-0.12163156367219616,-1.0336120587725492,3227
fold0_seed17_controller1_full_eu-locality-124,full,in_sample_prev,uniform_positive_envelope,1,-0.28393214990836746,-1.88296103019333,3227
