tag,pair,bank,weighting,rows,mse,floor,floor_share_percent,distance,cross,above_cap_fraction,mean_target_minus_cap,envelope_floor,identity_error
fold0_seed17_controller1_full_eu-locality-007,full,in_sample_next,registered_risk_weights,9019,0.022823673852113962,0.015244645542280253,66.79312735126678,0.0015454424176613276,0.006033585892172385,0.02758383206228759,-0.268405591130188,0.0,2.6645352591003757e-15
fold0_seed17_controller1_full_eu-locality-007,full,in_sample_next,uniform_positive_envelope,9019,0.0208121430702103,0.013928443809296254,66.9246014805313,0.0013673487014915593,0.005516350559422491,0.02816276749085264,-0.23901428479507603,0.0,2.6645352591003757e-15
fold0_seed17_controller1_full_eu-locality-007,full,in_sample_prev,registered_risk_weights,9019,0.022023706264852783,0.014191222526094976,64.43612330928369,0.0017908681497608152,0.006041615588996984,0.026699372405417993,-0.27444751358183594,0.0,8.881784197001252e-16
fold0_seed17_controller1_full_eu-locality-007,full,in_sample_prev,uniform_positive_envelope,9019,0.02041050131497843,0.013271705909141472,65.02390952740544,0.001561649342627764,0.005577146063209193,0.027386628229293712,-0.27328171067735846,0.0,8.881784197001252e-16
fold0_seed17_controller1_full_eu-locality-007,full,oof,registered_risk_weights,9019,0.02360450685190385,0.019216948216155917,81.41219952920115,0.0007432950425831698,0.0036442635931647565,0.0289708077289776,-0.23282848641871332,0.0,1.5543122344752192e-15
fold0_seed17_controller1_full_eu-locality-007,full,oof,uniform_positive_envelope,9019,0.02153809927819685,0.017540919876965093,81.44135492365324,0.0006884980347918155,0.003308681366439935,0.029271537864508257,-0.22322644590020768,0.0,1.5543122344752192e-15
fold0_seed17_controller1_full_eu-locality-007,full,original_in_sample,registered_risk_weights,9019,0.023125528550514005,0.016085619989195946,69.55784796035901,0.001255420916663372,0.005784487644654685,0.027697362648775016,-0.2338948177766522,0.0,1.7763568394002505e-15
fold0_seed17_controller1_full_eu-locality-007,full,original_in_sample,uniform_positive_envelope,9019,0.021100857376135936,0.014708068919102753,69.70365543410041,0.0011184337654141852,0.0052743546916189975,0.028051890453487084,-0.22085621505092734,0.0,1.7763568394002505e-15
fold0_seed17_controller1_full_eu-locality-110,full,in_sample_next,registered_risk_weights,6679,0.027079427662899544,0.018987689132264285,70.1185023872516,0.0014963475252144289,0.006595391005420825,0.026708036371208582,-0.33413419615512785,0.0,2.220446049250313e-15
fold0_seed17_controller1_full_eu-locality-110,full,in_sample_next,uniform_positive_envelope,6679,0.029951441159166144,0.02111691715874861,70.50384335942422,0.001575330687364077,0.0072591933130534535,0.027099865249288816,-0.33756721771710374,0.0,2.220446049250313e-15
fold0_seed17_controller1_full_eu-locality-110,full,in_sample_prev,registered_risk_weights,6679,0.027380086951587466,0.01743892671327566,63.692006326022906,0.0025732691984115715,0.007367891039900232,0.026630711901908143,-0.32857141565607056,0.0,1.7763568394002505e-15
fold0_seed17_controller1_full_eu-locality-110,full,in_sample_prev,uniform_positive_envelope,6679,0.030252528563320384,0.019290545346451936,63.76506778954245,0.0028167942658375183,0.00814518895103093,0.02709986524928882,-0.3381041461475679,0.0,1.7763568394002505e-15
fold0_seed17_controller1_full_eu-locality-110,full,oof,registered_risk_weights,6679,0.03819050764733216,0.023640874681648497,61.902488702058285,0.008696071741289717,0.005853561224393941,0.029813952839265523,-0.27647106267675287,0.0,2.0539125955565396e-15
fold0_seed17_controller1_full_eu-locality-110,full,oof,uniform_positive_envelope,6679,0.042302068066684836,0.026324647039952853,62.230165670517025,0.009613688992594238,0.006363732034137747,0.03069321754753706,-0.2426939139381969,0.0,2.0539125955565396e-15
fold0_seed17_controller1_full_eu-locality-110,full,original_in_sample,registered_risk_weights,6679,0.02774526026319444,0.019361249421156478,69.78218707445396,0.0018826359334677338,0.006501374908570224,0.025813671488552264,-0.3221101311863388,0.0,2.220446049250313e-15
fold0_seed17_controller1_full_eu-locality-110,full,original_in_sample,uniform_positive_envelope,6679,0.030668151704460158,0.021533614367399263,70.21490755266991,0.002020760246629053,0.007113777090431851,0.026351250187153764,-0.3189915816048028,0.0,2.220446049250313e-15
fold0_seed17_controller1_full_eu-locality-119,full,in_sample_next,registered_risk_weights,8185,0.011504356997799404,0.00951014612423181,82.66560335402444,0.0005658159066660646,0.0014283949669015308,0.027898062471982846,-0.22167488285050208,0.0,2.220446049250313e-15
fold0_seed17_controller1_full_eu-locality-119,full,in_sample_next,uniform_positive_envelope,8185,0.010536974919194936,0.008688358085044826,82.45590552956016,0.0004428571884772627,0.0014057596456728489,0.028466707391569947,-0.21934133743580925,0.0,2.220446049250313e-15
fold0_seed17_controller1_full_eu-locality-119,full,in_sample_prev,registered_risk_weights,8185,0.014100920428441459,0.008873150588430996,62.926038292748,0.002685333626434951,0.0025424362135755122,0.028750922633006822,-0.24472218694712963,0.0,1.3322676295501878e-15
fold0_seed17_controller1_full_eu-locality-119,full,in_sample_prev,uniform_positive_envelope,8185,0.01271844269364137,0.008062705751587743,63.39381279453907,0.002396573892012137,0.0022591630500414872,0.02944410507025046,-0.21955191685076528,0.0,1.3322676295501878e-15
fold0_seed17_controller1_full_eu-locality-119,full,oof,registered_risk_weights,8185,0.0230043606969622,0.02099817009987864,91.27908563288835,0.0005560321386140094,0.001450158458469561,0.029935064365657293,-0.21435837512875672,0.0,1.1879386363489175e-14
fold0_seed17_controller1_full_eu-locality-119,full,oof,uniform_positive_envelope,8185,0.020803608879286666,0.019084145025773113,91.73478090512674,0.0004777584738838563,0.0012417053796296893,0.030543677458766037,-0.18800882299992516,0.0,1.1879386363489175e-14
fold0_seed17_controller1_full_eu-locality-119,full,original_in_sample,registered_risk_weights,8185,0.01585015649064179,0.009741088815666182,61.45736681790803,0.004198794078301279,0.0019102735966743242,0.0288188225630861,-0.2151928283414485,0.0,1.887379141862766e-15
fold0_seed17_controller1_full_eu-locality-119,full,original_in_sample,uniform_positive_envelope,8185,0.014302560474994808,0.008904910744684576,62.26095502447305,0.0037448741329754688,0.00165277559733476,0.02944410507025046,-0.19525267797563406,0.0,1.887379141862766e-15
fold0_seed17_controller1_full_eu-locality-124,full,in_sample_next,registered_risk_weights,9681,0.024262302322357494,0.016031852030473075,66.07720824457729,0.0020944712223167567,0.006135979069567662,0.027855379166922385,-0.3182602973249731,0.0,2.6645352591003757e-15
