trial,schedule,modality,seed,fold,gain_vs_CV,ADE,FDE,easy_degradation,easy_absolute_harm,train_gain,fit_seconds,sampled_auxiliary_rows
no_aux_geometry_seed17_fold0,no_aux,geometry,17,0,-0.1529022078809339,7.943112109058311,15.61568305207233,328.8362233033859,0.0437007181912451,1.6524112839906513,10.366840958944522,0
sdd_aux_geometry_seed17_fold0,sdd_aux,geometry,17,0,-0.2254260339016989,7.948863963153014,15.635806306473185,386.4637416688961,0.05135913220309959,1.5567874088501243,10.680948375025764,98207
no_aux_geometry_seed29_fold0,no_aux,geometry,29,0,-0.2393327757480579,7.949966904826417,15.635773254118641,348.0181055604769,0.04624989608434295,1.632858309844698,10.15512629202567,0
sdd_aux_geometry_seed29_fold0,sdd_aux,geometry,29,0,-0.21768197463314376,7.948249782938629,15.624807792130166,325.30451344776657,0.04323137130608984,1.5557356523889676,10.381865459028631,97892
no_aux_geometry_seed43_fold0,no_aux,geometry,43,0,-0.10434959102281205,7.939261408076209,15.606116198378167,308.8916914721044,0.04105018791736154,1.6292852259942037,10.433357707923278,0
sdd_aux_geometry_seed43_fold0,sdd_aux,geometry,43,0,-0.23370324120401964,7.949520427260422,15.632223465621733,329.9566398010056,0.04384961603810464,1.5175410151390456,10.658414125093259,98096
no_aux_mask_only_seed17_fold0,no_aux,mask_only,17,0,-0.14886435625531824,7.942791867633102,15.615842728798562,313.15301674201476,0.04161649710578017,1.6792137009346564,294.73877212498337,0
sdd_aux_mask_only_seed17_fold0,sdd_aux,mask_only,17,0,-0.20357457759314634,7.947130927330999,15.630380401433763,350.76260679755603,0.04661462681240042,1.5691596099098537,282.712534833001,98207
no_aux_mask_only_seed29_fold0,no_aux,mask_only,29,0,-0.20359170925614567,7.9471322860407,15.627759546861562,327.55284430211304,0.043530163428440134,1.6487452862054885,283.39039124990813,0
sdd_aux_mask_only_seed29_fold0,sdd_aux,mask_only,29,0,-0.22087093243323697,7.948502698717991,15.627408134680103,354.98938103641757,0.047176344338574816,1.5578325954867078,283.369290624978,97892
no_aux_mask_only_seed43_fold0,no_aux,mask_only,43,0,-0.10302461638138638,7.939156324530088,15.609016668530778,309.32948942012473,0.04110836911333489,1.6574432061958966,283.5373446670128,0
sdd_aux_mask_only_seed43_fold0,sdd_aux,mask_only,43,0,-0.2117205987965498,7.94777698708798,15.627278064072355,320.17728781718165,0.042549988214731334,1.489354248887731,281.8164894171059,98096
no_aux_past_rgb_seed17_fold0,no_aux,past_rgb,17,0,-1.32189370740734,8.035824654881509,15.8197578806269,828.4063439819707,0.11009113236529192,2.145866513494721,288.28070229198784,0
sdd_aux_past_rgb_seed17_fold0,sdd_aux,past_rgb,17,0,-0.9157153775284588,8.003610710608568,15.765109732584262,692.097585942214,0.09197636823665073,2.057954101369275,289.49562304094434,98207
no_aux_past_rgb_seed29_fold0,no_aux,past_rgb,29,0,-1.1342498553047475,8.020942648259947,15.778846782788085,745.7150278343335,0.09910186279051925,2.173937991384378,289.0709783330094,0
sdd_aux_past_rgb_seed29_fold0,sdd_aux,past_rgb,29,0,-0.8424434887242871,7.997799527763302,15.733412753062794,536.8047345097159,0.07133871138305853,1.9903139812532111,289.5724682500586,97892
no_aux_past_rgb_seed43_fold0,no_aux,past_rgb,43,0,-1.2524129757691016,8.030314148159734,15.805784999740075,876.9670394661,0.11654461017015322,2.17475560214182,288.99106787506025,0
sdd_aux_past_rgb_seed43_fold0,sdd_aux,past_rgb,43,0,-0.7798624702950896,7.992836236292723,15.736758687379336,614.47238226714,0.08166036011484269,1.9757264014362175,291.32484716700856,98096
no_aux_geometry_seed17_fold1,no_aux,geometry,17,1,-0.7353941537864284,5.315779351860142,9.923427019733973,7348.238788736586,0.1320428679777446,0.7056701836649415,9.585257875034586,0
sdd_aux_geometry_seed17_fold1,sdd_aux,geometry,17,1,-0.4358488567464347,5.2999724280045495,9.89530503448241,1950.3105911125228,0.03504575875958233,0.5689525302501219,9.843859707936645,98207
no_aux_geometry_seed29_fold1,no_aux,geometry,29,1,-0.9146838122026102,5.325240418372235,9.938703235084033,10074.806578724412,0.18103744219838358,0.6909593085155707,9.587877375073731,0
sdd_aux_geometry_seed29_fold1,sdd_aux,geometry,29,1,-0.3528271747869738,5.295591396427476,9.880847479217877,3703.4538704035626,0.06654855463065908,0.5736737906117728,9.891907416982576,97892
no_aux_geometry_seed43_fold1,no_aux,geometry,43,1,-0.6620284784056851,5.311907865124022,9.91716595104971,6989.528183686937,0.12559708165716538,0.6809868719028778,9.482344374991953,0
sdd_aux_geometry_seed43_fold1,sdd_aux,geometry,43,1,-0.30250768043660337,5.292936050396314,9.879475674279421,2510.004789955173,0.04510308396776273,0.5687008999296195,9.776413583080284,98096
no_aux_mask_only_seed17_fold1,no_aux,mask_only,17,1,-0.9285850125499095,5.325973980933765,9.94279960994699,8733.07221520823,0.15692738555535068,0.7371570439607344,281.8941210419871,0
