view_action,policy,count,predicted_easy_harm_sum,actual_easy_harm_sum,predicted_easy_denominator_sum,actual_easy_denominator_sum,predicted_positive_easy_harm_ratio_percent,observed_positive_easy_harm_ratio_percent
coupa_seed17__damped_velocity_005,net_stop,6045,3203.3195809606946,2743.6445859188375,4277.954642904295,3718.977949275846,74.87969949082881,73.77415578527633
coupa_seed17__damped_velocity_005,strict_stop,3754,523.625936499867,316.36882945744753,3320.075820581996,2874.420208943761,15.771505375081386,11.0063528106665
coupa_seed17__damped_velocity_005,joint_easy_moment,975,20.156425041460245,1.1818767123121292,1781.5070943779683,2396.4942791468143,1.131425471448828,0.049316901049849114
coupa_seed17__damped_velocity_005,product_easy_marginals,1482,31.29385395833674,4.0414119034902045,2141.651249391577,2273.168519518139,1.4612021433100757,0.17778760654079856
coupa_seed17__damped_velocity_005,matched_joint,975,20.156425041460245,1.1818767123121292,1781.5070943779683,2396.4942791468143,1.131425471448828,0.049316901049849114
coupa_seed17__damped_velocity_005,matched_product,973,20.339396956074403,4.026290122389547,1142.6379513442437,717.0892281388498,1.780038631847152,0.5614768656948697
deathCircle_seed17__damped_velocity_005,net_stop,8034,2139.8079977986936,932.8206032511127,1290.723134541551,968.4618064273257,165.78365573022188,96.31981323995687
deathCircle_seed17__damped_velocity_005,strict_stop,4247,739.1528122314247,240.73944422177144,672.6029096405317,535.3216649503659,109.89438220338063,44.97098846991227
deathCircle_seed17__damped_velocity_005,joint_easy_moment,159,1.5898980146729158,2.1945110067687095,146.1587405070664,191.66102386276398,1.087788529893666,1.1449959739023705
deathCircle_seed17__damped_velocity_005,product_easy_marginals,287,2.2090904998387737,3.3406177221217592,145.58266221438817,188.8958651321292,1.5174131769795633,1.768497007483493
deathCircle_seed17__damped_velocity_005,matched_joint,159,1.5898980146729158,2.1945110067687095,146.1587405070664,191.66102386276398,1.087788529893666,1.1449959739023705
deathCircle_seed17__damped_velocity_005,matched_product,163,1.0282423694769358,2.9472380503044824,31.594402046684262,40.02411641333241,3.2545080864565588,7.363655501768254
gates_seed17__damped_velocity_005,net_stop,3920,1745.5181982898953,827.9646993428119,871.4312230666388,596.1483824765885,200.30475751686654,138.88567405034047
gates_seed17__damped_velocity_005,strict_stop,1472,238.3574179269309,201.0858171254611,365.72843374962093,336.93181868183365,65.17333516652722,59.68145659622234
gates_seed17__damped_velocity_005,joint_easy_moment,126,1.4292464954599835,1.5393663216129925,129.24817065472988,162.3179776148204,1.1058156476953431,0.9483646508126782
gates_seed17__damped_velocity_005,product_easy_marginals,170,2.017433934493893,1.6103071478719437,147.33641800513692,173.70686690810263,1.369270382576801,0.9270256130541206
gates_seed17__damped_velocity_005,matched_joint,126,1.4292464954599835,1.5393663216129925,129.24817065472988,162.3179776148204,1.1058156476953431,0.9483646508126782
gates_seed17__damped_velocity_005,matched_product,127,1.3810121088344145,0.5309610068798065,94.68490452292713,110.7494705883235,1.4585346162544994,0.4794253228112375
hyang_seed17__damped_velocity_005,net_stop,21164,5835.583281360788,6287.0572806449745,4260.435135310109,5579.799056614662,136.97153215632812,112.67533502289625
hyang_seed17__damped_velocity_005,strict_stop,8456,1112.5505344835613,1038.8070251880608,2041.1041049251944,2426.0908010252556,54.507290039688385,42.818142863781745
hyang_seed17__damped_velocity_005,joint_easy_moment,1182,11.037838461642815,8.326562608260748,962.6753924502322,1321.4031602603188,1.1465794750968918,0.6301303688891133
hyang_seed17__damped_velocity_005,product_easy_marginals,1473,13.613946012420591,7.210786432137145,1022.002810378415,1323.0381970753976,1.3320849878465384,0.5450172525688777
hyang_seed17__damped_velocity_005,matched_joint,1182,11.037838461642815,8.326562608260748,962.6753924502322,1321.4031602603188,1.1465794750968918,0.6301303688891133
