policy,seed,subset,site,rows,model_error,reference_error,absolute_harm,gain_percent,model_p95,model_p99,reference_p95,status
eqmotion__joint_easy_moment,29,zero_CV,deathCircle,2984,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
eqmotion__joint_easy_moment,29,zero_CV,gates,1565,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
eqmotion__joint_easy_moment,29,zero_CV,hyang,4554,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
eqmotion__joint_easy_moment,29,positive_easy,coupa,11220,2.2054217761071366,2.2054217761071366,0.0,0.0,5.688593111585037,6.125000007450581,5.688593111585037,defined
eqmotion__joint_easy_moment,29,positive_easy,deathCircle,4581,2.6711437468676054,2.6720498000786166,-0.0009060532110112263,0.0339085450796861,4.73875633966901,4.964727692325079,4.73875633966901,defined
eqmotion__joint_easy_moment,29,positive_easy,gates,2923,2.8270587560820597,2.8291753670221667,-0.0021166109401069555,0.07481370595753267,5.050768113241588,5.230939722866429,5.050768113241588,defined
eqmotion__joint_easy_moment,29,positive_easy,hyang,19679,2.660091371534728,2.6604463533503466,-0.0003549818156187712,0.013342942065786012,5.0852898573061935,5.289945462088267,5.0852898573061935,defined
eqmotion__joint_easy_moment,29,hard,coupa,4416,42.671640735975274,42.671640735975274,0.0,0.0,83.68020660994014,117.51461239101063,83.68020660994014,defined
eqmotion__joint_easy_moment,29,hard,deathCircle,12715,56.32319009010599,56.32319009010599,0.0,0.0,131.7154986698712,384.3017765189178,131.7154986698712,defined
eqmotion__joint_easy_moment,29,hard,gates,6404,45.072436876713674,45.072436876713674,0.0,0.0,100.44817818608435,162.71421020469313,100.44817818608435,defined
eqmotion__joint_easy_moment,29,hard,hyang,18309,44.16203406081268,44.16203406081268,0.0,0.0,88.51562033239446,159.51821920567963,88.51562033239446,defined
eqmotion__joint_easy_moment,43,all,coupa,27778,11.908080748382512,11.908205875359586,-0.00012512697707478537,0.001050762628596047,45.2720158430477,77.69192946370413,45.2720158430477,defined
eqmotion__joint_easy_moment,43,all,deathCircle,35760,24.809930992413058,24.81068191340851,-0.0007509209954505991,0.0030266036140091934,74.1003428865828,186.71668884635787,74.1003428865828,defined
eqmotion__joint_easy_moment,43,all,gates,20236,19.76074918623385,19.761524366102755,-0.000775179868906406,0.00392267243429778,63.51413075556157,119.37381405539219,63.51413075556157,defined
eqmotion__joint_easy_moment,43,all,hyang,89183,15.92316892992907,15.923360932222653,-0.00019200229358418142,0.0012057899987372167,48.7622634939038,89.31745547278106,48.7622634939038,defined
eqmotion__joint_easy_moment,43,complete,coupa,24834,11.911244663625663,11.91138462404965,-0.0001399604239864516,0.001175013891363541,46.686806643226895,80.40344616150492,46.686806643226895,defined
eqmotion__joint_easy_moment,43,complete,deathCircle,27394,27.409301822804224,27.410282071573928,-0.0009802487697037066,0.003576208253330826,77.00976659652929,186.96553273984352,77.00976659652929,defined
eqmotion__joint_easy_moment,43,complete,gates,15281,21.856692111945513,21.857657394899473,-0.0009652829539597008,0.004416223278280729,67.08977164913256,122.41314224932498,67.08977164913256,defined
eqmotion__joint_easy_moment,43,complete,hyang,76409,16.874365487542583,16.87458958863734,-0.00022410109475501372,0.0013280387862302234,51.00479833178511,91.37704807716683,51.00479833178511,defined
eqmotion__joint_easy_moment,43,zero_CV,coupa,2463,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
eqmotion__joint_easy_moment,43,zero_CV,deathCircle,2984,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
eqmotion__joint_easy_moment,43,zero_CV,gates,1565,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
eqmotion__joint_easy_moment,43,zero_CV,hyang,4554,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
eqmotion__joint_easy_moment,43,positive_easy,coupa,11220,2.205111992045705,2.2054217761071366,-0.00030978406143145065,0.014046476950013709,5.688593111585037,6.125000007450581,5.688593111585037,defined
eqmotion__joint_easy_moment,43,positive_easy,deathCircle,4581,2.6687669851279465,2.6720498000786166,-0.0032828149506700655,0.12285755117937835,4.7379552506569835,4.964727692325079,4.73875633966901,defined
eqmotion__joint_easy_moment,43,positive_easy,gates,2923,2.825753335155116,2.8291753670221667,-0.003422031867050812,0.12095509903483626,5.050768113241588,5.230939722866429,5.050768113241588,defined
eqmotion__joint_easy_moment,43,positive_easy,hyang,19679,2.6599679292099423,2.6604463533503466,-0.0004784241404043321,0.01798285238121533,5.0852898573061935,5.289945462088267,5.0852898573061935,defined
eqmotion__joint_easy_moment,43,hard,coupa,4416,42.671640735975274,42.671640735975274,0.0,0.0,83.68020660994014,117.51461239101063,83.68020660994014,defined
eqmotion__joint_easy_moment,43,hard,deathCircle,12715,56.32319009010599,56.32319009010599,0.0,0.0,131.7154986698712,384.3017765189178,131.7154986698712,defined
eqmotion__joint_easy_moment,43,hard,gates,6404,45.072436876713674,45.072436876713674,0.0,0.0,100.44817818608435,162.71421020469313,100.44817818608435,defined
eqmotion__joint_easy_moment,43,hard,hyang,18309,44.16203406081268,44.16203406081268,0.0,0.0,88.51562033239446,159.51821920567963,88.51562033239446,defined
eqmotion__product_easy_marginals,17,all,coupa,27778,11.908205875359586,11.908205875359586,0.0,0.0,45.2720158430477,77.69192946370413,45.2720158430477,defined
eqmotion__product_easy_marginals,17,all,deathCircle,35760,24.808738781262132,24.81068191340851,-0.001943132146376314,0.007831836920713098,74.1003428865828,186.71668884635787,74.1003428865828,defined
eqmotion__product_easy_marginals,17,all,gates,20236,19.755411011629707,19.761524366102755,-0.006113354473047394,0.030935642209528602,63.51413075556157,119.37381405539219,63.51413075556157,defined
eqmotion__product_easy_marginals,17,all,hyang,89183,15.912568803780069,15.923360932222653,-0.010792128442584925,0.0677754431901767,48.7622634939038,89.31745547278106,48.7622634939038,defined
eqmotion__product_easy_marginals,17,complete,coupa,24834,11.91138462404965,11.91138462404965,0.0,0.0,46.686806643226895,80.40344616150492,46.686806643226895,defined
eqmotion__product_easy_marginals,17,complete,deathCircle,27394,27.407736758137478,27.410282071573928,-0.002545313436449703,0.009285980457274245,77.00976659652929,186.96553273984352,77.00976659652929,defined
eqmotion__product_easy_marginals,17,complete,gates,15281,21.849917312858295,21.857657394899473,-0.007740082041177487,0.035411306442123536,67.08977164913256,122.41314224932498,67.08977164913256,defined
eqmotion__product_easy_marginals,17,complete,hyang,76409,16.862393374705817,16.87458958863734,-0.012196213931520816,0.07227561812663819,51.00479833178511,91.37704807716683,51.00479833178511,defined
eqmotion__product_easy_marginals,17,zero_CV,coupa,2463,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
eqmotion__product_easy_marginals,17,zero_CV,deathCircle,2984,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
eqmotion__product_easy_marginals,17,zero_CV,gates,1565,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
eqmotion__product_easy_marginals,17,zero_CV,hyang,4554,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
eqmotion__product_easy_marginals,17,positive_easy,coupa,11220,2.2054217761071366,2.2054217761071366,0.0,0.0,5.688593111585037,6.125000007450581,5.688593111585037,defined
eqmotion__product_easy_marginals,17,positive_easy,deathCircle,4581,2.6716212144145035,2.6720498000786166,-0.0004285856641130792,0.016039583697147197,4.73875633966901,4.964727692325079,4.73875633966901,defined
eqmotion__product_easy_marginals,17,positive_easy,gates,2923,2.8251069561763527,2.8291753670221667,-0.004068410845813997,0.14380200298775847,5.050768113241588,5.230939722866429,5.050768113241588,defined
eqmotion__product_easy_marginals,17,positive_easy,hyang,19679,2.649216237462595,2.6604463533503466,-0.01123011588775169,0.4221139762359605,5.084284965235267,5.289324312711391,5.0852898573061935,defined
eqmotion__product_easy_marginals,17,hard,coupa,4416,42.671640735975274,42.671640735975274,0.0,0.0,83.68020660994014,117.51461239101063,83.68020660994014,defined
eqmotion__product_easy_marginals,17,hard,deathCircle,12715,56.32330530587724,56.32319009010599,0.00011521577125250815,-0.00020456187064255005,131.7154986698712,384.3017765189178,131.7154986698712,defined
eqmotion__product_easy_marginals,17,hard,gates,6404,45.072436876713674,45.072436876713674,0.0,0.0,100.44817818608435,162.71421020469313,100.44817818608435,defined
eqmotion__product_easy_marginals,17,hard,hyang,18309,44.16203406081268,44.16203406081268,0.0,0.0,88.51562033239446,159.51821920567963,88.51562033239446,defined
eqmotion__product_easy_marginals,29,all,coupa,27778,11.908205875359586,11.908205875359586,0.0,0.0,45.2720158430477,77.69192946370413,45.2720158430477,defined
eqmotion__product_easy_marginals,29,all,deathCircle,35760,24.804084007514426,24.81068191340851,-0.006597905894082601,0.026593005049635465,74.1003428865828,186.71668884635787,74.1003428865828,defined
eqmotion__product_easy_marginals,29,all,gates,20236,19.75651375263598,19.761524366102755,-0.005010613466776448,0.02535539958330446,63.51413075556157,119.37381405539219,63.51413075556157,defined
eqmotion__product_easy_marginals,29,all,hyang,89183,15.908674284900647,15.923360932222653,-0.014686647322006863,0.09223333807806267,48.7622634939038,89.31745547278106,48.7622634939038,defined
eqmotion__product_easy_marginals,29,complete,coupa,24834,11.91138462404965,11.91138462404965,0.0,0.0,46.686806643226895,80.40344616150492,46.686806643226895,defined
eqmotion__product_easy_marginals,29,complete,deathCircle,27394,27.40188563872978,27.410282071573928,-0.008396432844147483,0.03063242042611325,77.00976659652929,186.96553273984352,77.00976659652929,defined
eqmotion__product_easy_marginals,29,complete,gates,15281,21.851041879634174,21.857657394899473,-0.00661551526529891,0.03026635080685125,67.08977164913256,122.41314224932498,67.08977164913256,defined
eqmotion__product_easy_marginals,29,complete,hyang,76409,16.85796312401325,16.87458958863734,-0.01662646462408901,0.09852959407845585,51.00479833178511,91.37704807716683,51.00479833178511,defined
eqmotion__product_easy_marginals,29,zero_CV,coupa,2463,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
eqmotion__product_easy_marginals,29,zero_CV,deathCircle,2984,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
eqmotion__product_easy_marginals,29,zero_CV,gates,1565,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
eqmotion__product_easy_marginals,29,zero_CV,hyang,4554,0.0,0.0,0.0,,0.0,0.0,0.0,zero_reference_percentage_undefined
