policy,ADE_gain_percent,ADE_CI_low,ADE_CI_high,FDE_gain_percent,hard_gain_percent,worst_site_seed_easy_degradation_percent,mean_switch_rate_percent,zero_CV_harmed_total
damped_velocity_005__net_stop,5.281167632728537,3.9558913413655254,6.606443924091549,5.608118717485352,8.241734704456494,13.523158942904745,26.893344561020204,3
damped_velocity_005__strict_stop,3.634682690175844,2.6422692738600757,4.685964407975451,4.649955325383234,4.723212203027554,2.49439089976351,12.252023638832624,0
damped_velocity_005__joint_easy_moment,0.12405193542864013,0.02317214654763422,0.2850477403262275,0.1730313347173329,0.0003629427327761503,0.0,1.4592199792136067,0
damped_velocity_005__product_easy_marginals,0.21182074898948855,0.04165945450351205,0.49333680704104765,0.2942836017905459,0.0006608895983611918,0.0,2.045259716121593,0
damped_velocity_005__matched_joint,0.12405193542864013,0.02317214654763422,0.2850477403262275,0.1730313347173329,0.0003629427327761503,0.0,1.4592199792136067,0
damped_velocity_005__matched_product,0.16236997605159897,0.03363419831752257,0.36855063564772417,0.22551858344734277,0.0006974620100047568,0.0,1.4592199792136067,0
transformer__net_stop,8.37914591535389,6.729993859539871,9.935973210495353,9.257455367932241,10.251325488976534,21.732633911349563,54.364952927164175,21
transformer__strict_stop,2.43682666074754,1.6792440292285882,3.111364306600029,2.694479605967964,2.291813184107186,1.066900162011275,6.67554260831304,0
transformer__joint_easy_moment,0.013424164817674167,0.0023143968750360955,0.031447857944547075,0.015165233095026931,4.7692649662867126e-05,0.0,0.23214001228976536,0
transformer__product_easy_marginals,0.026575679465012936,0.011756783540239901,0.04139457538978597,0.02948568883924252,0.00039069579702011303,0.0,0.4987975754265383,0
transformer__matched_joint,0.013424164817674167,0.0023143968750360955,0.031447857944547075,0.015165233095026931,4.7692649662867126e-05,0.0,0.23214001228976536,0
transformer__matched_product,0.020852169062768322,0.005689742569350842,0.03907303162370146,0.023968950810634992,0.00015749466854286798,0.037676452632218194,0.23214001228976536,0
eqmotion__net_stop,11.0065270205705,8.853700100060797,13.159353941080205,11.749071158521001,13.330014415520306,40.94488259287077,69.16160282816328,21
eqmotion__strict_stop,1.6093050489115466,0.7162681896853484,3.039280619820001,1.7306400500360086,0.5271317871413939,0.45216089635244927,3.9264662372835066,0
eqmotion__joint_easy_moment,0.0013396633081391718,0.0005001781941182948,0.0024170343474100298,0.0014012174838429203,0.0,0.0,0.009862157384859313,0
eqmotion__product_easy_marginals,0.03902228189001933,0.007615176842196147,0.08350719981750354,0.04166195489044844,-2.2192854007285767e-05,0.0,0.31065795762306836,0
eqmotion__matched_joint,0.0013396633081391718,0.0005001781941182948,0.0024170343474100298,0.0014012174838429203,0.0,0.0,0.009862157384859313,0
eqmotion__matched_product,0.0024504191061452962,0.0009217536932532022,0.004150399827129725,0.0025564214515827466,4.383829196041855e-05,0.0,0.009862157384859313,0
