model,dataset,subset,horizon,ADE,FDE,baseline_ADE,baseline_FDE,improvement,ci_low,ci_high,episodes,alpha_mean,failure_prob,intervention_rate,false_intervention_rate,residual_mag
goal_only_residual,tgsim,verified_t50,1,0.001326,0.001326,0.001326,0.001326,0.0,0.0,0.0,4,0.0082,0.532378,0.0,0.0,0.877324
goal_only_residual,tgsim,verified_t50,10,0.043,0.112039,0.042997,0.112008,-0.000276,-0.000956,0.000564,4,0.0082,0.532378,0.0,0.0,0.877324
goal_only_residual,tgsim,verified_t50,25,0.262458,0.763173,0.257363,0.75285,-0.013712,-0.104016,0.002677,4,0.0082,0.532378,0.0,0.0,0.877324
goal_only_residual,tgsim,verified_t50,50,0.99547,2.651419,0.982001,2.62938,-0.008382,-0.308906,0.239822,4,0.0082,0.532378,0.0,0.0,0.877324
goal_only_residual,tgsim,verified_t50,100,2.659638,6.062032,2.659638,6.062032,0.0,0.0,0.0,4,0.0082,0.532378,0.0,0.0,0.877324
goal_only_residual,tgsim,verified_t100,1,0.001326,0.001326,0.001326,0.001326,0.0,0.0,0.0,4,0.0082,0.532378,0.0,0.0,0.877324
goal_only_residual,tgsim,verified_t100,10,0.043,0.112039,0.042997,0.112008,-0.000276,-0.000956,0.000564,4,0.0082,0.532378,0.0,0.0,0.877324
goal_only_residual,tgsim,verified_t100,25,0.262458,0.763173,0.257363,0.75285,-0.013712,-0.104016,0.002677,4,0.0082,0.532378,0.0,0.0,0.877324
goal_only_residual,tgsim,verified_t100,50,0.99547,2.651419,0.982001,2.62938,-0.008382,-0.308906,0.239822,4,0.0082,0.532378,0.0,0.0,0.877324
goal_only_residual,tgsim,verified_t100,100,2.659638,6.062032,2.659638,6.062032,0.0,0.0,0.0,4,0.0082,0.532378,0.0,0.0,0.877324
goal_only_residual,tgsim,scene_grounded,1,0.001326,0.001326,0.001326,0.001326,0.0,0.0,0.0,4,0.0082,0.532378,0.0,0.0,0.877324
