comparator,head,mode,EqMotion_ADE_gain_percent,comparator_ADE_gain_percent,difference_pp,CI_low_pp,CI_high_pp,EqMotion_hard_gain_percent,comparator_hard_gain_percent,EqMotion_worst_easy_degradation_percent,comparator_worst_easy_degradation_percent
constant_position,neural,strict,1.6093050489115466,1.8166563011410588,-0.20735125222951223,-0.36093245564601784,-0.05377004881300662,0.5271317871413939,0.6202087605203327,0.45216089635244927,2.055099097245394
constant_position,neural,matched_count,1.4944474823632814,1.8150083933622523,-0.3205609109989709,-0.5115970801490841,-0.12952474184885765,0.5265948002290632,0.6200688879032662,0.9797789672578716,2.1934643178303848
constant_position,forest,strict,1.26316952048805,0.7483871918239904,0.5147823286640596,0.10142062336348512,1.247322935855577,0.05231146534784015,0.00038262295470326,0.0,0.34836329670686617
constant_position,forest,matched_count,0.818324485931346,0.7483871918239904,0.06993729410735561,0.002274067131341484,0.13760052108336973,0.05226582883589015,0.00038262295470326,0.2306717865355079,0.34836329670686617
damped_velocity_005,neural,strict,1.6093050489115466,3.634682690175844,-2.0253776412642974,-3.709420242179056,-0.34556825664714963,0.5271317871413939,4.723212203027554,0.45216089635244927,2.49439089976351
damped_velocity_005,neural,matched_count,1.6093050489115466,2.667936514802663,-1.058631465891116,-2.3607139803397406,0.40757977974015536,0.5271317871413939,3.9140028924205263,0.45216089635244927,1.6215243919215139
damped_velocity_005,forest,strict,1.26316952048805,1.4144143134749347,-0.15124479298688487,-1.7214033426879687,1.4912702062088834,0.05231146534784015,1.3844298973313158,0.0,0.0
damped_velocity_005,forest,matched_count,1.26316952048805,1.346862129722917,-0.08369260923486721,-1.657412440105069,1.5932190549654779,0.05231146534784015,1.38436217854499,0.0,0.2874280860523992
damped_velocity_010,neural,strict,1.6093050489115466,3.7447293303804114,-2.1354242814688646,-4.465995954644295,-0.2343977436570721,0.5271317871413939,4.438088501062213,0.45216089635244927,3.038255133902168
damped_velocity_010,neural,matched_count,1.6093050489115466,3.10068416162623,-1.4913791127146832,-3.6206740950044534,0.3443007626150074,0.5271317871413939,4.170446927138061,0.45216089635244927,2.6917487596653578
damped_velocity_010,forest,strict,1.26316952048805,1.27631758727938,-0.013148066791329738,-1.0878637838134946,1.146593379578062,0.05231146534784015,0.8177816979234753,0.0,0.0
damped_velocity_010,forest,matched_count,1.26316952048805,1.2259457959920035,0.037223724496046606,-1.064558789656339,1.2514070771088655,0.05231146534784015,0.8177803598689415,0.0,0.34018342708266314
damped_velocity_020,neural,strict,1.6093050489115466,3.7058527600795976,-2.096547711168051,-4.640430704513671,-0.3820504323425955,0.5271317871413939,3.651461924304458,0.45216089635244927,3.737404918633813
damped_velocity_020,neural,matched_count,1.6093050489115466,3.3055097125749717,-1.6962046636634254,-4.098102274699578,-0.011736728374467376,0.5271317871413939,3.583405432898759,0.45216089635244927,2.9923474549154783
damped_velocity_020,forest,strict,1.26316952048805,1.1047977054265607,0.15837181506148934,-0.12266856590691932,0.5619715433327482,0.05231146534784015,0.2342867550196942,0.0,0.0
damped_velocity_020,forest,matched_count,1.2625427012146362,1.0817406189135932,0.1808020823010431,-0.11082247646856391,0.6163199438417227,0.05231146534784015,0.23411335446124892,0.0,0.0
constant_acceleration_causal,neural,strict,1.6093050489115466,-0.0014339071006619353,1.6107389560122087,0.7172122194228192,3.0424637502226957,0.5271317871413939,-0.0006962467507531933,0.45216089635244927,0.0004775105757692799
constant_acceleration_causal,neural,matched_count,0.005632020967294427,-0.0014339071006619353,0.007065928067956362,0.001363017780159348,0.012953591376127505,0.009715336249649376,-0.0006962467507531933,0.0,0.0004775105757692799
constant_acceleration_causal,forest,strict,1.26316952048805,0.0,1.26316952048805,0.42882543577743293,2.7352121987779947,0.05231146534784015,0.0,0.0,0.0
constant_acceleration_causal,forest,matched_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constant_turn_rate,neural,strict,1.6093050489115466,0.5635114493022009,1.045793599609346,-0.08918856497397987,2.80286863378828,0.5271317871413939,0.7478467359224361,0.45216089635244927,1.484622252302703
constant_turn_rate,neural,matched_count,0.28359655609721535,0.5635114493022009,-0.2799148932049855,-0.5453652782431151,-0.01446450816685596,0.44033920131461846,0.7478467359224361,0.6983767059090429,1.484622252302703
constant_turn_rate,forest,strict,1.26316952048805,0.003912387338020351,1.2592571331500297,0.4257484527656591,2.732773360214652,0.05231146534784015,0.0,0.0,0.0040986556079092296
constant_turn_rate,forest,matched_count,0.019975463439789176,0.003912387338020351,0.016063076101768825,0.0026825224264948044,0.031172298336737403,0.020903580987066683,0.0,0.0,0.0040986556079092296
transformer,neural,strict,1.6093050489115466,2.43682666074754,-0.8275216118359935,-2.1481569082965586,0.4420337102535532,0.5271317871413939,2.291813184107186,0.45216089635244927,1.066900162011275
transformer,neural,matched_count,1.6093050489115466,2.1313950091461975,-0.5220899602346507,-1.5757272985289004,0.5693771458669838,0.5271317871413939,2.1474437197530007,0.45216089635244927,1.8616780507281883
transformer,forest,strict,1.26316952048805,1.301979507063744,-0.03880998657569412,-0.9670789917532563,0.8015838965880928,0.05231146534784015,0.5389740876395988,0.0,0.17567576809849328
transformer,forest,matched_count,1.2627709718795592,1.2062564384101666,0.056514533469392836,-0.7654765440081979,0.8742033606042199,0.05231146534784015,0.48601355036534677,0.0,0.32743766261624785
