baseline_FDE,count,false_intervention_rate,horizon,improvement,intervention_rate,latent_enabled,model,model_FDE,oracle_labels_used_as_inputs,physical_validity,residual_clip,smc_enabled,subset,threshold,trial_id
1.182493621672914,4,1.0,100,0.030676821897599106,1.0,False,direction_cluster_then_magnitude,1.1462184754458071,False,preserved_by_bounded_residual,0.25,False,easy,0.38,4
3.1065663971471946,105,0.18095238095238095,50,0.005287622716579231,0.6476190476190476,False,direction_cluster_then_magnitude,3.0901400460950774,False,preserved_by_bounded_residual,0.25,False,hard,0.38,4
5.16106973024446,17,0.23529411764705882,100,0.007356552725699972,1.0,False,direction_cluster_then_magnitude,5.123102048652902,False,preserved_by_bounded_residual,0.25,False,hard,0.38,4
7.0874100229705705,41,0.0,50,0.0034210332670450596,0.9024390243902439,False,direction_cluster_then_magnitude,7.0631637575048,False,preserved_by_bounded_residual,0.25,False,baseline_failure,0.38,4
7.999764244713486,8,0.0,100,0.005127766616139828,1.0,False,direction_cluster_then_magnitude,7.958743320682455,False,preserved_by_bounded_residual,0.25,False,baseline_failure,0.38,4
7.0874100229705705,41,0.0,50,0.0034210332670450596,0.9024390243902439,False,direction_cluster_then_magnitude,7.0631637575048,False,preserved_by_bounded_residual,0.25,False,correction_needed,0.38,4
7.999764244713486,8,0.0,100,0.005127766616139828,1.0,False,direction_cluster_then_magnitude,7.958743320682455,False,preserved_by_bounded_residual,0.25,False,correction_needed,0.38,4
3.1065663971471946,105,0.20952380952380953,50,0.00714519837854076,0.6761904761904762,False,scene_goal_conditioned,3.0843693639634693,False,preserved_by_bounded_residual,0.25,False,all,0.38,5
5.16106973024446,17,0.23529411764705882,100,0.009454020822469987,1.0,False,scene_goal_conditioned,5.112276869548509,False,preserved_by_bounded_residual,0.25,False,all,0.38,5
0.3003835123796306,51,0.43137254901960786,50,0.03730759555343002,0.43137254901960786,False,scene_goal_conditioned,0.2891769257888526,False,preserved_by_bounded_residual,0.25,False,easy,0.38,5
1.182493621672914,4,1.0,100,0.039578769612231814,1.0,False,scene_goal_conditioned,1.1356919790527882,False,preserved_by_bounded_residual,0.25,False,easy,0.38,5
