model,dataset,subset,horizon,FDE,ADE,baseline_FDE,baseline_ADE,improvement,episodes,alpha,residual_magnitude,physical_validity,trial_id,alpha_regularization,residual_clip,hard_failure_weight,t100_weight,interaction_mode,scene_goal_mode
alpha_only_no_residual,eth_ucy_ewap,baseline_failure,5,1.604352,1.604352,1.604352,1.604352,0.0,132,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap,baseline_failure,10,2.674885,2.674885,2.674885,2.674885,0.0,104,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap,baseline_failure,25,2.466785,2.466785,2.466785,2.466785,0.0,43,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap,baseline_failure,50,2.821185,2.821185,2.821185,2.821185,0.0,21,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap,ge5,1,0.346507,0.346507,0.346507,0.346507,0.0,154,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap,ge5,5,1.604352,1.604352,1.604352,1.604352,0.0,132,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap,ge5,10,2.674885,2.674885,2.674885,2.674885,0.0,104,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap,ge5,25,2.466785,2.466785,2.466785,2.466785,0.0,43,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap,ge5,50,2.821185,2.821185,2.821185,2.821185,0.0,21,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap,goalbench_official,1,0.346507,0.346507,0.346507,0.346507,0.0,154,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap,goalbench_official,5,1.604352,1.604352,1.604352,1.604352,0.0,132,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap,goalbench_official,10,2.674885,2.674885,2.674885,2.674885,0.0,104,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap,goalbench_official,25,2.466785,2.466785,2.466785,2.466785,0.0,43,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap,goalbench_official,50,2.821185,2.821185,2.821185,2.821185,0.0,21,0.0,0.0,1.0,1,low,0.05,1,1,none,none
alpha_only_no_residual,eth_ucy_ewap,hard,1,0.346507,0.346507,0.346507,0.346507,0.0,154,0.0,0.0,1.0,1,low,0.05,1,1,none,none
