model,dataset,subset,horizon,FDE,ADE,baseline_FDE,baseline_ADE,improvement,episodes,alpha,residual_magnitude,physical_validity,trial_id,stage15_model,fallback_mode
alpha_only_no_residual,trajnet,baseline_failure,1,0.291144,0.291144,0.291144,0.291144,0.0,30,0.0,0.0,1.0,1,baseline_preserving,intervention_threshold_high_alpha_regularization
alpha_only_no_residual,trajnet,baseline_failure,5,1.422272,1.422272,1.422272,1.422272,0.0,30,0.0,0.0,1.0,1,baseline_preserving,intervention_threshold_high_alpha_regularization
alpha_only_no_residual,trajnet,baseline_failure,10,2.832472,2.832472,2.832472,2.832472,0.0,30,0.0,0.0,1.0,1,baseline_preserving,intervention_threshold_high_alpha_regularization
alpha_only_no_residual,trajnet,ge5,1,0.291144,0.291144,0.291144,0.291144,0.0,30,0.0,0.0,1.0,1,baseline_preserving,intervention_threshold_high_alpha_regularization
alpha_only_no_residual,trajnet,ge5,5,1.422272,1.422272,1.422272,1.422272,0.0,30,0.0,0.0,1.0,1,baseline_preserving,intervention_threshold_high_alpha_regularization
alpha_only_no_residual,trajnet,ge5,10,2.832472,2.832472,2.832472,2.832472,0.0,30,0.0,0.0,1.0,1,baseline_preserving,intervention_threshold_high_alpha_regularization
alpha_only_no_residual,trajnet,goalbench_official,1,0.291144,0.291144,0.291144,0.291144,0.0,30,0.0,0.0,1.0,1,baseline_preserving,intervention_threshold_high_alpha_regularization
alpha_only_no_residual,trajnet,goalbench_official,5,1.422272,1.422272,1.422272,1.422272,0.0,30,0.0,0.0,1.0,1,baseline_preserving,intervention_threshold_high_alpha_regularization
alpha_only_no_residual,trajnet,goalbench_official,10,2.832472,2.832472,2.832472,2.832472,0.0,30,0.0,0.0,1.0,1,baseline_preserving,intervention_threshold_high_alpha_regularization
alpha_only_no_residual,trajnet,hard,1,0.291144,0.291144,0.291144,0.291144,0.0,30,0.0,0.0,1.0,1,baseline_preserving,intervention_threshold_high_alpha_regularization
alpha_only_no_residual,trajnet,hard,5,1.422272,1.422272,1.422272,1.422272,0.0,30,0.0,0.0,1.0,1,baseline_preserving,intervention_threshold_high_alpha_regularization
alpha_only_no_residual,trajnet,hard,10,2.832472,2.832472,2.832472,2.832472,0.0,30,0.0,0.0,1.0,1,baseline_preserving,intervention_threshold_high_alpha_regularization
alpha_only_no_residual,aerialmpt,all,1,0.514499,0.514499,0.514499,0.514499,0.0,8,0.0,0.0,1.0,2,baseline_preserving,intervention_threshold_high_alpha_regularization
alpha_only_no_residual,aerialmpt,all,5,2.7401,2.7401,2.7401,2.7401,0.0,8,0.0,0.0,1.0,2,baseline_preserving,intervention_threshold_high_alpha_regularization
alpha_only_no_residual,aerialmpt,all,10,4.176528,4.176528,4.176528,4.176528,0.0,7,0.0,0.0,1.0,2,baseline_preserving,intervention_threshold_high_alpha_regularization
alpha_only_no_residual,aerialmpt,baseline_failure,1,0.514499,0.514499,0.514499,0.514499,0.0,8,0.0,0.0,1.0,2,baseline_preserving,intervention_threshold_high_alpha_regularization
alpha_only_no_residual,aerialmpt,baseline_failure,5,2.7401,2.7401,2.7401,2.7401,0.0,8,0.0,0.0,1.0,2,baseline_preserving,intervention_threshold_high_alpha_regularization
alpha_only_no_residual,aerialmpt,baseline_failure,10,4.176528,4.176528,4.176528,4.176528,0.0,7,0.0,0.0,1.0,2,baseline_preserving,intervention_threshold_high_alpha_regularization
alpha_only_no_residual,aerialmpt,ge5,1,0.514499,0.514499,0.514499,0.514499,0.0,8,0.0,0.0,1.0,2,baseline_preserving,intervention_threshold_high_alpha_regularization
alpha_only_no_residual,aerialmpt,ge5,5,2.7401,2.7401,2.7401,2.7401,0.0,8,0.0,0.0,1.0,2,baseline_preserving,intervention_threshold_high_alpha_regularization
alpha_only_no_residual,aerialmpt,ge5,10,4.176528,4.176528,4.176528,4.176528,0.0,7,0.0,0.0,1.0,2,baseline_preserving,intervention_threshold_high_alpha_regularization
alpha_only_no_residual,aerialmpt,goalbench_official,1,0.514499,0.514499,0.514499,0.514499,0.0,8,0.0,0.0,1.0,2,baseline_preserving,intervention_threshold_high_alpha_regularization
alpha_only_no_residual,aerialmpt,goalbench_official,5,2.7401,2.7401,2.7401,2.7401,0.0,8,0.0,0.0,1.0,2,baseline_preserving,intervention_threshold_high_alpha_regularization
alpha_only_no_residual,aerialmpt,goalbench_official,10,4.176528,4.176528,4.176528,4.176528,0.0,7,0.0,0.0,1.0,2,baseline_preserving,intervention_threshold_high_alpha_regularization
alpha_only_no_residual,aerialmpt,hard,1,0.514499,0.514499,0.514499,0.514499,0.0,8,0.0,0.0,1.0,2,baseline_preserving,intervention_threshold_high_alpha_regularization
alpha_only_no_residual,aerialmpt,hard,5,2.7401,2.7401,2.7401,2.7401,0.0,8,0.0,0.0,1.0,2,baseline_preserving,intervention_threshold_high_alpha_regularization
alpha_only_no_residual,aerialmpt,hard,10,4.176528,4.176528,4.176528,4.176528,0.0,7,0.0,0.0,1.0,2,baseline_preserving,intervention_threshold_high_alpha_regularization
alpha_only_no_residual,eth_ucy,all,1,0.299653,0.299653,0.299653,0.299653,0.0,30,0.0,0.0,1.0,2,baseline_preserving,intervention_threshold_high_alpha_regularization
alpha_only_no_residual,eth_ucy,all,5,1.529704,1.529704,1.529704,1.529704,0.0,28,0.0,0.0,1.0,2,baseline_preserving,intervention_threshold_high_alpha_regularization
alpha_only_no_residual,eth_ucy,all,10,3.077245,3.077245,3.077245,3.077245,0.0,25,0.0,0.0,1.0,2,baseline_preserving,intervention_threshold_high_alpha_regularization
alpha_only_no_residual,eth_ucy,baseline_failure,1,0.300267,0.300267,0.300267,0.300267,0.0,28,0.0,0.0,1.0,2,baseline_preserving,intervention_threshold_high_alpha_regularization
