model,dataset,subset,horizon,ADE,FDE,baseline_ADE,baseline_FDE,improvement,ci_low,ci_high,episodes,alpha_mean,failure_probability,intervention_rate,false_intervention_rate,residual_magnitude
goal_only_v2,tgsim,multi_agent,1,0.000636,0.000636,0.000636,0.000636,0.0,0.0,0.0,8,0.145029,0.235276,0.175,0.175,0.736329
goal_only_v2,tgsim,multi_agent,10,0.009671,0.023025,0.009847,0.023329,0.003042,-0.004417,0.01465,8,0.145029,0.235276,0.175,0.175,0.736329
goal_only_v2,tgsim,multi_agent,25,3.358594,7.616238,3.348184,7.597211,-0.002504,-0.179103,-0.003346,8,0.145029,0.235276,0.175,0.175,0.736329
goal_only_v2,tgsim,multi_agent,50,5.637394,8.037024,5.511348,7.794749,-0.031082,-1.377415,-0.078493,8,0.145029,0.235276,0.175,0.175,0.736329
goal_only_v2,tgsim,multi_agent,100,7.881817,13.947091,7.877969,13.93978,-0.000525,-0.116289,0.004919,8,0.145029,0.235276,0.175,0.175,0.736329
goal_only_v2,tgsim,verified_t50,1,0.000636,0.000636,0.000636,0.000636,0.0,0.0,0.0,8,0.145029,0.235276,0.175,0.175,0.736329
goal_only_v2,tgsim,verified_t50,10,0.009671,0.023025,0.009847,0.023329,0.003042,-0.004417,0.01465,8,0.145029,0.235276,0.175,0.175,0.736329
goal_only_v2,tgsim,verified_t50,25,3.358594,7.616238,3.348184,7.597211,-0.002504,-0.179103,-0.003346,8,0.145029,0.235276,0.175,0.175,0.736329
goal_only_v2,tgsim,verified_t50,50,5.637394,8.037024,5.511348,7.794749,-0.031082,-1.377415,-0.078493,8,0.145029,0.235276,0.175,0.175,0.736329
goal_only_v2,tgsim,verified_t50,100,7.881817,13.947091,7.877969,13.93978,-0.000525,-0.116289,0.004919,8,0.145029,0.235276,0.175,0.175,0.736329
goal_only_v2,tgsim,verified_t100,1,0.000636,0.000636,0.000636,0.000636,0.0,0.0,0.0,8,0.145029,0.235276,0.175,0.175,0.736329
goal_only_v2,tgsim,verified_t100,10,0.009671,0.023025,0.009847,0.023329,0.003042,-0.004417,0.01465,8,0.145029,0.235276,0.175,0.175,0.736329
goal_only_v2,tgsim,verified_t100,25,3.358594,7.616238,3.348184,7.597211,-0.002504,-0.179103,-0.003346,8,0.145029,0.235276,0.175,0.175,0.736329
goal_only_v2,tgsim,verified_t100,50,5.637394,8.037024,5.511348,7.794749,-0.031082,-1.377415,-0.078493,8,0.145029,0.235276,0.175,0.175,0.736329
goal_only_v2,tgsim,verified_t100,100,7.881817,13.947091,7.877969,13.93978,-0.000525,-0.116289,0.004919,8,0.145029,0.235276,0.175,0.175,0.736329
goal_only_v2,tgsim,metric,1,0.000636,0.000636,0.000636,0.000636,0.0,0.0,0.0,8,0.145029,0.235276,0.175,0.175,0.736329
goal_only_v2,tgsim,metric,10,0.009671,0.023025,0.009847,0.023329,0.003042,-0.004417,0.01465,8,0.145029,0.235276,0.175,0.175,0.736329
goal_only_v2,tgsim,metric,25,3.358594,7.616238,3.348184,7.597211,-0.002504,-0.179103,-0.003346,8,0.145029,0.235276,0.175,0.175,0.736329
goal_only_v2,tgsim,metric,50,5.637394,8.037024,5.511348,7.794749,-0.031082,-1.377415,-0.078493,8,0.145029,0.235276,0.175,0.175,0.736329
goal_only_v2,tgsim,metric,100,7.881817,13.947091,7.877969,13.93978,-0.000525,-0.116289,0.004919,8,0.145029,0.235276,0.175,0.175,0.736329
goal_only_v2,tgsim_i90,all,1,0.036656,0.036656,0.036656,0.036656,0.0,0.0,0.0,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,all,10,0.184753,0.369664,0.183886,0.368381,-0.003484,-0.018148,0.009885,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,all,25,0.613234,1.444691,0.604443,1.430183,-0.010144,-0.015385,-0.00182,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,all,50,1.783394,4.556287,1.764847,4.52605,-0.006681,-0.01294,0.003649,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,all,100,5.182419,12.686731,5.167149,12.629881,-0.004501,-0.013462,0.008259,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,hard,1,0.055009,0.055009,0.055009,0.055009,0.0,0.0,0.0,2,0.506096,0.679963,0.7,0.3,1.785127
goal_only_v2,tgsim_i90,hard,10,0.234856,0.442131,0.23601,0.444763,0.005919,0.000767,0.016999,2,0.506096,0.679963,0.7,0.3,1.785127
goal_only_v2,tgsim_i90,hard,25,0.715176,1.651837,0.7099,1.641304,-0.006417,-0.011329,0.002162,2,0.506096,0.679963,0.7,0.3,1.785127
goal_only_v2,tgsim_i90,hard,50,2.048197,5.219896,2.017962,5.157442,-0.012109,-0.014164,-0.009267,2,0.506096,0.679963,0.7,0.3,1.785127
goal_only_v2,tgsim_i90,hard,100,5.950335,14.442691,5.893878,14.324951,-0.008219,-0.013162,-0.004393,2,0.506096,0.679963,0.7,0.3,1.785127
goal_only_v2,tgsim_i90,extreme,1,0.018304,0.018304,0.018304,0.018304,0.0,0.0,0.0,2,0.561226,0.778752,0.8,0.0,1.702703
goal_only_v2,tgsim_i90,extreme,10,0.134649,0.297198,0.131762,0.291998,-0.017806,-0.024453,-0.011458,2,0.561226,0.778752,0.8,0.0,1.702703
goal_only_v2,tgsim_i90,extreme,25,0.511291,1.237545,0.498986,1.219062,-0.015162,-0.016737,-0.013766,2,0.561226,0.778752,0.8,0.0,1.702703
goal_only_v2,tgsim_i90,extreme,50,1.51859,3.892679,1.511733,3.894658,0.000508,-0.009314,0.009586,2,0.561226,0.778752,0.8,0.0,1.702703
goal_only_v2,tgsim_i90,extreme,100,4.414503,10.930771,4.44042,10.934811,0.000369,-0.013761,0.015399,2,0.561226,0.778752,0.8,0.0,1.702703
goal_only_v2,tgsim_i90,baseline_failure,1,0.01938,0.01938,0.01938,0.01938,0.0,0.0,0.0,3,0.563982,0.784373,0.8,0.0,1.68331
goal_only_v2,tgsim_i90,baseline_failure,10,0.136974,0.290632,0.135716,0.288765,-0.006464,-0.024453,0.016999,3,0.563982,0.784373,0.8,0.0,1.68331
goal_only_v2,tgsim_i90,baseline_failure,25,0.502468,1.222546,0.49422,1.211085,-0.009463,-0.016737,0.002162,3,0.563982,0.784373,0.8,0.0,1.68331
goal_only_v2,tgsim_i90,baseline_failure,50,1.543218,4.051096,1.531592,4.039046,-0.002983,-0.009314,0.009586,3,0.563982,0.784373,0.8,0.0,1.68331
goal_only_v2,tgsim_i90,baseline_failure,100,4.647626,11.50903,4.637173,11.456875,-0.004552,-0.013761,0.015399,3,0.563982,0.784373,0.8,0.0,1.68331
goal_only_v2,tgsim_i90,hardbench,1,0.036656,0.036656,0.036656,0.036656,0.0,0.0,0.0,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,hardbench,10,0.184753,0.369664,0.183886,0.368381,-0.003484,-0.018148,0.009885,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,hardbench,25,0.613234,1.444691,0.604443,1.430183,-0.010144,-0.015385,-0.00182,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,hardbench,50,1.783394,4.556287,1.764847,4.52605,-0.006681,-0.01294,0.003649,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,hardbench,100,5.182419,12.686731,5.167149,12.629881,-0.004501,-0.013462,0.008259,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,traffic,1,0.036656,0.036656,0.036656,0.036656,0.0,0.0,0.0,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,traffic,10,0.184753,0.369664,0.183886,0.368381,-0.003484,-0.018148,0.009885,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,traffic,25,0.613234,1.444691,0.604443,1.430183,-0.010144,-0.015385,-0.00182,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,traffic,50,1.783394,4.556287,1.764847,4.52605,-0.006681,-0.01294,0.003649,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,traffic,100,5.182419,12.686731,5.167149,12.629881,-0.004501,-0.013462,0.008259,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,inferred_only,1,0.036656,0.036656,0.036656,0.036656,0.0,0.0,0.0,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,inferred_only,10,0.184753,0.369664,0.183886,0.368381,-0.003484,-0.018148,0.009885,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,inferred_only,25,0.613234,1.444691,0.604443,1.430183,-0.010144,-0.015385,-0.00182,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,inferred_only,50,1.783394,4.556287,1.764847,4.52605,-0.006681,-0.01294,0.003649,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,inferred_only,100,5.182419,12.686731,5.167149,12.629881,-0.004501,-0.013462,0.008259,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,multi_agent,1,0.036656,0.036656,0.036656,0.036656,0.0,0.0,0.0,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,multi_agent,10,0.184753,0.369664,0.183886,0.368381,-0.003484,-0.018148,0.009885,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,multi_agent,25,0.613234,1.444691,0.604443,1.430183,-0.010144,-0.015385,-0.00182,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,multi_agent,50,1.783394,4.556287,1.764847,4.52605,-0.006681,-0.01294,0.003649,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,multi_agent,100,5.182419,12.686731,5.167149,12.629881,-0.004501,-0.013462,0.008259,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,verified_t50,1,0.036656,0.036656,0.036656,0.036656,0.0,0.0,0.0,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,verified_t50,10,0.184753,0.369664,0.183886,0.368381,-0.003484,-0.018148,0.009885,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,verified_t50,25,0.613234,1.444691,0.604443,1.430183,-0.010144,-0.015385,-0.00182,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,verified_t50,50,1.783394,4.556287,1.764847,4.52605,-0.006681,-0.01294,0.003649,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,verified_t50,100,5.182419,12.686731,5.167149,12.629881,-0.004501,-0.013462,0.008259,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,verified_t100,1,0.036656,0.036656,0.036656,0.036656,0.0,0.0,0.0,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,verified_t100,10,0.184753,0.369664,0.183886,0.368381,-0.003484,-0.018148,0.009885,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,verified_t100,25,0.613234,1.444691,0.604443,1.430183,-0.010144,-0.015385,-0.00182,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,verified_t100,50,1.783394,4.556287,1.764847,4.52605,-0.006681,-0.01294,0.003649,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,verified_t100,100,5.182419,12.686731,5.167149,12.629881,-0.004501,-0.013462,0.008259,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,metric,1,0.036656,0.036656,0.036656,0.036656,0.0,0.0,0.0,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,metric,10,0.184753,0.369664,0.183886,0.368381,-0.003484,-0.018148,0.009885,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,metric,25,0.613234,1.444691,0.604443,1.430183,-0.010144,-0.015385,-0.00182,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,metric,50,1.783394,4.556287,1.764847,4.52605,-0.006681,-0.01294,0.003649,4,0.533661,0.729358,0.75,0.15,1.743915
goal_only_v2,tgsim_i90,metric,100,5.182419,12.686731,5.167149,12.629881,-0.004501,-0.013462,0.008259,4,0.533661,0.729358,0.75,0.15,1.743915
scene_only_v2,tgsim,all,1,0.000636,0.000636,0.000636,0.000636,0.0,0.0,0.0,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,all,10,0.00956,0.022813,0.009847,0.023329,0.00516,-0.001459,0.017089,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,all,25,3.3517,7.603387,3.348184,7.597211,-0.000813,-0.097772,0.00194,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,all,50,5.594382,7.95238,5.511348,7.794749,-0.020223,-0.574954,-0.006848,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,all,100,7.877969,13.93978,7.877969,13.93978,0.0,0.0,0.0,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,easy,1,0.000427,0.000427,0.000427,0.000427,0.0,0.0,0.0,2,0.03,0.048825,0.0,0.0,0.652909
scene_only_v2,tgsim,easy,10,0.006715,0.014997,0.006786,0.015132,0.001357,0.000926,0.001789,2,0.03,0.048825,0.0,0.0,0.652909
scene_only_v2,tgsim,easy,25,0.018228,0.033615,0.018537,0.034109,0.004942,0.002105,0.007779,2,0.03,0.048825,0.0,0.0,0.652909
scene_only_v2,tgsim,easy,50,0.0427,0.082961,0.038184,0.084776,0.01815,-0.097465,0.133765,2,0.03,0.048825,0.0,0.0,0.652909
scene_only_v2,tgsim,easy,100,0.981646,4.934126,0.981646,4.934126,0.0,0.0,0.0,2,0.03,0.048825,0.0,0.0,0.652909
scene_only_v2,tgsim,medium,1,0.000769,0.000769,0.000769,0.000769,0.0,0.0,0.0,5,0.203639,0.341948,0.28,0.28,0.545273
scene_only_v2,tgsim,medium,10,0.01189,0.029083,0.012386,0.029977,0.008937,-0.000695,0.026845,5,0.203639,0.341948,0.28,0.28,0.545273
scene_only_v2,tgsim,medium,25,5.352935,12.147354,5.348016,12.138897,-0.000697,-0.142478,0.003676,5,0.203639,0.341948,0.28,0.28,0.545273
scene_only_v2,tgsim,medium,50,8.927756,12.678187,8.799873,12.431497,-0.019844,-0.879187,-0.003353,5,0.203639,0.341948,0.28,0.28,0.545273
scene_only_v2,tgsim,medium,100,12.205771,20.316957,12.205771,20.316957,0.0,0.0,0.0,5,0.203639,0.341948,0.28,0.28,0.545273
scene_only_v2,tgsim,hard,1,0.00039,0.00039,0.00039,0.00039,0.0,,,1,0.03,0.074816,0.0,0.0,0.913125
scene_only_v2,tgsim,hard,10,0.003601,0.007096,0.003271,0.006484,-0.006118,,,1,0.03,0.074816,0.0,0.0,0.913125
scene_only_v2,tgsim,hard,25,0.012472,0.023095,0.008318,0.014984,-0.081113,,,1,0.03,0.074816,0.0,0.0,0.913125
scene_only_v2,tgsim,hard,50,0.030877,0.062182,0.015049,0.030954,-0.312289,,,1,0.03,0.074816,0.0,0.0,0.913125
scene_only_v2,tgsim,hard,100,0.03161,0.065199,0.03161,0.065199,0.0,,,1,0.03,0.074816,0.0,0.0,0.913125
scene_only_v2,tgsim,hardbench,1,0.00039,0.00039,0.00039,0.00039,0.0,,,1,0.03,0.074816,0.0,0.0,0.913125
scene_only_v2,tgsim,hardbench,10,0.003601,0.007096,0.003271,0.006484,-0.006118,,,1,0.03,0.074816,0.0,0.0,0.913125
scene_only_v2,tgsim,hardbench,25,0.012472,0.023095,0.008318,0.014984,-0.081113,,,1,0.03,0.074816,0.0,0.0,0.913125
scene_only_v2,tgsim,hardbench,50,0.030877,0.062182,0.015049,0.030954,-0.312289,,,1,0.03,0.074816,0.0,0.0,0.913125
scene_only_v2,tgsim,hardbench,100,0.03161,0.065199,0.03161,0.065199,0.0,,,1,0.03,0.074816,0.0,0.0,0.913125
scene_only_v2,tgsim,traffic,1,0.000636,0.000636,0.000636,0.000636,0.0,0.0,0.0,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,traffic,10,0.00956,0.022813,0.009847,0.023329,0.00516,-0.001459,0.017089,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,traffic,25,3.3517,7.603387,3.348184,7.597211,-0.000813,-0.097772,0.00194,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,traffic,50,5.594382,7.95238,5.511348,7.794749,-0.020223,-0.574954,-0.006848,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,traffic,100,7.877969,13.93978,7.877969,13.93978,0.0,0.0,0.0,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,inferred_only,1,0.000636,0.000636,0.000636,0.000636,0.0,0.0,0.0,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,inferred_only,10,0.00956,0.022813,0.009847,0.023329,0.00516,-0.001459,0.017089,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,inferred_only,25,3.3517,7.603387,3.348184,7.597211,-0.000813,-0.097772,0.00194,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,inferred_only,50,5.594382,7.95238,5.511348,7.794749,-0.020223,-0.574954,-0.006848,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,inferred_only,100,7.877969,13.93978,7.877969,13.93978,0.0,0.0,0.0,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,multi_agent,1,0.000636,0.000636,0.000636,0.000636,0.0,0.0,0.0,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,multi_agent,10,0.00956,0.022813,0.009847,0.023329,0.00516,-0.001459,0.017089,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,multi_agent,25,3.3517,7.603387,3.348184,7.597211,-0.000813,-0.097772,0.00194,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,multi_agent,50,5.594382,7.95238,5.511348,7.794749,-0.020223,-0.574954,-0.006848,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,multi_agent,100,7.877969,13.93978,7.877969,13.93978,0.0,0.0,0.0,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,verified_t50,1,0.000636,0.000636,0.000636,0.000636,0.0,0.0,0.0,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,verified_t50,10,0.00956,0.022813,0.009847,0.023329,0.00516,-0.001459,0.017089,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,verified_t50,25,3.3517,7.603387,3.348184,7.597211,-0.000813,-0.097772,0.00194,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,verified_t50,50,5.594382,7.95238,5.511348,7.794749,-0.020223,-0.574954,-0.006848,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,verified_t50,100,7.877969,13.93978,7.877969,13.93978,0.0,0.0,0.0,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,verified_t100,1,0.000636,0.000636,0.000636,0.000636,0.0,0.0,0.0,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,verified_t100,10,0.00956,0.022813,0.009847,0.023329,0.00516,-0.001459,0.017089,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,verified_t100,25,3.3517,7.603387,3.348184,7.597211,-0.000813,-0.097772,0.00194,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,verified_t100,50,5.594382,7.95238,5.511348,7.794749,-0.020223,-0.574954,-0.006848,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,verified_t100,100,7.877969,13.93978,7.877969,13.93978,0.0,0.0,0.0,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,metric,1,0.000636,0.000636,0.000636,0.000636,0.0,0.0,0.0,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,metric,10,0.00956,0.022813,0.009847,0.023329,0.00516,-0.001459,0.017089,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,metric,25,3.3517,7.603387,3.348184,7.597211,-0.000813,-0.097772,0.00194,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,metric,50,5.594382,7.95238,5.511348,7.794749,-0.020223,-0.574954,-0.006848,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim,metric,100,7.877969,13.93978,7.877969,13.93978,0.0,0.0,0.0,8,0.138525,0.235276,0.175,0.175,0.618164
scene_only_v2,tgsim_i90,all,1,0.036656,0.036656,0.036656,0.036656,0.0,0.0,0.0,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,all,10,0.184548,0.3694,0.183886,0.368381,-0.002766,-0.020527,0.013248,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,all,25,0.609761,1.438587,0.604443,1.430183,-0.005876,-0.019713,0.008487,4,0.470001,0.729358,0.75,0.15,1.546077
scene_only_v2,tgsim_i90,all,50,1.770473,4.532661,1.764847,4.52605,-0.001461,-0.008611,0.006301,4,0.470001,0.729358,0.75,0.15,1.546077
