trial,result_source,arm,modality,seed,fold,gain_vs_CV,ADE,FDE,easy_degradation,easy_absolute_harm,train_gain,fit_seconds
no_aux_geometry_seed17_fold0,cached_verified_parent_training_predictions,no_aux,geometry,17,0,-0.1529022078809339,7.943112109058311,15.61568305207233,328.8362233033859,0.0437007181912451,1.6524112839906513,10.366840958944522
sdd_aux_geometry_seed17_fold0,cached_verified_parent_training_predictions,sdd_aux,geometry,17,0,-0.2254260339016989,7.948863963153014,15.635806306473185,386.4637416688961,0.05135913220309959,1.5567874088501243,10.680948375025764
no_aux_geometry_seed29_fold0,cached_verified_parent_training_predictions,no_aux,geometry,29,0,-0.2393327757480579,7.949966904826417,15.635773254118641,348.0181055604769,0.04624989608434295,1.632858309844698,10.15512629202567
sdd_aux_geometry_seed29_fold0,cached_verified_parent_training_predictions,sdd_aux,geometry,29,0,-0.21768197463314376,7.948249782938629,15.624807792130166,325.30451344776657,0.04323137130608984,1.5557356523889676,10.381865459028631
no_aux_geometry_seed43_fold0,cached_verified_parent_training_predictions,no_aux,geometry,43,0,-0.10434959102281205,7.939261408076209,15.606116198378167,308.8916914721044,0.04105018791736154,1.6292852259942037,10.433357707923278
sdd_aux_geometry_seed43_fold0,cached_verified_parent_training_predictions,sdd_aux,geometry,43,0,-0.23370324120401964,7.949520427260422,15.632223465621733,329.9566398010056,0.04384961603810464,1.5175410151390456,10.658414125093259
no_aux_mask_only_seed17_fold0,cached_verified_parent_training_predictions,no_aux,mask_only,17,0,-0.14886435625531824,7.942791867633102,15.615842728798562,313.15301674201476,0.04161649710578017,1.6792137009346564,294.73877212498337
sdd_aux_mask_only_seed17_fold0,cached_verified_parent_training_predictions,sdd_aux,mask_only,17,0,-0.20357457759314634,7.947130927330999,15.630380401433763,350.76260679755603,0.04661462681240042,1.5691596099098537,282.712534833001
no_aux_mask_only_seed29_fold0,cached_verified_parent_training_predictions,no_aux,mask_only,29,0,-0.20359170925614567,7.9471322860407,15.627759546861562,327.55284430211304,0.043530163428440134,1.6487452862054885,283.39039124990813
sdd_aux_mask_only_seed29_fold0,cached_verified_parent_training_predictions,sdd_aux,mask_only,29,0,-0.22087093243323697,7.948502698717991,15.627408134680103,354.98938103641757,0.047176344338574816,1.5578325954867078,283.369290624978
no_aux_mask_only_seed43_fold0,cached_verified_parent_training_predictions,no_aux,mask_only,43,0,-0.10302461638138638,7.939156324530088,15.609016668530778,309.32948942012473,0.04110836911333489,1.6574432061958966,283.5373446670128
sdd_aux_mask_only_seed43_fold0,cached_verified_parent_training_predictions,sdd_aux,mask_only,43,0,-0.2117205987965498,7.94777698708798,15.627278064072355,320.17728781718165,0.042549988214731334,1.489354248887731,281.8164894171059
no_aux_past_rgb_seed17_fold0,cached_verified_parent_training_predictions,no_aux,past_rgb,17,0,-1.32189370740734,8.035824654881509,15.8197578806269,828.4063439819707,0.11009113236529192,2.145866513494721,288.28070229198784
sdd_aux_past_rgb_seed17_fold0,cached_verified_parent_training_predictions,sdd_aux,past_rgb,17,0,-0.9157153775284588,8.003610710608568,15.765109732584262,692.097585942214,0.09197636823665073,2.057954101369275,289.49562304094434
no_aux_past_rgb_seed29_fold0,cached_verified_parent_training_predictions,no_aux,past_rgb,29,0,-1.1342498553047475,8.020942648259947,15.778846782788085,745.7150278343335,0.09910186279051925,2.173937991384378,289.0709783330094
sdd_aux_past_rgb_seed29_fold0,cached_verified_parent_training_predictions,sdd_aux,past_rgb,29,0,-0.8424434887242871,7.997799527763302,15.733412753062794,536.8047345097159,0.07133871138305853,1.9903139812532111,289.5724682500586
