view,head,step,trees,loss,gradient_norm,fitting_fraction_MSE,nodes
transformer_seed17,bounded_fraction,1,,0.11864840984344482,0.025719724595546722,,
transformer_seed17,bounded_fraction,100,,0.10312990844249725,0.023945029824972153,,
transformer_seed17,bounded_fraction,200,,0.09944769740104675,0.024832256138324738,,
transformer_seed17,bounded_fraction,300,,0.10400310158729553,0.05600930005311966,,
transformer_seed17,bounded_fraction,400,,0.10147444903850555,0.039538972079753876,,
transformer_seed17,bounded_fraction,500,,0.09194975346326828,0.036334775388240814,,
transformer_seed17,bounded_fraction,600,,0.09404689073562622,0.043725889176130295,,
transformer_seed17,bounded_fraction,700,,0.10003888607025146,0.047357358038425446,,
transformer_seed17,bounded_fraction,800,,0.09882955253124237,0.0459812767803669,,
transformer_seed17,bounded_fraction,900,,0.0979718416929245,0.03909735754132271,,
transformer_seed17,bounded_fraction,1000,,0.08544838428497314,0.058779362589120865,,
transformer_seed17,bounded_fraction,1100,,0.08802150189876556,0.052784234285354614,,
transformer_seed17,bounded_fraction,1200,,0.09576691687107086,0.038972560316324234,,
transformer_seed17,bounded_fraction,1300,,0.10943211615085602,0.03949333354830742,,
transformer_seed17,bounded_fraction,1400,,0.09199167788028717,0.05638108775019646,,
transformer_seed17,bounded_fraction,1500,,0.10162140429019928,0.07157071679830551,,
transformer_seed17,bounded_fraction,1600,,0.08083872497081757,0.05215949937701225,,
transformer_seed17,bounded_fraction,1700,,0.08837682008743286,0.03533591702580452,,
transformer_seed17,bounded_fraction,1800,,0.09991800040006638,0.04850773513317108,,
transformer_seed17,bounded_fraction,1900,,0.09637772291898727,0.08996140956878662,,
transformer_seed17,bounded_fraction,2000,,0.08201339840888977,0.048338260501623154,,
transformer_seed17,bounded_fraction,2100,,0.09548263251781464,0.052120011299848557,,
transformer_seed17,bounded_fraction,2200,,0.09202934056520462,0.04844753071665764,,
transformer_seed17,bounded_fraction,2300,,0.09300467371940613,0.0689874067902565,,
transformer_seed17,bounded_fraction,2400,,0.0892491489648819,0.051705293357372284,,
transformer_seed17,bounded_fraction,2500,,0.08253514021635056,0.050019990652799606,,
transformer_seed17,bounded_fraction,2600,,0.10154847800731659,0.051972705870866776,,
transformer_seed17,bounded_fraction,2700,,0.10417231172323227,0.04448505491018295,,
transformer_seed17,bounded_fraction,2800,,0.09383116662502289,0.043935853987932205,,
transformer_seed17,bounded_fraction,2900,,0.09002862870693207,0.0785665214061737,,
transformer_seed17,bounded_fraction,3000,,0.09081363677978516,0.05263075232505798,,
transformer_seed17,matched_fraction_forest,,16,,,0.09193081613792942,26502
transformer_seed17,matched_fraction_forest,,32,,,0.09147547583536195,54016
transformer_seed17,matched_fraction_forest,,48,,,0.09128354166817916,81618
transformer_seed17,matched_fraction_forest,,64,,,0.09125212188466822,108118
transformer_seed17,matched_fraction_forest,,80,,,0.09122612951676702,134872
transformer_seed17,matched_fraction_forest,,96,,,0.0912014737020498,162182
transformer_seed17,matched_fraction_forest,,112,,,0.09113884783346853,189172
transformer_seed17,matched_fraction_forest,,128,,,0.09118447697884755,215304
transformer_seed29,bounded_fraction,1,,0.1200946643948555,0.028413668274879456,,
transformer_seed29,bounded_fraction,100,,0.0949551910161972,0.030256610363721848,,
transformer_seed29,bounded_fraction,200,,0.09627468883991241,0.033420246094465256,,
transformer_seed29,bounded_fraction,300,,0.10132551193237305,0.042260345071554184,,
transformer_seed29,bounded_fraction,400,,0.09319837391376495,0.06099638342857361,,
transformer_seed29,bounded_fraction,500,,0.10856933891773224,0.03125392645597458,,
transformer_seed29,bounded_fraction,600,,0.10039155930280685,0.03555350750684738,,
transformer_seed29,bounded_fraction,700,,0.0897640585899353,0.03559198975563049,,
transformer_seed29,bounded_fraction,800,,0.09003645926713943,0.04016798734664917,,
transformer_seed29,bounded_fraction,900,,0.0885438323020935,0.03635219857096672,,
transformer_seed29,bounded_fraction,1000,,0.09900931268930435,0.05746570974588394,,
transformer_seed29,bounded_fraction,1100,,0.10677893459796906,0.06740691512823105,,
transformer_seed29,bounded_fraction,1200,,0.0961664617061615,0.062139842659235,,
transformer_seed29,bounded_fraction,1300,,0.1025109738111496,0.05445759370923042,,
transformer_seed29,bounded_fraction,1400,,0.09756188094615936,0.06410464644432068,,
transformer_seed29,bounded_fraction,1500,,0.09162861108779907,0.10238493978977203,,
transformer_seed29,bounded_fraction,1600,,0.09795220196247101,0.0643286481499672,,
transformer_seed29,bounded_fraction,1700,,0.08969917893409729,0.0547260083258152,,
transformer_seed29,bounded_fraction,1800,,0.09593239426612854,0.03307471424341202,,
transformer_seed29,bounded_fraction,1900,,0.098231241106987,0.06590677797794342,,
transformer_seed29,bounded_fraction,2000,,0.09516975283622742,0.0827571228146553,,
transformer_seed29,bounded_fraction,2100,,0.09540735185146332,0.09258568286895752,,
