action,policy,seed,site,subset,rows,gain_percent,absolute_harm
damped_velocity_005,old_positive_population,17,hyang,all,89183,0.899896234994102,-0.14329372551359398
damped_velocity_005,old_positive_population,17,coupa,hard,4416,0.8218702074636597,-0.3507055022449066
damped_velocity_005,old_positive_population,17,deathCircle,hard,12715,0.5048154525955528,-0.2843281669696225
damped_velocity_005,old_positive_population,17,gates,hard,6404,0.17317916152257418,-0.07805606826088507
damped_velocity_005,old_positive_population,17,hyang,hard,18309,1.0268767182111116,-0.4534896460589479
damped_velocity_005,old_positive_population,17,coupa,positive_easy,11220,2.4166140190219565,-0.053296531819968074
damped_velocity_005,old_positive_population,17,deathCircle,positive_easy,4581,0.3568435540687309,-0.009535037473086927
damped_velocity_005,old_positive_population,17,gates,positive_easy,2923,0.6447420376524571,-0.018240882910100176
damped_velocity_005,old_positive_population,17,hyang,positive_easy,19679,0.5476221436017781,-0.014569193349592613
damped_velocity_005,old_positive_population,17,coupa,complete,24834,2.003998121980688,-0.2387039241678508
damped_velocity_005,old_positive_population,17,deathCircle,complete,27394,0.6371553895238247,-0.17464608950271554
damped_velocity_005,old_positive_population,17,gates,complete,15281,0.39839442908544687,-0.08707968938986355
damped_velocity_005,old_positive_population,17,hyang,complete,76409,0.9460067630082114,-0.15963475873838817
damped_velocity_005,old_positive_population,17,coupa,zero_CV,2463,,0.0
damped_velocity_005,old_positive_population,17,deathCircle,zero_CV,2984,,0.0
damped_velocity_005,old_positive_population,17,gates,zero_CV,1565,,0.0
damped_velocity_005,old_positive_population,17,hyang,zero_CV,4554,,0.0
damped_velocity_005,positive_point,17,coupa,all,27778,0.2484932924911254,-0.029591092856302126
damped_velocity_005,positive_point,17,deathCircle,all,35760,0.013638499316515063,-0.003383804683181779
damped_velocity_005,positive_point,17,gates,all,20236,0.026873607805888433,-0.005310634554611227
damped_velocity_005,positive_point,17,hyang,all,89183,0.051000253617627944,-0.008120954459883478
damped_velocity_005,positive_point,17,coupa,hard,4416,-0.0005278011857345888,0.0002252214257794094
damped_velocity_005,positive_point,17,deathCircle,hard,12715,0.0002747873623643038,-0.0001547690084464648
damped_velocity_005,positive_point,17,gates,hard,6404,0.0001756515949691284,-7.917045426353297e-05
damped_velocity_005,positive_point,17,hyang,hard,18309,0.0002968825555504928,-0.00013110937530314004
damped_velocity_005,positive_point,17,coupa,positive_easy,11220,1.7006677554851524,-0.03750689701870202
damped_velocity_005,positive_point,17,deathCircle,positive_easy,4581,0.2921826553660023,-0.007807266058571738
damped_velocity_005,positive_point,17,gates,positive_easy,2923,0.4473776518503336,-0.012657098323711757
damped_velocity_005,positive_point,17,hyang,positive_easy,19679,0.3856060840260911,-0.010258843000769069
damped_velocity_005,positive_point,17,coupa,complete,24834,0.2760149089144348,-0.0328771974205182
damped_velocity_005,positive_point,17,deathCircle,complete,27394,0.01602278203189922,-0.004391889750657185
damped_velocity_005,positive_point,17,gates,complete,15281,0.031086814656844375,-0.006794849442680828
damped_velocity_005,positive_point,17,hyang,complete,76409,0.05464696884615039,-0.009221451715418993
damped_velocity_005,positive_point,17,coupa,zero_CV,2463,,0.0
damped_velocity_005,positive_point,17,deathCircle,zero_CV,2984,,0.0
damped_velocity_005,positive_point,17,gates,zero_CV,1565,,0.0
damped_velocity_005,positive_point,17,hyang,zero_CV,4554,,0.0
damped_velocity_005,net_point,17,coupa,all,27778,1.4281094781563808,-0.1700622167843857
damped_velocity_005,net_point,17,deathCircle,all,35760,0.1874989597496879,-0.04651977049444511
damped_velocity_005,net_point,17,gates,all,20236,0.24643991935215936,-0.04870028471058063
damped_velocity_005,net_point,17,hyang,all,89183,0.32340358852078754,-0.051496720667925544
damped_velocity_005,net_point,17,coupa,hard,4416,0.0387663585186937,-0.01654224123351611
damped_velocity_005,net_point,17,deathCircle,hard,12715,0.017946058998652425,-0.010107792923491843
damped_velocity_005,net_point,17,gates,hard,6404,0.01674028158566987,-0.007545252850682971
damped_velocity_005,net_point,17,hyang,hard,18309,0.027938653328096752,-0.012338277598885838
damped_velocity_005,net_point,17,coupa,positive_easy,11220,2.6049459919874174,-0.05745004616312066
damped_velocity_005,net_point,17,deathCircle,positive_easy,4581,0.7379712426890617,-0.019718959114910728
damped_velocity_005,net_point,17,gates,positive_easy,2923,1.0353244159863495,-0.02929114334585181
damped_velocity_005,net_point,17,hyang,positive_easy,19679,0.788777650785244,-0.020985006246358573
damped_velocity_005,net_point,17,coupa,complete,24834,1.5821348102671773,-0.18845416252190184
damped_velocity_005,net_point,17,deathCircle,complete,27394,0.20854196869622976,-0.05716194185724888
damped_velocity_005,net_point,17,gates,complete,15281,0.2739100985598597,-0.05987033091324534
damped_velocity_005,net_point,17,hyang,complete,76409,0.34841448354266946,-0.058793514165195404
damped_velocity_005,net_point,17,coupa,zero_CV,2463,,0.0
damped_velocity_005,net_point,17,deathCircle,zero_CV,2984,,0.0
damped_velocity_005,net_point,17,gates,zero_CV,1565,,0.0
damped_velocity_005,net_point,17,hyang,zero_CV,4554,,0.0
damped_velocity_005,positive_population,17,coupa,all,27778,1.6187985696146878,-0.19276986637709292
damped_velocity_005,positive_population,17,deathCircle,all,35760,0.5257576646428674,-0.1304440618099072
damped_velocity_005,positive_population,17,gates,all,20236,0.24003715013029003,-0.04743499991069555
damped_velocity_005,positive_population,17,hyang,all,89183,0.5448287295902188,-0.08675504507509402
damped_velocity_005,positive_population,17,coupa,hard,4416,0.49822667829193534,-0.2126014982115194
damped_velocity_005,positive_population,17,deathCircle,hard,12715,0.42092495894631154,-0.23707836476403088
damped_velocity_005,positive_population,17,gates,hard,6404,0.06057660651143104,-0.027303352731919972
damped_velocity_005,positive_population,17,hyang,hard,18309,0.4549242070928883,-0.20090378328724512
damped_velocity_005,positive_population,17,coupa,positive_easy,11220,2.436728641722097,-0.05374014408917871
damped_velocity_005,positive_population,17,deathCircle,positive_easy,4581,0.2650993780948463,-0.007083587402393121
damped_velocity_005,positive_population,17,gates,positive_easy,2923,0.5846783774297815,-0.016541576630548338
damped_velocity_005,positive_population,17,hyang,positive_easy,19679,0.5336495542452857,-0.014197460105588977
damped_velocity_005,positive_population,17,coupa,complete,24834,1.774383927010914,-0.21135369425358697
damped_velocity_005,positive_population,17,deathCircle,complete,27394,0.5527651438587688,-0.15151448512503052
damped_velocity_005,positive_population,17,gates,complete,15281,0.26902230704438646,-0.05880197418961686
damped_velocity_005,positive_population,17,hyang,complete,76409,0.5764299055098898,-0.0972701808209635
damped_velocity_005,positive_population,17,coupa,zero_CV,2463,,0.0
damped_velocity_005,positive_population,17,deathCircle,zero_CV,2984,,0.0
damped_velocity_005,positive_population,17,gates,zero_CV,1565,,0.0
damped_velocity_005,positive_population,17,hyang,zero_CV,4554,,0.0
damped_velocity_005,net_population,17,coupa,all,27778,2.2367846766353505,-0.26636092428223357
damped_velocity_005,net_population,17,deathCircle,all,35760,0.7284677220818492,-0.18073780936758155
damped_velocity_005,net_population,17,gates,all,20236,0.4053993224709673,-0.08011308589011534
damped_velocity_005,net_population,17,hyang,all,89183,0.9754166646250284,-0.1553191161012908
damped_velocity_005,net_population,17,coupa,hard,4416,1.4784686860394025,-0.6308868461006298
damped_velocity_005,net_population,17,deathCircle,hard,12715,0.6113546242208168,-0.34433442712454365
