budget,policy,ADE_gain_percent,CI_low,CI_high,worst_scene_gain_percent,hard_gain_percent,positive_easy_degradation_percent,switch_percent,zero_CV_harmed_query_seed_instances,zero_CV_max_absolute_harm,unknown_selected_query_seed_instances
positive_gain,asym_rule,4.451807016723763,2.5262190950419043,6.027827727849188,1.6250480343370621,6.234971575012279,3.832620348891874,15.810934856657335,25,15.72876409490833,1216
positive_gain,mse_ratio,4.520617567122024,2.5095321678054616,6.266238276097838,1.6211677375468136,6.389743978868931,4.0422208306727825,15.810934856657335,60,19.684395973813263,1293
positive_gain,mse_net_gain,4.73370249919009,2.6930145619827486,6.484817001190713,1.7524557117287842,6.9012266484658635,4.874273961000614,15.810934856657335,21,19.684395973813263,1286
positive_gain,asym_net_gain,4.451807016723763,2.5262190950419043,6.027827727849188,1.6250480343370621,6.234971575012279,3.832620348891874,15.810934856657335,25,15.72876409490833,1216
positive_gain,ridge_raw_net_gain,4.423169515269906,2.806166886311093,5.982897222311189,2.058606964419918,6.401081850021884,5.144473003434594,15.810934856657335,280,28.046527079579082,1354
positive_gain,hash_control,1.2287449509036956,0.7802430014686834,1.6772469003387083,0.5319508005614426,1.7514534018981398,3.718623615583294,15.810934856657335,1696,24.24245882454386,1384
harm_fraction_0p1,asym_rule,0.3403951071678041,0.018799234258015662,0.8675569716748988,0.017997734560426526,0.4014610542520669,0.10152789189628308,0.8415075445503994,1,0.4503355022655274,48
harm_fraction_0p1,mse_ratio,0.4346997378648437,0.048173183810840126,0.9669918002573552,0.04621802254601848,0.5411877703509232,0.1346848576819465,0.8415075445503994,15,9.942801145880932,57
harm_fraction_0p1,mse_net_gain,1.1899525014061163,0.32357016419332085,2.3514918393499116,0.10226557458246077,1.6551728520883908,0.41180901002850767,0.8415075445503994,1,6.836388520652888,148
harm_fraction_0p1,asym_net_gain,1.1536961732189155,0.3191372075914245,2.285978932161531,0.10882712761849378,1.6021731169901632,0.3812894096353603,0.8415075445503994,1,9.942801145880932,126
harm_fraction_0p1,ridge_raw_net_gain,0.6941046157848602,0.1872194251492848,1.218443169456901,-0.01691765245970256,0.9485267152054777,0.3660348605035002,0.8415075445503994,14,11.545721973992924,59
harm_fraction_0p1,hash_control,0.060531935554869465,0.0047211534905777786,0.12940256705337994,0.0043450386467691615,0.07992727110246178,0.2662197629803992,0.8415075445503994,113,21.09991507805481,76
