trial,step,bce,gradient_norm
mask_only_main_only_seed17_fold0,1,0.693781852722168,0.15499550104141235
mask_only_main_only_seed17_fold0,100,0.4705541729927063,0.5439221858978271
mask_only_main_only_seed17_fold0,200,0.32310497760772705,0.5435131192207336
mask_only_main_only_seed17_fold0,300,0.14755776524543762,0.9417673349380493
mask_only_main_only_seed17_fold0,400,0.1575327217578888,1.0815000534057617
mask_only_main_only_seed17_fold0,500,0.06715016067028046,0.46159276366233826
mask_only_main_only_seed17_fold0,600,0.04085998237133026,0.9452881813049316
mask_only_main_only_seed17_fold0,700,0.028691347688436508,0.459820955991745
mask_only_main_only_seed17_fold0,800,0.03607755899429321,0.553290069103241
mask_only_main_only_seed17_fold0,900,0.043113820254802704,0.6561481952667236
mask_only_main_only_seed17_fold0,1000,0.02669645845890045,0.36523401737213135
mask_only_main_only_seed17_fold0,1100,0.07875405997037888,0.8417105078697205
mask_only_main_only_seed17_fold0,1200,0.010539846494793892,0.1837260127067566
mask_only_main_only_seed17_fold0,1300,0.03779428452253342,0.575273871421814
mask_only_main_only_seed17_fold0,1400,0.059253592044115067,0.5496503114700317
mask_only_main_only_seed17_fold0,1500,0.1163773387670517,1.6535977125167847
mask_only_main_only_seed17_fold0,1600,0.10874387621879578,1.538905382156372
mask_only_main_only_seed17_fold0,1700,0.03394949436187744,0.5230008363723755
mask_only_main_only_seed17_fold0,1800,0.029485270380973816,0.517968475818634
mask_only_main_only_seed17_fold0,1900,0.04586895927786827,0.5622976422309875
mask_only_main_only_seed17_fold0,2000,0.01024404726922512,0.3364415168762207
mask_only_main_only_seed17_fold1,1,0.6981551051139832,0.2833593785762787
mask_only_main_only_seed17_fold1,100,0.14417213201522827,0.18552550673484802
mask_only_main_only_seed17_fold1,200,0.013875865377485752,0.0903155729174614
mask_only_main_only_seed17_fold1,300,0.0027612673584371805,0.030901631340384483
mask_only_main_only_seed17_fold1,400,0.001690589007921517,0.016578294336795807
mask_only_main_only_seed17_fold1,500,0.0005610437365248799,0.008574268780648708
mask_only_main_only_seed17_fold1,600,0.0004621315165422857,0.006610713433474302
mask_only_main_only_seed17_fold1,700,0.00036669414839707315,0.006275545340031385
mask_only_main_only_seed17_fold1,800,0.0003946031501982361,0.005025080870836973
mask_only_main_only_seed17_fold1,900,0.0001811753463698551,0.004487052094191313
mask_only_main_only_seed17_fold1,1000,0.00016412224795203656,0.002095885807648301
mask_only_main_only_seed17_fold1,1100,0.00012794812209904194,0.0016211170004680753
mask_only_main_only_seed17_fold1,1200,0.00012723701365757734,0.0030643113423138857
mask_only_main_only_seed17_fold1,1300,0.00013696428504772484,0.0028893579728901386
mask_only_main_only_seed17_fold1,1400,7.427118544001132e-05,0.0014527211897075176
mask_only_main_only_seed17_fold1,1500,0.00011092827480752021,0.0016450012335553765
