trial,arm,schedule,seed,held_site,rows,agents,brier,main_prior_lift,mask_lift,own_prior_lift,source_prior_lift,auroc,auprc,ece,log_loss,training_weighted_brier,mask_mean_shift,mask_within_site
mask_only_main_only_seed17_fold0,mask_only,main_only,17,ETH,81,5,0.24080391373239363,0.03202538939993971,0.0,0.03220081171645672,0.035266455075660785,0.788135593220339,0.9267206677681636,0.25529291199796855,1.6682194734935645,0.0034808604387475918,0.0,0.0
mask_only_main_only_seed17_fold1,mask_only,main_only,17,Hotel,284,26,0.5119629722303436,-0.1918767559925773,0.0,-0.18888926094878444,-0.2640276554146772,0.43165791447861973,0.4070324206834162,0.5136711153867634,6.670130995201854,5.970959776694935e-09,0.0,0.0
mask_only_main_only_seed29_fold0,mask_only,main_only,29,ETH,81,5,0.22870127740865107,0.04412802572368227,0.0,0.044303448040199284,0.047369091399403346,0.8297380585516179,0.9420930148388662,0.2362144897158075,1.642751199009389,0.0035384686797444408,0.0,0.0
mask_only_main_only_seed29_fold1,mask_only,main_only,29,Hotel,284,26,0.5222873573249842,-0.20220114108721793,0.0,-0.19921364604342506,-0.27435204050931783,0.4204801200300075,0.4031907051059947,0.5235569167935359,6.680827107592037,5.969214782344335e-09,0.0,0.0
mask_only_main_only_seed43_fold0,mask_only,main_only,43,ETH,81,5,0.2237119385099752,0.049117364622358134,0.0,0.04929278693887515,0.05235843029807921,0.8112480739599384,0.9372269748594053,0.22995874671734481,1.628225908860627,0.004194049363469612,0.0,0.0
mask_only_main_only_seed43_fold1,mask_only,main_only,43,Hotel,284,26,0.5165876986172889,-0.19650148237952264,0.0,-0.19351398733572978,-0.26865238180162254,0.4330832708177045,0.4091498937175537,0.5167968156468296,6.9374673408947976,4.9517460186268504e-09,0.0,0.0
mask_only_source_only_seed17_fold-1,mask_only,source_only,17,ETH,81,5,0.47099441693261535,-0.198165113800282,0.0,-0.19492404812456093,-0.19492404812456093,0.4622496147919877,0.7277411993410127,0.47166480623001666,1.4083151311457427,0.2218043445178985,0.0,0.0
mask_only_source_only_seed17_fold-1,mask_only,source_only,17,Hotel,284,26,0.265639694412081,0.05444652182568527,0.0,-0.017704377596414606,-0.017704377596414606,0.583520880220055,0.502612095347212,0.12534175987657106,0.7612193467741676,0.2218043445178985,0.0,0.0
mask_only_source_only_seed29_fold-1,mask_only,source_only,29,ETH,81,5,0.3990694486641391,-0.1262401455318058,0.0,-0.12299907985608471,-0.12299907985608471,0.3990755007704161,0.7166982330297,0.38733602683117363,1.090153297290277,0.21959760657705268,0.0,0.0
mask_only_source_only_seed29_fold-1,mask_only,source_only,29,Hotel,284,26,0.2738233725333806,0.04626284370438566,0.0,-0.025888055717714215,-0.025888055717714215,0.5287571892973244,0.450996807918557,0.16560234467853124,0.7596084445630363,0.21959760657705268,0.0,0.0
mask_only_source_only_seed43_fold-1,mask_only,source_only,43,ETH,81,5,0.46119963077625786,-0.18837032764392453,0.0,-0.18512926196820345,-0.18512926196820345,0.4044684129429892,0.7207013256095185,0.46738793567558856,1.3548925740195004,0.22197218145441275,0.0,0.0
mask_only_source_only_seed43_fold-1,mask_only,source_only,43,Hotel,284,26,0.27120629824233183,0.04887991799543445,0.0,-0.02327098142666542,-0.02327098142666542,0.560665166291573,0.4806610522944874,0.14744486056373152,0.7673657348643751,0.22197218145441275,0.0,0.0
mask_only_mixed_seed17_fold0,mask_only,mixed,17,ETH,81,5,0.3521194437581476,-0.07929014062581424,0.0,-0.07758955543091395,-0.07604907495009317,0.7349768875192604,0.8914300271118981,0.4114117786923515,1.1644695478280964,0.135766280544303,0.0,0.0
mask_only_mixed_seed17_fold1,mask_only,mixed,17,Hotel,284,26,0.3083643590010692,0.011721857236697109,0.0,-0.04241851320994933,-0.060429042185402765,0.5484121030257564,0.4924092994821594,0.1878791697484008,0.9959356507977515,0.11967366760903007,0.0,0.0
mask_only_mixed_seed29_fold0,mask_only,mixed,29,ETH,81,5,0.26738511020814454,0.005444192924188795,0.0,0.00714477811908909,0.008685258599909873,0.7257318952234207,0.8809256182316509,0.2883197240514198,0.861990941281362,0.14082758357121225,0.0,0.0
mask_only_mixed_seed29_fold1,mask_only,mixed,29,Hotel,284,26,0.29505576160972485,0.025030454628041432,0.0,-0.029109915818605003,-0.04712044479405844,0.5811202800700175,0.5031289358110025,0.2086804622462885,0.9780864291344485,0.11990438883252319,0.0,0.0
mask_only_mixed_seed43_fold0,mask_only,mixed,43,ETH,81,5,0.3312078999744634,-0.05837859684213009,0.0,-0.0566780116472298,-0.055137531166409015,0.6640986132511556,0.8731578383665111,0.3511589419820352,1.1570099650698797,0.13939969848827982,0.0,0.0
mask_only_mixed_seed43_fold1,mask_only,mixed,43,Hotel,284,26,0.30458013558422886,0.015506080653537424,0.0,-0.03863428979310901,-0.05664481876856245,0.547811952988247,0.490445956835162,0.1574490541825071,0.9516575687783962,0.12070333483272684,0.0,0.0
past_rgb_main_only_seed17_fold0,past_rgb,main_only,17,ETH,81,5,0.24459020774012058,0.028239095392212754,-0.0037862940077269536,0.02841451770872977,0.03148016106793383,0.7912172573189522,0.9265052123939203,0.23841295652097885,1.3994574947632061,0.0026061701278947596,0.00789603892915155,-0.011682332936878509
past_rgb_main_only_seed17_fold1,past_rgb,main_only,17,Hotel,284,26,0.5142132633928342,-0.19412704715506796,-0.0022502911624906474,-0.1911395521112751,-0.26627794657716786,0.4341335333833458,0.41251348952507083,0.5166322304474288,6.875614749992096,3.879404782459533e-09,-0.013528463568027532,0.011278172405536885
past_rgb_main_only_seed29_fold0,past_rgb,main_only,29,ETH,81,5,0.19496428482678746,0.07786501830554587,0.033736992581863606,0.07804044062206289,0.08110608398126695,0.847457627118644,0.9492948195725183,0.20668714966410778,1.4788905400037538,0.0031642401701162674,-7.235239826416245e-05,0.03380934498012783
past_rgb_main_only_seed29_fold1,past_rgb,main_only,29,Hotel,284,26,0.5252725007581043,-0.205186284520338,-0.0029851434331200632,-0.20219878947654513,-0.2773371839424379,0.41857964491122773,0.40273160405519887,0.5245335701572927,6.7647906225907795,5.907112724255784e-09,0.0003185336985462861,-0.0033036771316664326
past_rgb_main_only_seed43_fold0,past_rgb,main_only,43,ETH,81,5,0.20514751314255716,0.06768178998977617,0.018564425367418036,0.06785721230629319,0.07092285566549725,0.8266563944530045,0.942955289447635,0.2093360814337567,1.4189814813429125,0.005118306498619254,0.011774202722705192,0.00679022264471299
past_rgb_main_only_seed43_fold1,past_rgb,main_only,43,Hotel,284,26,0.518058915996141,-0.19797269975837467,-0.00147121737885203,-0.1949852047145818,-0.27012359918047457,0.43760940235058765,0.41436841678016656,0.5176619350135335,6.938129453909851,4.627965820131875e-09,0.005342859790306881,-0.0068140771691588276
past_rgb_source_only_seed17_fold-1,past_rgb,source_only,17,ETH,81,5,0.5781603824917222,-0.30533107935938886,-0.10716596555910685,-0.3020900136836678,-0.3020900136836678,0.4391371340523883,0.6870349857758106,0.5945883674179147,2.09747181731498,0.21516159127555506,-0.1127909327439405,0.005624967184833712
past_rgb_source_only_seed17_fold-1,past_rgb,source_only,17,Hotel,284,26,0.2672419236498853,0.05284429258788098,-0.0016022292378042868,-0.019306606834218892,-0.019306606834218892,0.5861465366341585,0.5062918935772405,0.13068572664961325,0.7798387422697829,0.21516159127555506,-0.0012438108974241824,-0.00035841834038010875
past_rgb_source_only_seed29_fold-1,past_rgb,source_only,29,ETH,81,5,0.5045674852946728,-0.23173818216233943,-0.10549803663053364,-0.22849711648661836,-0.22849711648661836,0.4306625577812019,0.6753168051257912,0.5301444928311272,1.544206659329451,0.21283106096951437,-0.10781807077412489,0.0023200341435912347
past_rgb_source_only_seed29_fold-1,past_rgb,source_only,29,Hotel,284,26,0.2692852103801022,0.05080100585766406,0.004538162153278402,-0.021349893564435812,-0.021349893564435812,0.5545886471617903,0.47132937657354457,0.1103597527802725,0.761570851856043,0.21283106096951437,-0.0006064722693107536,0.00514463442258916
past_rgb_source_only_seed43_fold-1,past_rgb,source_only,43,ETH,81,5,0.5208809343501724,-0.24805163121783902,-0.05968130357391449,-0.24481056554211794,-0.24481056554211794,0.40755007704160245,0.7224074004883849,0.540541881258473,1.7183645337487945,0.21978171624023884,-0.07373404297936093,0.014052739405446282
past_rgb_source_only_seed43_fold-1,past_rgb,source_only,43,Hotel,284,26,0.26738551646056413,0.052700699777202153,0.0038207817817677014,-0.01945019964489772,-0.01945019964489772,0.5705426356589147,0.48622187374496423,0.14795576031385382,0.7601221687049695,0.21978171624023884,0.0014049995785615985,0.0024157822032060926
past_rgb_mixed_seed17_fold0,past_rgb,mixed,17,ETH,81,5,0.2569567940007403,0.01587250913159305,0.09516264975740729,0.017573094326493344,0.019113574807314127,0.5724191063174114,0.7890561998018458,0.24657873459804203,0.7058765275174332,0.11840005350906799,0.11038407682525558,-0.015221427067848318
past_rgb_mixed_seed17_fold1,past_rgb,mixed,17,Hotel,284,26,0.2794150608749397,0.04067115536282656,0.028949298126129452,-0.013469215083819874,-0.03147974405927331,0.5522880720180046,0.47621845405817576,0.18441883912047663,0.7917512541630526,0.1128088485200244,-0.006952547633646118,0.03590184575977564
past_rgb_mixed_seed29_fold0,past_rgb,mixed,29,ETH,81,5,0.24602900412039738,0.026800299011935952,0.021356106087747156,0.028500884206836247,0.03004136468765703,0.6664098613251155,0.8777999460480663,0.2324595380068561,0.700294679164666,0.12295800544354649,0.027803861855728737,-0.006447755767981553
past_rgb_mixed_seed29_fold1,past_rgb,mixed,29,Hotel,284,26,0.24794159098851373,0.07214462524925255,0.04711417062121112,0.018004254802606118,-6.274172847320347e-06,0.6071517879469868,0.5836232314802684,0.06825094966506459,0.7017566946524225,0.11102871078503355,0.009740563016159758,0.03737360760505125
past_rgb_mixed_seed43_fold0,past_rgb,mixed,43,ETH,81,5,0.32959187242351,-0.05676256929117668,0.0016160275509534139,-0.055061984096276384,-0.0535215036154556,0.45685670261941447,0.7397637649714376,0.3485650023974386,0.9901042190786231,0.12421425128774294,0.10050038383198955,-0.09888435628103615
past_rgb_mixed_seed43_fold1,past_rgb,mixed,43,Hotel,284,26,0.2725086379592617,0.04757757827850456,0.03207149762496714,-0.006562792168141873,-0.02457332114359531,0.5295323830957739,0.47944183791539174,0.11810524580659161,0.7647809082809326,0.11481472847271901,-0.005167959665019676,0.0372394572899868
