seed,candidate,arm,subset,metric,status,count,baseline_error,selected_error,improvement_pct,degradation_fraction,mean_excess_over_floor,switch_rate_valid_labels
17,seed17_ridge_conservative,floor,all,ade,evaluated,33686,1.693476048391338,1.693476048391338,0.0,-0.0,0.0,0.0
17,seed17_ridge_conservative,floor,all,fde,evaluated,33690,3.1558455469375857,3.1558455469375857,0.0,-0.0,0.0,0.0
17,seed17_ridge_conservative,floor,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,0.001532864067341749,0.0,-0.0,0.0,0.0
17,seed17_ridge_conservative,floor,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,0.0024195038009013786,0.0,-0.0,0.0,0.0
17,seed17_ridge_conservative,floor,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.4564539436101334,0.0,-0.0,0.0,0.0
17,seed17_ridge_conservative,floor,full_path_defined_hard,fde,evaluated,16040,6.4185937859578654,6.4185937859578654,0.0,-0.0,0.0,0.0
17,seed17_ridge_conservative,independent,all,ade,evaluated,33686,1.693476048391338,1.6934837403448675,-0.0004542109430340437,4.542109430340437e-06,7.691953529453954e-06,0.003918541827465416
17,seed17_ridge_conservative,independent,all,fde,evaluated,33690,3.1558455469375857,3.155842855577158,8.528175374314566e-05,-8.528175374314566e-07,-2.69136042785334e-06,0.003918076580587711
17,seed17_ridge_conservative,independent,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,0.0016324043255458171,-6.493743334768626,0.06493743334768626,9.954025820406811e-05,0.0018352833218628125
17,seed17_ridge_conservative,independent,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,0.002496655598792534,-3.1887446451794355,0.03188744645179435,7.715179789115562e-05,0.0018352833218628125
17,seed17_ridge_conservative,independent,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.4564450493558385,0.00025732309586497097,-2.5732309586497095e-06,-8.894254294844472e-06,0.0036159600997506237
17,seed17_ridge_conservative,independent,full_path_defined_hard,fde,evaluated,16040,6.4185937859578654,6.418575196618372,0.00028961701134866294,-2.8961701134866295e-06,-1.8589339493502166e-05,0.0036159600997506237
17,seed17_ridge_conservative,independent_count_reference,all,ade,evaluated,33686,1.693476048391338,1.6934837403448675,-0.0004542109430340437,4.542109430340437e-06,7.691953529453954e-06,0.003918541827465416
17,seed17_ridge_conservative,independent_count_reference,all,fde,evaluated,33690,3.1558455469375857,3.155842855577158,8.528175374314566e-05,-8.528175374314566e-07,-2.69136042785334e-06,0.003918076580587711
17,seed17_ridge_conservative,independent_count_reference,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,0.0016324043255458171,-6.493743334768626,0.06493743334768626,9.954025820406811e-05,0.0018352833218628125
17,seed17_ridge_conservative,independent_count_reference,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,0.002496655598792534,-3.1887446451794355,0.03188744645179435,7.715179789115562e-05,0.0018352833218628125
17,seed17_ridge_conservative,independent_count_reference,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.4564450493558385,0.00025732309586497097,-2.5732309586497095e-06,-8.894254294844472e-06,0.0036159600997506237
17,seed17_ridge_conservative,independent_count_reference,full_path_defined_hard,fde,evaluated,16040,6.4185937859578654,6.418575196618372,0.00028961701134866294,-2.8961701134866295e-06,-1.8589339493502166e-05,0.0036159600997506237
17,seed17_ridge_conservative,joint,all,ade,evaluated,33686,1.693476048391338,1.6934837403448675,-0.0004542109430340437,4.542109430340437e-06,7.691953529453954e-06,0.003918541827465416
17,seed17_ridge_conservative,joint,all,fde,evaluated,33690,3.1558455469375857,3.155842855577158,8.528175374314566e-05,-8.528175374314566e-07,-2.69136042785334e-06,0.003918076580587711
17,seed17_ridge_conservative,joint,full_path_defined_easy,ade,evaluated,4359,0.001532864067341749,0.0016324043255458171,-6.493743334768626,0.06493743334768626,9.954025820406811e-05,0.0018352833218628125
17,seed17_ridge_conservative,joint,full_path_defined_easy,fde,evaluated,4359,0.0024195038009013786,0.002496655598792534,-3.1887446451794355,0.03188744645179435,7.715179789115562e-05,0.0018352833218628125
17,seed17_ridge_conservative,joint,full_path_defined_hard,ade,evaluated,16040,3.4564539436101334,3.4564450493558385,0.00025732309586497097,-2.5732309586497095e-06,-8.894254294844472e-06,0.0036159600997506237
17,seed17_ridge_conservative,joint,full_path_defined_hard,fde,evaluated,16040,6.4185937859578654,6.418575196618372,0.00028961701134866294,-2.8961701134866295e-06,-1.8589339493502166e-05,0.0036159600997506237
