family,candidate,control,ade,fde,gain_percent,easy_degradation_percent,hard_gain_percent,positive_harm,p95_error,switch_rate,proximity
transformer,seed17_ridge_conservative,independent_coupling_reference,6.090160575681794,14.141781674475261,-0.2337143367456422,2474.459592151083,-0.024097415227974615,0.016391072541755557,1.9038874992260448,0.09601588352084713,2.6168283092373444e-05
transformer,seed17_ridge_conservative,unary_geometry_exact_count,6.090160575681794,14.141781674475261,-0.2337143367456422,2474.459592151083,-0.024097415227974615,0.016391072541755557,1.9038874992260448,0.09601588352084713,2.6168283092373444e-05
transformer,seed17_ridge_conservative,joint_coupling_exact_count,6.090160575681794,14.141781674475261,-0.2337143367456422,2474.459592151083,-0.024097415227974615,0.016391072541755557,1.9038874992260448,0.09601588352084713,2.6168283092373444e-05
transformer,seed17_ridge_moderate,independent_coupling_reference,6.090690835418156,14.1421608321866,-0.2424415127007512,2620.5032826092583,-0.01927437723043804,0.017478534424338048,1.9132669966000198,0.11626737260092654,3.428874958113498e-05
transformer,seed17_ridge_moderate,unary_geometry_exact_count,6.090690835418156,14.1421608321866,-0.2424415127007512,2620.5032826092583,-0.01927437723043804,0.017478534424338048,1.9132669966000198,0.11626737260092654,3.428874958113498e-05
transformer,seed17_ridge_moderate,joint_coupling_exact_count,6.090690835418156,14.1421608321866,-0.2424415127007512,2620.5032826092583,-0.01927437723043804,0.017478534424338048,1.9132669966000198,0.11626737260092654,3.428874958113498e-05
transformer,seed17_neural_cost_conservative,independent_coupling_reference,6.0762601033302595,14.130004128790125,-0.004936136644810575,107.26202890511136,0.006273270355114532,0.0010512746118472073,1.6831614528508043,0.030522832561217735,5.556609324705618e-06
transformer,seed17_neural_cost_conservative,unary_geometry_exact_count,6.0762601033302595,14.130004128790125,-0.004936136644810575,107.26202890511136,0.006273270355114532,0.0010512746118472073,1.6831614528508043,0.030522832561217735,5.556609324705618e-06
transformer,seed17_neural_cost_conservative,joint_coupling_exact_count,6.0762601033302595,14.130004128790125,-0.004936136644810575,107.26202890511136,0.006273270355114532,0.0010512746118472073,1.6831614528508043,0.030522832561217735,5.556609324705618e-06
transformer,seed17_neural_cost_moderate,independent_coupling_reference,6.076779408514145,14.13070259621416,-0.01348301924476253,178.86280112290768,0.006353832651031242,0.0020423772561643195,1.6880345777385168,0.056412971542025146,1.1904356590251345e-05
transformer,seed17_neural_cost_moderate,unary_geometry_exact_count,6.076779408514145,14.13070259621416,-0.01348301924476253,178.86280112290768,0.006353832651031242,0.0020423772561643195,1.6880345777385168,0.056412971542025146,1.1904356590251345e-05
transformer,seed17_neural_cost_moderate,joint_coupling_exact_count,6.076779408514145,14.13070259621416,-0.01348301924476253,178.86280112290768,0.006353832651031242,0.0020423772561643195,1.6880345777385168,0.056412971542025146,1.1904356590251345e-05
transformer,seed29_ridge_conservative,independent_coupling_reference,6.076677051601847,14.12910825134475,-0.01179839806274731,548.4971028040212,0.04061197876919395,0.004939986221508019,1.7201998295007186,0.11992058239576439,5.465885783024879e-05
transformer,seed29_ridge_conservative,unary_geometry_exact_count,6.076685842736608,14.129121782169097,-0.011943085231392469,548.4971028040212,0.040466582031034384,0.004939986221508019,1.7201998295007186,0.11992058239576439,5.465885783024879e-05
transformer,seed29_ridge_conservative,joint_coupling_exact_count,6.076677051601847,14.12910825134475,-0.01179839806274731,548.4971028040212,0.04061197876919395,0.004939986221508019,1.7201998295007186,0.11992058239576439,5.465885783024879e-05
transformer,seed29_ridge_moderate,independent_coupling_reference,6.07649003087503,14.1280785210686,-0.008720354081167067,669.381188099904,0.05874384343418515,0.0068651725117521685,1.72158370449974,0.18070152217074784,8.927984056738891e-05
transformer,seed29_ridge_moderate,unary_geometry_exact_count,6.07649003087503,14.1280785210686,-0.008720354081167067,669.381188099904,0.05874384343418515,0.0068651725117521685,1.72158370449974,0.18070152217074784,8.927984056738891e-05
transformer,seed29_ridge_moderate,joint_coupling_exact_count,6.07649003087503,14.1280785210686,-0.008720354081167067,669.381188099904,0.05874384343418515,0.0068651725117521685,1.72158370449974,0.18070152217074784,8.927984056738891e-05
