site,rows,recordings,agents,train_gain_percent_mean,oof_ade,cv_ade,oof_gain_percent,conditional_recording_ci95,seed_gain_percent,hard_gain_percent,easy_pixel_harm,easy_percentage_degradation
coupa,4250,4,79,0.7950796249682387,1220.698925505818,1194.5014738117636,-2.1931703114987333,"[-3.3252422842239997, -1.7228640456008504]","[-2.09879233314223, -2.5944263740414364, -1.8862922273124916]",-0.012234070733607716,0.05345730741302062,
deathCircle,3054,5,177,1.082096211660118,1307.1123884265764,1271.9512415452677,-2.764347070300593,"[-3.542617558080906, -1.330960888172004]","[-2.5957610873075687, -3.408553204242537, -2.288726919351669]",-0.011546229532410912,0.04873618555814402,
gates,1662,7,78,0.5440193866330656,782.0508344185783,725.7411275974281,-7.75892459168797,"[-13.367769352504393, -3.1613714031021143]","[-7.807389725158043, -9.087219508822342, -6.382164541083468]",0.11048067979537723,0.07161445537620503,
hyang,6464,13,211,2.543801903356631,1217.4358104016987,1118.8623977707434,-8.810146165190314,"[-17.592572173707765, -4.903661676789843]","[-9.329699580293859, -9.459470221013632, -7.641268694263426]",-0.2006081083531397,0.14254284145818336,
