contrast,mode,subset,point_percent,conditional_recording_ci95,valid_resamples,invalid_zero_denominator_resamples,rows,records,uncertainty_scope
endpoint_minus_parent:mask_only:constant,fixed_probability_guard,all,-0.023917749417879185,"[-0.11139566275707308, -0.00477706295919485]",2000,0,6944,7,recordings_within_one_previously_explored_physical_site
endpoint_minus_parent:mask_only:constant,fixed_probability_guard,hard,0.0008031508488303556,"[0.0, 0.002397581807277427]",2000,0,496,7,recordings_within_one_previously_explored_physical_site
endpoint_minus_parent:mask_only:constant,fixed_probability_guard,moving,-0.012843263368183836,"[-0.061498572757758246, -0.0005569717035944886]",2000,0,3175,7,recordings_within_one_previously_explored_physical_site
endpoint_minus_parent:mask_only:cosine,fixed_probability_guard,all,-0.011507812807051364,"[-0.060607630065222046, -0.0010166390314959128]",2000,0,6944,7,recordings_within_one_previously_explored_physical_site
endpoint_minus_parent:mask_only:cosine,fixed_probability_guard,hard,0.0007425818113122394,"[0.0, 0.0021720706430204207]",2000,0,496,7,recordings_within_one_previously_explored_physical_site
endpoint_minus_parent:mask_only:cosine,fixed_probability_guard,moving,-0.005738836327546389,"[-0.02821469725938452, -0.00022270363789899273]",2000,0,3175,7,recordings_within_one_previously_explored_physical_site
endpoint_minus_parent:past_rgb:constant,fixed_probability_guard,all,-0.1790299035776655,"[-0.6316250561292716, -0.07139314303825765]",2000,0,6944,7,recordings_within_one_previously_explored_physical_site
endpoint_minus_parent:past_rgb:constant,fixed_probability_guard,hard,0.003849400673197535,"[0.0, 0.009112981812133323]",2000,0,496,7,recordings_within_one_previously_explored_physical_site
endpoint_minus_parent:past_rgb:constant,fixed_probability_guard,moving,-0.060215946244476584,"[-0.3017919242376971, -0.0008332137776642447]",2000,0,3175,7,recordings_within_one_previously_explored_physical_site
endpoint_minus_parent:past_rgb:cosine,fixed_probability_guard,all,-0.06352571497632985,"[-0.2967986690481926, -0.009498035979529414]",2000,0,6944,7,recordings_within_one_previously_explored_physical_site
endpoint_minus_parent:past_rgb:cosine,fixed_probability_guard,hard,0.004558085146722093,"[0.0, 0.013908438977720457]",2000,0,496,7,recordings_within_one_previously_explored_physical_site
endpoint_minus_parent:past_rgb:cosine,fixed_probability_guard,moving,-0.03262805495031131,"[-0.19070609780213832, 0.008317004930840064]",2000,0,3175,7,recordings_within_one_previously_explored_physical_site
