arm,schedule,seed,step,ade,gain_percent,zero_native_harm,clip_fraction
mask_only,constant,17,2000,1144.4110201492172,-1.486138896515965,0.02406647606913587,
mask_only,constant,17,4000,1144.3587262367312,-1.4815014828835071,0.02563637444888895,
mask_only,constant,17,6000,1142.5433873713037,-1.32051759772569,0.025750606641499443,
mask_only,constant,17,10000,1146.0618151393742,-1.6325310639375257,0.043718000042972424,1.0
mask_only,cosine,17,2000,1144.4110201492172,-1.486138896515965,0.02406647606913587,
mask_only,cosine,17,4000,1140.5085153393275,-1.1400655555504624,0.01960432542189412,
mask_only,cosine,17,6000,1134.1515728048207,-0.5763331712450359,0.014682095616793196,
mask_only,cosine,17,10000,1125.57661964066,0.1840919492118287,0.01023673494827994,1.0
mask_only,constant,29,2000,1142.279032601156,-1.2970746699237035,0.021949232000088206,
mask_only,constant,29,4000,1144.2007042226942,-1.4674881224885805,0.02550261740564672,
mask_only,constant,29,6000,1142.6558238184991,-1.3304884392294936,0.026950520594495594,
mask_only,constant,29,10000,1142.3486305115357,-1.3032465986061004,0.04069639952171821,1.0
mask_only,cosine,29,2000,1142.279032601156,-1.2970746699237035,0.021949232000088206,
mask_only,cosine,29,4000,1143.9124682893985,-1.4419274179459096,0.024051952345621883,
mask_only,cosine,29,6000,1137.089454148077,-0.8368638973685227,0.02092370934730559,
mask_only,cosine,29,10000,1125.0612830482378,0.22979189449040538,0.012556645846907195,1.0
mask_only,constant,43,2000,1142.1978528858829,-1.2898756691147817,0.0214673232174508,
mask_only,constant,43,4000,1146.1965853803918,-1.64448246178166,0.028419812777931316,
mask_only,constant,43,6000,1142.081782986778,-1.2795826138270794,0.027279707120122478,
mask_only,constant,43,10000,1138.8008153715177,-0.9886270661656704,0.033773283602180994,1.0
mask_only,cosine,43,2000,1142.1978528858829,-1.2898756691147817,0.0214673232174508,
mask_only,cosine,43,4000,1139.3661860254797,-1.0387640219497118,0.01911174331404562,
mask_only,cosine,43,6000,1135.5535010780802,-0.7006558883090763,0.0156968225478284,
mask_only,cosine,43,10000,1125.9853225672935,0.1478482559500116,0.009530150106456855,1.0
past_rgb,constant,17,2000,1141.0656013940127,-1.1894678347383447,0.019029670229195158,
past_rgb,constant,17,4000,1141.1416803315706,-1.1962144996062518,0.02139835940448433,
past_rgb,constant,17,6000,1142.412305110825,-1.30889324925334,0.0259492800086505,
past_rgb,constant,17,10000,1137.152029962066,-0.8424131079565411,0.03694533034648371,1.0
past_rgb,cosine,17,2000,1141.0656013940127,-1.1894678347383447,0.019029670229195158,
past_rgb,cosine,17,4000,1144.13252145377,-1.4614416882656078,0.023890677848332615,
past_rgb,cosine,17,6000,1133.8137962093956,-0.5463792107572862,0.013288474977404183,
past_rgb,cosine,17,10000,1125.3537706437273,0.20385415340024027,0.010465025917212859,1.0
past_rgb,constant,29,2000,1144.1891811837518,-1.4664662617147606,0.024085956128689297,
past_rgb,constant,29,4000,1141.3240224677354,-1.2123845635358288,0.021418833236801715,
past_rgb,constant,29,6000,1145.5027096888284,-1.5829497051312424,0.03271546115676693,
past_rgb,constant,29,10000,1141.3310783812221,-1.2130102805234744,0.06363079244645513,1.0
past_rgb,cosine,29,2000,1144.1891811837518,-1.4664662617147606,0.024085956128689297,
past_rgb,cosine,29,4000,1138.1127022010037,-0.9276053287218922,0.01807654760610281,
past_rgb,cosine,29,6000,1138.2833845901378,-0.9427414086318642,0.021661348555272714,
past_rgb,cosine,29,10000,1123.977418683598,0.32590876816440684,0.01572297042675689,1.0
past_rgb,constant,43,2000,1150.8157561369385,-2.054109594631637,0.033852910172867116,
past_rgb,constant,43,4000,1142.1373259815432,-1.2845081554220261,0.02350498790843032,
past_rgb,constant,43,6000,1145.5841190819192,-1.5901690737227803,0.032271457709777865,
past_rgb,constant,43,10000,1139.3528000034232,-1.0375769522083633,0.03809311151402107,1.0
past_rgb,cosine,43,2000,1150.8157561369385,-2.054109594631637,0.033852910172867116,
past_rgb,cosine,43,4000,1139.7879608025091,-1.0761669242732808,0.01973026006014572,
past_rgb,cosine,43,6000,1136.865811285574,-0.8170312933411417,0.020546863473257366,
past_rgb,cosine,43,10000,1125.0579569128147,0.23008685551016983,0.011772168857368013,1.0
