arm,schedule,mode,seed,requested_rate,rows,ade,fde,cv_ade,gain_percent,native_pixel_ade,native_pixel_cv_ade,harm_over_cv,easy_rows,moving_rows,hard_rows,easy_absolute_harm,easy_pixel_harm,easy_percentage_degradation,easy_percentage_reason,moving_gain_percent,hard_gain_percent,actual_changed_rate,tail_ade95,tail_ade99,rows_helped,rows_harmed,binary_oracle_ade,binary_oracle_gain_percent,regret_to_binary_future_oracle,oracle_is_deployable
mask_only,parent_2k,uncontrolled,17,1.0,6944,791.6759818413741,1574.3132492858163,773.9476085867074,-2.290642552283395,0.7916760194439655,0.7739476453472461,17.728373254666806,3769,3175,496,25.559977323799437,0.025559978537833213,,zero_error_CV_denominator,-0.4981171172040666,-0.05765413829050825,1.0,2999.9270730917915,9114.788377776751,590,6354,773.5836701482478,0.047023653076982974,18.092311693126305,False
mask_only,parent_2k,fixed_probability_guard,17,0.0034562211981566822,6944,774.0270607681892,1565.009525687167,773.9476085867074,-0.010265834612099844,0.7740270975325019,0.7739476453472461,0.0794521814818519,3769,3175,496,0.09135204478891727,9.135204912790655e-05,,zero_error_CV_denominator,-0.0038593006094878035,-0.00159152178476063,0.0034562211981566822,2995.9352076779546,9109.718933300863,2,22,773.9469275532169,8.799477934084976e-05,0.08013321497226855,False
past_rgb,parent_2k,uncontrolled,17,1.0,6944,787.9632796440515,1579.32708674157,773.9476085867074,-1.810932794654918,0.7879633170702991,0.7739476453472461,14.015671057344171,3769,3175,496,20.01541014731147,0.02001541109799244,,zero_error_CV_denominator,-0.4072487722440732,-0.06061802596388777,1.0,3006.7675979384126,9119.242355358552,630,6314,773.5766142881795,0.04793532461523364,14.386665355872005,False
past_rgb,parent_2k,fixed_probability_guard,17,0.025921658986175114,6944,774.3593355228896,1565.366107923714,773.9476085867074,-0.05319829554537581,0.7743593723029845,0.7739476453472461,0.41172693618231987,3769,3175,496,0.5561413466835871,0.0005561413730988836,,zero_error_CV_denominator,-0.014196010965839001,-0.0017191123362181315,0.025921658986175114,2995.9352076779546,9109.718933300863,11,169,773.9421886684474,0.0007002952395973594,0.4171468544422302,False
mask_only,parent_2k,uncontrolled,29,1.0,6944,789.2391534437298,1580.069344222175,773.9476085867074,-1.9757855295846394,0.7892391909305781,0.7739476453472461,15.291544857022442,3769,3175,496,23.07051709414503,0.023070518189935794,,zero_error_CV_denominator,-0.357846351947666,-0.037907955555138706,1.0,3001.147974351605,9118.074820670887,905,6039,773.2565930077294,0.08928454217201898,15.982560436000444,False
mask_only,parent_2k,fixed_probability_guard,29,0.002304147465437788,6944,773.9901340486296,1565.0394289289325,773.9476085867074,-0.005494617652468392,0.7739901708111883,0.7739476453472461,0.04252546192226567,3769,3175,496,0.05160906320327265,5.160906565457162e-05,,zero_error_CV_denominator,-0.0018752655184473,0.0,0.002304147465437788,2995.9352076779546,9109.718933300863,1,15,773.9470217571543,7.58229040997982e-05,0.04311229147527812,False
past_rgb,parent_2k,uncontrolled,29,1.0,6944,791.7462558766919,1585.5028987906712,773.9476085867074,-2.2997224996258225,0.791746293482621,0.7739476453472461,17.79864728998452,3769,3175,496,25.468534671560604,0.025468535881251086,,zero_error_CV_denominator,-0.5136099528645355,-0.07148116706963137,1.0,2988.2543981052163,9111.549476007096,659,6285,773.4668474819733,0.06211804253932751,18.279408394718534,False
past_rgb,parent_2k,fixed_probability_guard,29,0.019585253456221197,6944,774.3525050949224,1565.4376899501538,773.9476085867074,-0.05231575157322865,0.7743525418746928,0.7739476453472461,0.40489650821500067,3769,3175,496,0.5637402894537575,0.0005637403162299845,,zero_error_CV_denominator,-0.01278055188098648,-0.0003199106838103205,0.019585253456221197,2995.9352076779546,9109.718933300863,8,128,773.9401712115503,0.0009609662300902322,0.41233388337222643,False
mask_only,parent_2k,uncontrolled,43,1.0,6944,789.191668350687,1575.9312579786642,773.9476085867074,-1.9696500893408686,0.7891917058352799,0.7739476453472461,15.244059763979614,3769,3175,496,22.09959041848745,0.022099591468161667,,zero_error_CV_denominator,-0.4198021599732593,-0.057284921175471126,1.0,2998.7011990213196,9115.27442482271,668,6276,773.5402838999789,0.05262949096415115,15.651384450708054,False
mask_only,parent_2k,fixed_probability_guard,43,0.002880184331797235,6944,773.9917283004681,1565.0011124824414,773.9476085867074,-0.005700607285463732,0.7739917650631024,0.7739476453472461,0.04411971376068175,3769,3175,496,0.01713140506574462,1.7131405879442698e-05,,zero_error_CV_denominator,-0.004499179016148602,-0.0026643722941699366,0.002880184331797235,2995.9352076779546,9109.718933300863,0,20,773.9476085867074,0.0,0.04411971376068175,False
past_rgb,parent_2k,uncontrolled,43,1.0,6944,798.1843079380037,1576.002386555535,773.9476085867074,-3.1315684785892195,0.7981843458497241,0.7739476453472461,24.236699351296387,3769,3175,496,35.546320988157014,0.03554632267651666,,zero_error_CV_denominator,-0.6386991114698537,-0.08543456765099933,1.0,3005.5077228991563,9125.08031074236,791,6153,772.9563242938567,0.12808157578789725,25.227983644146995,False
past_rgb,parent_2k,fixed_probability_guard,43,0.015120967741935484,6944,774.3372879198824,1565.196154811529,773.9476085867074,-0.050349575197561336,0.77433732469893,0.7739476453472461,0.38967933317511316,3769,3175,496,0.5526795752642604,0.0005526796015151316,,zero_error_CV_denominator,-0.011590065219913015,-0.005339096996026527,0.015120967741935484,2995.9352076779546,9109.718933300863,5,100,773.9427773931553,0.0006242274668721848,0.3945105267272201,False
past_rgb,constant,uncontrolled,17,1.0,6944,809.4088746479339,1636.809466841754,773.9476085867074,-4.581869065527799,0.8094089130927925,0.7739476453472461,35.461266061226496,3769,3175,496,54.461593915008365,0.054461596501795266,,zero_error_CV_denominator,-0.7624684811339266,-0.14047710587430373,1.0,2990.6109248030334,9110.03363466843,957,5987,771.5943118698018,0.3040640853200438,37.81456277813211,False
