group,subset,locality,indexed_rows,supported_rows,unknown_rows,floor_error_sum,oracle_gain_cost_sum,captured_gain_cost_sum,missed_gain_cost_sum,selected_harm_cost_sum,fallback_regression_cost_sum,fallback_relief_cost_sum,original_gain_cost_sum,rebased_gain_cost_sum,rebase_advantage_cost_sum,signed_oracle_deficit_cost_sum,union_oracle_gain_cost_sum,missed_source_support_abstain_cost_sum,missed_no_observed_motion_cost_sum,missed_nonpositive_utility_cost_sum,missed_zero_event_mass_cost_sum,missed_risk_veto_cost_sum,oracle_gain_pp,captured_gain_pp,missed_gain_pp,selected_harm_pp,fallback_regression_pp,fallback_relief_pp,original_gain_pp,rebased_gain_pp,rebase_advantage_pp,signed_oracle_deficit_pp,union_oracle_gain_pp,missed_source_support_abstain_pp,missed_no_observed_motion_pp,missed_nonpositive_utility_pp,missed_zero_event_mass_pp,missed_risk_veto_pp
fold2_seed17_all,all,eu-locality-007,5664,5526,138,71792.56478605507,14236.11331850398,551.0274461347419,13685.085872369236,400.2992355599757,4147.266600602553,383.1024069656269,-3613.4359830621597,150.72821057476622,3764.1641936369256,17849.549301566134,14489.486635904965,0.0,0.0,5620.150669440348,0.0,8064.9352029288875,19.82950931050898,0.7675271774686242,19.061982133040352,0.5575775663578598,5.776735533772314,0.5336240711099939,-5.033161851551556,0.20994961111076443,5.243111462662321,24.86267116206053,20.18243348609185,0.0,0.0,7.828318553862282,0.0,11.233663579178069
fold2_seed17_all,all,eu-locality-074,104353,102348,2005,1937206.3405886516,424998.31332895375,18580.41645269199,406417.89687626174,9501.435501012016,85819.14889358074,11126.194804678402,-65613.97313722236,9078.980951679976,74692.95408890233,490612.28646617616,431369.3058870962,0.0,0.0,93611.6872326867,0.0,312806.2096435751,21.938721984556953,0.9591346086058147,20.979587375951137,0.4904710098215377,4.430046871904373,0.5743422665701954,-3.3870410065499006,0.4686635987842772,3.8557046053341777,25.325762991106856,22.267597253270278,0.0,0.0,4.832303367551506,0.0,16.147284008399634
fold2_seed17_all,all,eu-locality-082,1448,1368,80,18304.537177574348,4136.1905248755165,118.29613602437595,4017.8943888511403,66.49823686446778,448.293857016493,47.075648557281795,-349.4203092993031,51.79789915990817,401.2182084592112,4485.61083417482,4158.334567687351,0.0,0.0,1974.4852205546238,0.0,2043.4091682965172,22.59653158531064,0.6462667418289356,21.950264843481705,0.36328827229752386,2.4490859980099167,0.25718021767278626,-1.9089273108057194,0.28297846953141176,2.1919057803371307,24.505458896116366,22.717507289842327,0.0,0.0,10.786862303044996,0.0,11.163402540436712
fold2_seed17_all,all,eu-locality-110,8660,8550,110,252943.25205230393,65991.05227589696,2936.0626706329817,63054.98960526398,530.2016876176017,9151.10713238353,415.9136674578127,-6329.332481910338,2405.8609830153796,8735.193464925718,72320.38475780729,66306.822248991,0.0,0.0,7404.306780408489,0.0,55650.682824855496,26.089271700456845,1.160759437862315,24.928512262594534,0.20961290064696644,3.6178498766558325,0.16442963553414328,-2.5022737039063414,0.9511465372153484,3.45342024112169,28.591545404363185,26.21410996774881,0.0,0.0,2.9272600554994908,0.0,22.001252207095042
fold2_seed17_all,all,eu-locality-112,5131,5004,127,119788.45728408691,33445.92494287476,250.9481282175989,33194.97681465715,83.84774831649233,3889.9043280413402,267.0161065308648,-3455.787841609369,167.10037990110658,3622.8882215104754,36901.712784484116,33604.34769237173,0.0,0.0,4711.269397340238,0.0,28483.707417316913,27.92082451112577,0.20949274571794296,27.71133176540782,0.06999651737532722,3.2473114824545686,0.2229063739402011,-2.8849088801717517,0.1394962283426157,3.0244051085143675,30.80573339129751,28.0530766104422,0.0,0.0,3.9329911279908427,0.0,23.778340637416974
fold2_seed17_all,all,eu-locality-119,5787,5639,148,159391.05681902144,29234.122986520262,496.3550098400359,28737.76797668023,287.3450589626605,4133.977208701492,565.2379698855552,-3359.729287938561,209.00995087737542,3568.7392388159365,32593.852274458826,29563.778635190036,0.0,0.0,3744.2023966193265,0.0,24993.565580060902,18.341131284243744,0.3114070636997005,18.029724220544047,0.18027677631181205,2.593606750092236,0.35462339052519587,-2.107853072179152,0.13113028738788846,2.2389833595670403,20.448984356422898,18.54795320716008,0.0,0.0,2.3490667991935292,0.0,15.680657421350515
fold2_seed17_all,all,eu-locality-124,3651,3550,101,148019.91649551736,29154.40432899131,726.0916781738554,28428.312650817454,128.03605971405278,3270.9715160718433,279.91369037680295,-2393.0022072352376,598.0556184598024,2991.0578256950403,31547.406536226546,29373.831329399647,0.0,0.0,7474.733370355911,0.0,20953.57928046154,19.696271298649343,0.49053647331022804,19.205734825339114,0.08649921088013196,2.2098185119371427,0.18910542378618345,-1.6166758257208633,0.40403726243009597,2.0207130881509596,21.312947124370204,19.844512836412257,0.0,0.0,5.049815962152819,0.0,14.155918863186292
fold2_seed17_all,all,eu-locality-126,5891,5790,101,109976.90509935723,23481.85249138525,783.669660599122,22698.18283078613,494.9583241552135,4964.133863929539,392.6157966433162,-4282.806730842314,288.7113364439085,4571.518067286223,27764.659222227565,23764.181729669697,0.0,0.0,2920.6797829852703,0.0,19777.503047800856,21.351621479228633,0.7125765722277105,20.639044907000923,0.4500566038915622,4.513796655256625,0.3569984046092336,-3.8942782823112427,0.2625199683361483,4.156798250647392,25.245899761539878,21.608338321759692,0.0,0.0,2.6557210173778025,0.0,17.98332388962312
fold2_seed17_all,easy,eu-locality-007,1784,1784,0,2444.8164311207124,440.8420463830698,71.67822243996693,369.16382394310284,76.04685372413427,81.47985611939897,23.602098212815818,-62.24638919075048,-4.368631284167325,57.877757906583156,503.0884355738202,462.07643267680595,0.0,0.0,184.90883122176155,0.0,184.25499272134124,18.031703352917432,2.9318447605127305,15.0998585924047,3.110534302539603,3.3327596739869882,0.9653934713616323,-2.546055744652228,-0.1786895420268723,2.3673662026253557,20.577759097569658,18.9002506198385,0.0,0.0,7.563301230636719,0.0,7.536557361767979
fold2_seed17_all,easy,eu-locality-074,17176,17176,0,33952.55105012708,6677.145474418592,1451.6702019477902,5225.475272470801,895.3983750836628,1511.09890397657,852.643338728074,-102.18373838436827,556.2718268641277,658.4555652484959,6779.329212802961,7362.2640640897025,0.0,0.0,1629.9275317714555,0.0,3595.5477406993464,19.66610834208171,4.275585065182774,15.390523276898934,2.6372050034228915,4.450619636049157,2.511279159758108,-0.3009604145311662,1.6383800617598825,1.9393404762910484,19.967068756612875,21.683979071911732,0.0,0.0,4.800604023435685,0.0,10.58991925346325
