view,locality,slice,rows,positive_rows,probability_mean,positive_rate,brier,ece,positive_fraction_mse
neural_fold0_seed17_all_product_mse,eu-locality-007,population,5526,1702,0.32660558819770813,0.3079985522982266,0.2224968522787094,0.09845479243137331,0.031100546501591955
neural_fold0_seed17_all_product_mse,eu-locality-007,selected,715,154,0.3045472204685211,0.2153846153846154,0.17732064425945282,0.09418855566870084,0.02759961318734523
neural_fold0_seed17_all_product_mse,eu-locality-008,population,157961,45013,0.3138333857059479,0.2849627439684479,0.22391128540039062,0.14528287755664837,0.024710062148106306
neural_fold0_seed17_all_product_mse,eu-locality-008,selected,25446,3955,0.30400222539901733,0.15542717912442033,0.1555677205324173,0.14952106163043893,0.026125528081112362
neural_fold0_seed17_all_product_mse,eu-locality-020,population,1225,546,0.32170939445495605,0.44571428571428573,0.28110599517822266,0.18987203557576451,0.025641794750472076
neural_fold0_seed17_all_product_mse,eu-locality-020,selected,118,8,0.24838007986545563,0.06779661016949153,0.09952035546302795,0.1805834674229056,0.04436956264331035
neural_fold0_seed17_all_product_mse,eu-locality-048,population,8058,2807,0.3028697371482849,0.348349466368826,0.24402251839637756,0.12185502783126054,0.023009533810142962
neural_fold0_seed17_all_product_mse,eu-locality-048,selected,1193,188,0.31116557121276855,0.15758591785414922,0.1599421352148056,0.15941161346955152,0.022353010702722675
neural_fold0_seed17_all_product_mse,eu-locality-067,population,6903,2457,0.2926161587238312,0.3559322033898305,0.241133913397789,0.09948840443766431,0.023437116626340654
neural_fold0_seed17_all_product_mse,eu-locality-067,selected,712,159,0.3023068606853485,0.22331460674157302,0.18239717185497284,0.09102922510564998,0.027037470810630376
neural_fold0_seed17_all_product_mse,eu-locality-110,population,8550,1255,0.3213789463043213,0.14678362573099416,0.1625545620918274,0.1777269833373745,0.02697823752481579
neural_fold0_seed17_all_product_mse,eu-locality-110,selected,1559,205,0.31976795196533203,0.13149454778704298,0.1507968306541443,0.188273398350205,0.02803105201963799
neural_fold0_seed17_all_product_mse,eu-locality-119,population,5639,1665,0.31483733654022217,0.29526511792871074,0.22124511003494263,0.11684911474678021,0.02662587050768543
neural_fold0_seed17_all_product_mse,eu-locality-119,selected,701,108,0.32167744636535645,0.15406562054208273,0.16205254197120667,0.16783283495167522,0.023415024122948398
neural_fold0_seed17_all_product_mse,eu-locality-124,population,3550,831,0.3166736960411072,0.23408450704225353,0.19693812727928162,0.1201638851409227,0.033014315551880294
neural_fold0_seed17_all_product_mse,eu-locality-124,selected,472,61,0.29038116335868835,0.1292372881355932,0.14099326729774475,0.1611438496590797,0.0218947518836267
neural_fold0_seed17_all_hurdle,eu-locality-007,population,5526,1702,0.24966727197170258,0.3079985522982266,0.2083478718996048,0.07131923760219713,0.01826541409675419
neural_fold0_seed17_all_hurdle,eu-locality-007,selected,1278,281,0.18791446089744568,0.21987480438184664,0.17485404014587402,0.06989913712458247,0.019234502657943853
neural_fold0_seed17_all_hurdle,eu-locality-008,population,157961,45013,0.26269423961639404,0.2849627439684479,0.17140881717205048,0.06538061628062158,0.019927934243144353
neural_fold0_seed17_all_hurdle,eu-locality-008,selected,39606,5256,0.19350901246070862,0.1327071655809726,0.120176762342453,0.06470738868310685,0.017774974370944236
neural_fold0_seed17_all_hurdle,eu-locality-020,population,1225,546,0.35947006940841675,0.44571428571428573,0.19035670161247253,0.09504426858863055,0.020662913821841593
neural_fold0_seed17_all_hurdle,eu-locality-020,selected,217,17,0.21243278682231903,0.07834101382488479,0.10209418088197708,0.13409178219907295,0.013418897473091019
neural_fold0_seed17_all_hurdle,eu-locality-048,population,8058,2807,0.3001070022583008,0.348349466368826,0.20229880511760712,0.050421421802363475,0.018524699384299615
neural_fold0_seed17_all_hurdle,eu-locality-048,selected,1693,232,0.22137956321239471,0.13703484937979918,0.12836644053459167,0.08672424052427735,0.0165226376436653
neural_fold0_seed17_all_hurdle,eu-locality-067,population,6903,2457,0.2787507474422455,0.3559322033898305,0.21900440752506256,0.08255687913250685,0.01889503341457808
neural_fold0_seed17_all_hurdle,eu-locality-067,selected,1241,257,0.20860950648784637,0.20709105560032232,0.16700418293476105,0.03250094557197511,0.01786345322418145
neural_fold0_seed17_all_hurdle,eu-locality-110,population,8550,1255,0.2599627673625946,0.14678362573099416,0.1351320892572403,0.11317914767572056,0.01870033333275588
neural_fold0_seed17_all_hurdle,eu-locality-110,selected,2677,289,0.21567076444625854,0.10795666791184161,0.1111065223813057,0.10781405344855931,0.019033023606384616
neural_fold0_seed17_all_hurdle,eu-locality-119,population,5639,1665,0.2886323630809784,0.29526511792871074,0.19490869343280792,0.04301510198696811,0.02448292630274805
neural_fold0_seed17_all_hurdle,eu-locality-119,selected,1145,163,0.22752727568149567,0.1423580786026201,0.1294274479150772,0.09290120951733734,0.017715945231247417
neural_fold0_seed17_all_hurdle,eu-locality-124,population,3550,831,0.31453198194503784,0.23408450704225353,0.16156494617462158,0.08289529441527917,0.019767677314584373
neural_fold0_seed17_all_hurdle,eu-locality-124,selected,824,94,0.2154282182455063,0.11407766990291263,0.11324373632669449,0.10135056011523437,0.014045132892216141
neural_fold0_seed17_easy_product_mse,eu-locality-007,population,5526,479,0.025271227583289146,0.08668114368440101,0.08278320729732513,0.0627480207474237,0.020991910000495693
neural_fold0_seed17_easy_product_mse,eu-locality-007,selected,1887,174,0.018576916307210922,0.09220985691573927,0.08835858106613159,0.07363294148704141,0.020486105693980412
neural_fold0_seed17_easy_product_mse,eu-locality-008,population,157961,8142,0.02898779697716236,0.05154436854666658,0.05022241547703743,0.030494118399282306,0.027285296484322385
neural_fold0_seed17_easy_product_mse,eu-locality-008,selected,50167,3392,0.017277797684073448,0.0676141686766201,0.06487363576889038,0.05033637166263032,0.028648305004542667
neural_fold0_seed17_easy_product_mse,eu-locality-020,population,1225,197,0.03413071483373642,0.16081632653061226,0.14872217178344727,0.1268620989699753,0.023559151613057827
neural_fold0_seed17_easy_product_mse,eu-locality-020,selected,265,21,0.008551651611924171,0.07924528301886792,0.07826448976993561,0.07069363140694375,0.015221583315289652
neural_fold0_seed17_easy_product_mse,eu-locality-048,population,8058,397,0.026011766865849495,0.04926780838917846,0.04773379862308502,0.02775091189335404,0.022121059866864794
neural_fold0_seed17_easy_product_mse,eu-locality-048,selected,2374,145,0.01863953284919262,0.061078348778433024,0.05880742520093918,0.04364684613291315,0.028193665587008667
neural_fold0_seed17_easy_product_mse,eu-locality-067,population,6903,385,0.02358897775411606,0.055772852383021876,0.053027234971523285,0.033562981999960474,0.020329076668948433
neural_fold0_seed17_easy_product_mse,eu-locality-067,selected,1960,148,0.015421180054545403,0.07551020408163266,0.07152465730905533,0.06008902366976348,0.01651196619982809
neural_fold0_seed17_easy_product_mse,eu-locality-110,population,8550,308,0.02866853028535843,0.0360233918128655,0.03534092381596565,0.013571510095563203,0.025700085450105756
neural_fold0_seed17_easy_product_mse,eu-locality-110,selected,3369,165,0.020835164934396744,0.048975957257346395,0.04680439829826355,0.02814079187290716,0.023804185764084128
neural_fold0_seed17_easy_product_mse,eu-locality-119,population,5639,289,0.02482607774436474,0.05125022167050895,0.04935604706406593,0.027927900921328096,0.0185574736900945
