view,locality,slice,rows,reference_pred,harm_pred,reference_actual,harm_actual
neural_fold0_seed17_all_old,eu-locality-007,population,5526,18.45781020209506,1.7980047361682554,13.731098649130544,1.3636854239269718
neural_fold0_seed17_all_old,eu-locality-007,selected,21,17.63916792188372,0.20393093320585431,14.256002670648074,0.10753771211001178
neural_fold0_seed17_all_old,eu-locality-008,population,157961,27.00454736763801,1.7415539880978232,18.214515006924312,3.6625030508698213
neural_fold0_seed17_all_old,eu-locality-008,selected,1810,22.414733836713417,0.36061191369846296,23.506962566998617,6.273379737167988
neural_fold0_seed17_all_old,eu-locality-020,population,1225,16.699923100748233,2.4346621082936015,6.529874789510041,3.4185153079410417
neural_fold0_seed17_all_old,eu-locality-020,selected,3,41.722686449686684,0.32386187960704166,15.080771015899549,0.0
neural_fold0_seed17_all_old,eu-locality-048,population,8058,32.924105006735424,2.3141741068773922,26.698045849916557,4.41455534858953
neural_fold0_seed17_all_old,eu-locality-048,selected,36,23.987153934107887,0.39292253077858025,22.575730865237343,2.323213046204233
neural_fold0_seed17_all_old,eu-locality-067,population,6903,25.40286910121387,1.9772762817595229,29.01155393353873,3.00909479815102
neural_fold0_seed17_all_old,eu-locality-067,selected,42,21.573003138814652,0.26370632524291676,25.59632712137441,1.2689779323861976
neural_fold0_seed17_all_old,eu-locality-110,population,8550,25.03203291959233,1.8479452939834773,30.697946977148565,0.9645959440405419
neural_fold0_seed17_all_old,eu-locality-110,selected,12,21.843880256017048,0.24982728529721498,20.817277896343732,0.0
neural_fold0_seed17_all_old,eu-locality-119,population,5639,25.87022781691551,1.959780539288036,28.9468800380438,2.1602982466551466
neural_fold0_seed17_all_old,eu-locality-119,selected,2,22.116127014160156,0.21162310242652893,6.807875793114512,1.6015078731472072
neural_fold0_seed17_all_old,eu-locality-124,population,3550,28.12827344378955,2.7242336376315692,42.61348194213386,2.665158446331483
neural_fold0_seed17_all_old,eu-locality-124,selected,7,16.404944317681448,0.11734496429562569,12.63304846124097,0.0
neural_fold0_seed17_all_envelope,eu-locality-007,population,5526,18.335390090942383,1.5087109804153442,13.731098649130544,1.3636854239269718
neural_fold0_seed17_all_envelope,eu-locality-007,selected,673,10.99130630493164,0.10680191963911057,4.565542882040805,0.06914201507451567
neural_fold0_seed17_all_envelope,eu-locality-008,population,157961,26.62626838684082,2.5472350120544434,18.214515006924312,3.6625030508698213
