head,step,loss,moment_mse,bce,conditional_mse,positive_rows,gradient_norm
neural_fold0_seed17_all_product_mse,1,1.0295194387435913,1.0295194387435913,0.5582010746002197,0.017353065311908722,63,0.231768399477005
neural_fold0_seed17_all_product_mse,100,0.7500767707824707,0.7500767707824707,0.5951247215270996,0.021409079432487488,70,0.377033531665802
neural_fold0_seed17_all_product_mse,200,0.9518465995788574,0.9518465995788574,0.6132526397705078,0.020573357120156288,72,0.6388108730316162
neural_fold0_seed17_all_product_mse,400,0.852543830871582,0.852543830871582,0.5608447790145874,0.023264598101377487,61,0.6960111856460571
neural_fold0_seed17_all_product_mse,600,0.9900559186935425,0.9900559186935425,0.6224915981292725,0.02457430772483349,70,0.8820579051971436
neural_fold0_seed17_all_product_mse,800,0.6275953054428101,0.6275953054428101,0.6046872138977051,0.023609062656760216,70,1.3606560230255127
neural_fold0_seed17_all_product_mse,1000,0.8220449686050415,0.8220449686050415,0.5763582587242126,0.03261124715209007,57,1.344182014465332
neural_fold0_seed17_all_product_mse,1200,1.2104287147521973,1.2104287147521973,0.6183255314826965,0.020933128893375397,72,1.8703372478485107
neural_fold0_seed17_all_product_mse,1400,1.1754627227783203,1.1754627227783203,0.6068373322486877,0.02811047062277794,66,1.4968315362930298
neural_fold0_seed17_all_product_mse,1600,0.795602560043335,0.795602560043335,0.5341081619262695,0.027120349928736687,47,1.5124125480651855
neural_fold0_seed17_all_product_mse,1800,0.8090298175811768,0.8090298175811768,0.6114149689674377,0.02504887990653515,70,2.0076663494110107
neural_fold0_seed17_all_product_mse,2000,0.47799643874168396,0.47799643874168396,0.6167343854904175,0.0363805778324604,70,2.860836982727051
neural_fold0_seed17_all_hurdle,1,1.6050735712051392,1.0295194387435913,0.5582010746002197,0.017353065311908722,63,0.25654006004333496
neural_fold0_seed17_all_hurdle,200,1.539560317993164,0.9468008279800415,0.572068452835083,0.020691020414233208,72,0.8471731543540955
neural_fold0_seed17_all_hurdle,400,1.4190237522125244,0.8605494499206543,0.5382856130599976,0.0201887059956789,61,0.6626949906349182
neural_fold0_seed17_all_hurdle,600,1.5696723461151123,1.0157791376113892,0.5353683233261108,0.018524933606386185,70,0.8910486102104187
neural_fold0_seed17_all_hurdle,800,1.2228927612304688,0.6585754156112671,0.5448042154312134,0.019513113424181938,70,1.5258201360702515
neural_fold0_seed17_all_hurdle,1000,1.3180822134017944,0.8191636800765991,0.47442686557769775,0.024491695687174797,57,1.3008798360824585
neural_fold0_seed17_all_hurdle,1200,1.7839939594268799,1.2142841815948486,0.5510259866714478,0.01868383213877678,72,2.053380012512207
neural_fold0_seed17_all_hurdle,1400,1.7531825304031372,1.1842432022094727,0.5502034425735474,0.01873588375747204,66,1.4871494770050049
neural_fold0_seed17_all_hurdle,1600,1.260955810546875,0.7955431938171387,0.4476677477359772,0.017744848504662514,47,1.9298009872436523
neural_fold0_seed17_all_hurdle,1800,1.3894574642181396,0.8347041606903076,0.535758376121521,0.018994973972439766,70,1.9585161209106445
neural_fold0_seed17_all_hurdle,2000,1.0018463134765625,0.4530080556869507,0.5239818096160889,0.02485646866261959,70,2.5166049003601074
neural_fold0_seed17_easy_product_mse,1,0.005193259101361036,0.005193259101361036,0.2953851521015167,0.021758554503321648,22,0.007243962027132511
neural_fold0_seed17_easy_product_mse,200,0.0027421375270932913,0.0027421375270932913,0.3460484445095062,0.026181509718298912,24,0.0008623533649370074
neural_fold0_seed17_easy_product_mse,400,0.0029002544470131397,0.0029002544470131397,0.19048497080802917,0.02166440337896347,13,0.0026437495835125446
