tag,arm,seed,pair,parameters,fitting_prior,start_BCE,end_BCE,start_Brier,end_Brier,fit_seconds
fold0_seed17_controller1_full_eu-locality-007,linear,17,full,400,0.02885391366822665,0.08421939611434937,0.05878641456365585,0.015555864199995995,0.010503601282835007,0.5513980000105221
fold0_seed17_controller1_full_eu-locality-007,mlp,17,full,12833,0.02885391366822665,0.08421939611434937,0.03909589350223541,0.015555864199995995,0.007959313690662384,1.1739946670131758
fold0_seed17_controller1_full_eu-locality-110,linear,17,full,400,0.030428088791961946,0.1525936871767044,0.1003718450665474,0.03394263982772827,0.023050086572766304,0.5297150000114925
fold0_seed17_controller1_full_eu-locality-110,mlp,17,full,12833,0.030428088791961946,0.1525936871767044,0.06144717335700989,0.03394263982772827,0.015191975980997086,1.0910045829950832
fold0_seed17_controller1_full_eu-locality-119,linear,17,full,400,0.030279895574717084,0.13907673954963684,0.08590102940797806,0.03027437999844551,0.019185137003660202,0.5284181669994723
fold0_seed17_controller1_full_eu-locality-119,mlp,17,full,12833,0.030279895574717084,0.13907673954963684,0.04998531565070152,0.03027437999844551,0.011522842571139336,1.2144924580061343
fold0_seed17_controller1_full_eu-locality-124,linear,17,full,400,0.030304306631320648,0.16615155339241028,0.10707902163267136,0.037613317370414734,0.024756740778684616,0.5431107920012437
fold0_seed17_controller1_full_eu-locality-124,mlp,17,full,12833,0.030304306631320648,0.16615155339241028,0.08263461291790009,0.037613317370414734,0.019172698259353638,1.1512982910207938
fold0_seed17_controller1_motion_only_eu-locality-007,linear,17,motion_only,400,0.009365828313438618,0.06403425335884094,0.050410643219947815,0.011586960405111313,0.01121353730559349,0.5208700410148595
fold0_seed17_controller1_motion_only_eu-locality-007,mlp,17,motion_only,12833,0.009365828313438618,0.06403425335884094,0.03015175461769104,0.011586960405111313,0.00908701028674841,1.1246124589815736
