group,arm,metric,subset,locality,rows,model_error,reference_error,gain_percent,model_p95,model_p99,reference_p95
fold0_seed17_all,cv_targets,ADE_vs_floor,all,eu-locality-007,5526,12.755380725239554,12.998749893517914,1.8722505646463827,44.01737296753018,76.43866311332394,44.69396378264957
fold0_seed17_all,cv_targets,ADE_vs_floor,all,eu-locality-008,157961,17.03020019048479,17.303502959581245,1.5794649773219538,60.47600668276589,125.7822871150029,60.82730143640867
fold0_seed17_all,cv_targets,ADE_vs_floor,all,eu-locality-020,1225,6.401440435632765,6.460669011065831,0.9167560717259882,20.649557710350873,41.37090371937323,20.649557710350873
fold0_seed17_all,cv_targets,ADE_vs_floor,all,eu-locality-048,8058,24.72367001549914,25.082751984396175,1.4315892016969256,83.94136277256709,149.41133462060048,84.85689966796488
fold0_seed17_all,cv_targets,ADE_vs_floor,all,eu-locality-067,6903,26.942150665905707,27.473980855213558,1.9357594813455226,88.67424623165155,162.58933051821012,89.90024111755464
fold0_seed17_all,cv_targets,ADE_vs_floor,all,eu-locality-110,8550,28.557718303883455,29.184410036686135,2.1473510412405084,116.08119632478927,259.4775540469538,117.65654632538362
fold0_seed17_all,cv_targets,ADE_vs_floor,all,eu-locality-119,5639,27.448555144810758,27.693468006462755,0.8843705006351787,107.95460835433143,193.66511978163072,108.26550475649688
fold0_seed17_all,cv_targets,ADE_vs_floor,all,eu-locality-124,3550,40.73479255902794,41.336761474640035,1.45625562849524,179.88453937909637,333.55000293878123,182.70620705979104
fold0_seed17_all,cv_targets,ADE_vs_floor,easy,eu-locality-007,2133,1.7499761829262321,1.8210563728148919,3.9032394026763617,4.182286910204136,5.0339673780807646,4.2311151932019575
fold0_seed17_all,cv_targets,ADE_vs_floor,easy,eu-locality-008,52276,2.08216596516232,2.243474684041627,7.190128777772009,4.148048346768281,4.742498398536886,4.269071060482178
fold0_seed17_all,cv_targets,ADE_vs_floor,easy,eu-locality-020,695,1.6778977699686601,1.7101917213970081,1.888323456622043,4.357367994839923,5.7825627855333055,4.357367994839923
fold0_seed17_all,cv_targets,ADE_vs_floor,easy,eu-locality-048,2050,2.0401735468035533,2.1840235094452143,6.5864658516520125,4.20522951825061,4.736245738340397,4.273239862021251
fold0_seed17_all,cv_targets,ADE_vs_floor,easy,eu-locality-067,1508,2.003384938078084,2.076673680960981,3.529141027538929,4.333274063846627,4.924702261791965,4.337334773667172
fold0_seed17_all,cv_targets,ADE_vs_floor,easy,eu-locality-110,2579,2.0113020770377648,2.212546150862493,9.095587621812061,3.9370268185757133,4.5694477671651335,4.203897765463916
fold0_seed17_all,cv_targets,ADE_vs_floor,easy,eu-locality-119,1658,2.0998246393782436,2.2621994372146363,7.177740174682334,4.14544067079624,5.769516908245919,4.2431739893407645
fold0_seed17_all,cv_targets,ADE_vs_floor,easy,eu-locality-124,1006,2.246145516816542,2.4456720345281817,8.158351360881976,4.154128377050374,4.74090412080723,4.329926845566553
fold0_seed17_all,cv_targets,ADE_vs_floor,hard,eu-locality-007,1023,38.3430859046448,39.283650537447414,2.394290296178081,78.11265794064077,106.93881724198937,79.09141428093004
fold0_seed17_all,cv_targets,ADE_vs_floor,hard,eu-locality-008,36762,49.14862166402566,49.67934706095792,1.0683018765948127,118.32107868295226,202.96115490880973,119.81834598524577
fold0_seed17_all,cv_targets,ADE_vs_floor,hard,eu-locality-020,47,36.92354931828993,36.92354931828993,0.0,60.52355224102176,69.16719818649797,60.52355224102176
fold0_seed17_all,cv_targets,ADE_vs_floor,hard,eu-locality-048,2992,53.081171740201036,53.79400194701122,1.3251109436184794,121.29591623793371,202.79147183299347,122.89008001800354
fold0_seed17_all,cv_targets,ADE_vs_floor,hard,eu-locality-067,2806,53.759134784738364,54.942139471109705,2.153182780574825,126.95459144935597,198.92434816893777,127.36920960317892
fold0_seed17_all,cv_targets,ADE_vs_floor,hard,eu-locality-110,2743,74.85524665037725,76.04522269430853,1.5648268251048814,213.07449859058045,380.35594110435846,216.8962323298005
fold0_seed17_all,cv_targets,ADE_vs_floor,hard,eu-locality-119,1895,67.37029470407157,67.71537477576916,0.5096037241767992,172.71391239328824,273.9914452410256,172.71391239328824
fold0_seed17_all,cv_targets,ADE_vs_floor,hard,eu-locality-124,1362,94.91873220556235,96.03557865616965,1.1629507170523468,269.89921469355284,425.3661839279669,274.4684238324386
fold0_seed17_all,cv_targets,ADE_vs_floor,complete,eu-locality-007,2882,12.595290690501598,12.95033412406958,2.741577399984574,44.91962912730921,76.86890219592341,46.10523368271999
fold0_seed17_all,cv_targets,ADE_vs_floor,complete,eu-locality-008,97352,15.297849561246625,15.598074340476671,1.9247554068323014,55.76310541519245,113.95476065838794,55.9653275069082
fold0_seed17_all,cv_targets,ADE_vs_floor,complete,eu-locality-020,364,6.78770099102028,6.881655112725387,1.3652837895257064,22.682718227503177,49.70629992513765,22.682718227503177
fold0_seed17_all,cv_targets,ADE_vs_floor,complete,eu-locality-048,4716,24.360682398423904,24.739928821563144,1.532932555604971,86.39052269449988,150.53843627794993,87.71462321552522
fold0_seed17_all,cv_targets,ADE_vs_floor,complete,eu-locality-067,3417,27.446390166757865,28.20240894987635,2.680688676141618,87.00755418912514,159.2669354365236,87.81611306924334
