model,dataset,subset,horizon,FDE,baseline_FDE,improvement,ADE,episodes,alpha,intervention,residual,physical_validity
per_agent_no_scene,eth_ucy_ewap,all,10,3.678802,3.678802,0.0,2.544834,160,0.0,0.0,0.307675,0.946116
per_agent_no_scene,eth_ucy_ewap,all,25,4.360079,4.360079,0.0,3.572197,160,0.0,0.0,0.307675,0.968713
per_agent_no_scene,eth_ucy_ewap,all,50,4.884364,4.884364,0.0,4.164947,160,0.0,0.0,0.307675,0.984239
per_agent_no_scene,eth_ucy_ewap,all,100,5.460224,5.460224,0.0,4.692049,160,0.0,0.0,0.307675,0.992403
per_agent_no_scene,eth_ucy_ewap,hard,1,0.618865,0.618865,0.0,0.618865,160,0.0,0.0,0.307675,1.0
per_agent_no_scene,eth_ucy_ewap,hard,5,2.51635,2.51635,0.0,1.701286,160,0.0,0.0,0.307675,0.936875
per_agent_no_scene,eth_ucy_ewap,hard,10,3.678802,3.678802,0.0,2.544834,160,0.0,0.0,0.307675,0.946116
per_agent_no_scene,eth_ucy_ewap,hard,25,4.360079,4.360079,0.0,3.572197,160,0.0,0.0,0.307675,0.968713
per_agent_no_scene,eth_ucy_ewap,hard,50,4.884364,4.884364,0.0,4.164947,160,0.0,0.0,0.307675,0.984239
per_agent_no_scene,eth_ucy_ewap,hard,100,5.460224,5.460224,0.0,4.692049,160,0.0,0.0,0.307675,0.992403
per_agent_no_scene,eth_ucy_ewap,baseline_failure,1,0.618865,0.618865,0.0,0.618865,160,0.0,0.0,0.307675,1.0
per_agent_no_scene,eth_ucy_ewap,baseline_failure,5,2.51635,2.51635,0.0,1.701286,160,0.0,0.0,0.307675,0.936875
per_agent_no_scene,eth_ucy_ewap,baseline_failure,10,3.678802,3.678802,0.0,2.544834,160,0.0,0.0,0.307675,0.946116
per_agent_no_scene,eth_ucy_ewap,baseline_failure,25,4.360079,4.360079,0.0,3.572197,160,0.0,0.0,0.307675,0.968713
per_agent_no_scene,eth_ucy_ewap,baseline_failure,50,4.884364,4.884364,0.0,4.164947,160,0.0,0.0,0.307675,0.984239
per_agent_no_scene,eth_ucy_ewap,baseline_failure,100,5.460224,5.460224,0.0,4.692049,160,0.0,0.0,0.307675,0.992403
per_agent_no_scene,eth_ucy_ewap,goalbench_official,1,0.618865,0.618865,0.0,0.618865,160,0.0,0.0,0.307675,1.0
per_agent_no_scene,eth_ucy_ewap,goalbench_official,5,2.51635,2.51635,0.0,1.701286,160,0.0,0.0,0.307675,0.936875
per_agent_no_scene,eth_ucy_ewap,goalbench_official,10,3.678802,3.678802,0.0,2.544834,160,0.0,0.0,0.307675,0.946116
per_agent_no_scene,eth_ucy_ewap,goalbench_official,25,4.360079,4.360079,0.0,3.572197,160,0.0,0.0,0.307675,0.968713
per_agent_no_scene,eth_ucy_ewap,goalbench_official,50,4.884364,4.884364,0.0,4.164947,160,0.0,0.0,0.307675,0.984239
per_agent_no_scene,eth_ucy_ewap,goalbench_official,100,5.460224,5.460224,0.0,4.692049,160,0.0,0.0,0.307675,0.992403
per_agent_no_scene,eth_ucy_ewap,silver,1,0.618865,0.618865,0.0,0.618865,160,0.0,0.0,0.307675,1.0
per_agent_no_scene,eth_ucy_ewap,silver,5,2.51635,2.51635,0.0,1.701286,160,0.0,0.0,0.307675,0.936875
per_agent_no_scene,eth_ucy_ewap,silver,10,3.678802,3.678802,0.0,2.544834,160,0.0,0.0,0.307675,0.946116
per_agent_no_scene,eth_ucy_ewap,silver,25,4.360079,4.360079,0.0,3.572197,160,0.0,0.0,0.307675,0.968713
per_agent_no_scene,eth_ucy_ewap,silver,50,4.884364,4.884364,0.0,4.164947,160,0.0,0.0,0.307675,0.984239
per_agent_no_scene,eth_ucy_ewap,silver,100,5.460224,5.460224,0.0,4.692049,160,0.0,0.0,0.307675,0.992403
per_agent_no_scene,eth_ucy_ewap,ge2,1,0.618865,0.618865,0.0,0.618865,160,0.0,0.0,0.307675,1.0
per_agent_no_scene,eth_ucy_ewap,ge2,5,2.51635,2.51635,0.0,1.701286,160,0.0,0.0,0.307675,0.936875
per_agent_no_scene,eth_ucy_ewap,ge2,10,3.678802,3.678802,0.0,2.544834,160,0.0,0.0,0.307675,0.946116
per_agent_no_scene,eth_ucy_ewap,ge2,25,4.360079,4.360079,0.0,3.572197,160,0.0,0.0,0.307675,0.968713
per_agent_no_scene,eth_ucy_ewap,ge2,50,4.884364,4.884364,0.0,4.164947,160,0.0,0.0,0.307675,0.984239
per_agent_no_scene,eth_ucy_ewap,ge2,100,5.460224,5.460224,0.0,4.692049,160,0.0,0.0,0.307675,0.992403
per_agent_no_scene,eth_ucy_ewap,ge5,1,0.618865,0.618865,0.0,0.618865,160,0.0,0.0,0.307675,1.0
per_agent_no_scene,eth_ucy_ewap,ge5,5,2.51635,2.51635,0.0,1.701286,160,0.0,0.0,0.307675,0.936875
per_agent_no_scene,eth_ucy_ewap,ge5,10,3.678802,3.678802,0.0,2.544834,160,0.0,0.0,0.307675,0.946116
per_agent_no_scene,eth_ucy_ewap,ge5,25,4.360079,4.360079,0.0,3.572197,160,0.0,0.0,0.307675,0.968713
per_agent_no_scene,eth_ucy_ewap,ge5,50,4.884364,4.884364,0.0,4.164947,160,0.0,0.0,0.307675,0.984239
per_agent_no_scene,eth_ucy_ewap,ge5,100,5.460224,5.460224,0.0,4.692049,160,0.0,0.0,0.307675,0.992403
per_agent_no_scene,eth_ucy_ewap,metric,1,0.618865,0.618865,0.0,0.618865,160,0.0,0.0,0.307675,1.0
per_agent_no_scene,eth_ucy_ewap,metric,5,2.51635,2.51635,0.0,1.701286,160,0.0,0.0,0.307675,0.936875
per_agent_no_scene,eth_ucy_ewap,metric,10,3.678802,3.678802,0.0,2.544834,160,0.0,0.0,0.307675,0.946116
per_agent_no_scene,eth_ucy_ewap,metric,25,4.360079,4.360079,0.0,3.572197,160,0.0,0.0,0.307675,0.968713
per_agent_no_scene,eth_ucy_ewap,metric,50,4.884364,4.884364,0.0,4.164947,160,0.0,0.0,0.307675,0.984239
per_agent_no_scene,eth_ucy_ewap,metric,100,5.460224,5.460224,0.0,4.692049,160,0.0,0.0,0.307675,0.992403
per_agent_no_scene,trajnet,all,1,1.433782,1.434547,0.000534,1.433782,30,0.566133,1.0,0.198278,1.0
per_agent_no_scene,trajnet,all,5,10.363338,10.375013,0.001125,6.43157,30,0.566133,1.0,0.198278,0.893333
per_agent_no_scene,trajnet,all,10,20.752359,20.771859,0.000939,11.602735,30,0.566133,1.0,0.198278,0.916667
per_agent_no_scene,trajnet,hard,1,1.433782,1.434547,0.000534,1.433782,30,0.566133,1.0,0.198278,1.0
per_agent_no_scene,trajnet,hard,5,10.363338,10.375013,0.001125,6.43157,30,0.566133,1.0,0.198278,0.893333
per_agent_no_scene,trajnet,hard,10,20.752359,20.771859,0.000939,11.602735,30,0.566133,1.0,0.198278,0.916667
per_agent_no_scene,trajnet,baseline_failure,1,1.355442,1.35613,0.000507,1.355442,25,0.566133,1.0,0.205444,1.0
per_agent_no_scene,trajnet,baseline_failure,5,10.385329,10.398949,0.00131,6.36456,25,0.566133,1.0,0.205444,0.912
per_agent_no_scene,trajnet,baseline_failure,10,21.108747,21.131931,0.001097,11.74718,25,0.566133,1.0,0.205444,0.936
per_agent_no_scene,trajnet,goalbench_official,1,1.433782,1.434547,0.000534,1.433782,30,0.566133,1.0,0.198278,1.0
per_agent_no_scene,trajnet,goalbench_official,5,10.363338,10.375013,0.001125,6.43157,30,0.566133,1.0,0.198278,0.893333
per_agent_no_scene,trajnet,goalbench_official,10,20.752359,20.771859,0.000939,11.602735,30,0.566133,1.0,0.198278,0.916667
per_agent_no_scene,trajnet,silver,1,1.433782,1.434547,0.000534,1.433782,30,0.566133,1.0,0.198278,1.0
per_agent_no_scene,trajnet,silver,5,10.363338,10.375013,0.001125,6.43157,30,0.566133,1.0,0.198278,0.893333
