trial,held_site,objective,seed,step,loss,gradient_norm,learning_rate,supported_batch_rows,mean_past_normalized_ADE
coupa_past_normalized_seed17,coupa,past_normalized,17,1,0.9292575120925903,0.09990350157022476,0.0003,63,85.37548828125
coupa_past_normalized_seed17,coupa,past_normalized,17,50,0.002045227214694023,0.072507344186306,0.00029988999006034904,63,0.18275213241577148
coupa_past_normalized_seed17,coupa,past_normalized,17,100,3.0595645904541016,0.050552111119031906,0.0002995511049040809,63,390.1463623046875
coupa_past_normalized_seed17,coupa,past_normalized,17,150,0.0018670472782105207,0.016153817996382713,0.00029898382150483655,62,0.16606439650058746
coupa_past_normalized_seed17,coupa,past_normalized,17,200,0.3795177638530731,0.09643569588661194,0.0002981890150099629,63,29.640399932861328
coupa_past_normalized_seed17,coupa,past_normalized,17,250,2.8591105937957764,0.010821419768035412,0.00029716791156638426,64,260.61962890625
coupa_past_normalized_seed17,coupa,past_normalized,17,300,0.24293525516986847,0.051759082823991776,0.00029592208642902746,63,20.403514862060547
coupa_past_normalized_seed17,coupa,past_normalized,17,350,1.1234465837478638,0.04779881238937378,0.0002944534615306779,63,110.21023559570312
coupa_past_normalized_seed17,coupa,past_normalized,17,400,0.3936850428581238,0.14408665895462036,0.0002927643025170163,63,50.121368408203125
coupa_past_normalized_seed17,coupa,past_normalized,17,450,0.004011225420981646,0.12493910640478134,0.0002908572152514106,63,0.2899555265903473
coupa_past_normalized_seed17,coupa,past_normalized,17,500,4.297153472900391,0.0296054407954216,0.00028873514179485345,64,354.260009765625
coupa_past_normalized_seed17,coupa,past_normalized,17,550,5.837022304534912,0.021265245974063873,0.00028640135586724896,62,730.6959228515625
coupa_past_normalized_seed17,coupa,past_normalized,17,600,1.4500560760498047,0.032368745654821396,0.0002838594577970492,63,169.92698669433594
coupa_past_normalized_seed17,coupa,past_normalized,17,650,0.6142569184303284,0.020308852195739746,0.00028111336896703226,61,69.61673736572266
coupa_past_normalized_seed17,coupa,past_normalized,17,700,0.17207568883895874,0.04949676990509033,0.00027816732576479037,61,18.00782012939453
coupa_past_normalized_seed17,coupa,past_normalized,17,750,5.045564651489258,0.013431379571557045,0.00027502587304726044,63,601.8724365234375
