trial,site,seed,arm,rows,brier,mask_lift,own_prior_lift,auroc,auprc,ece,log_loss,mean_probability,positive_rate,training_prior,training_brier,mask_mean_shift,mask_varying_prediction,prior_mean_shift,prior_varying_prediction
mask_only_bookstore_seed17,bookstore,17,mask_only,6944,0.2713035269615511,0.0,-0.022979559821188177,0.520700242132774,0.46402075884543537,0.12477941918453742,0.75011985852642,0.4479575455188751,0.45722926267281105,0.44484769928710355,0.20795344306526942,0.0,0.0,6.73378917071599e-05,-0.023046897712895347
past_rgb_bookstore_seed17,bookstore,17,past_rgb,6944,0.2947673394718233,-0.02346381251027224,-0.04644337233146043,0.5047922233387582,0.4497665221741165,0.16826738938274802,0.8153435845414224,0.5523064732551575,0.45722926267281105,0.44484769928710355,0.19507582137682777,-0.008953706777323336,-0.014510105732948895,-0.008886368885616176,-0.03755700344584424
mask_only_bookstore_seed29,bookstore,29,mask_only,6944,0.2741640810437461,0.0,-0.025840113903383227,0.5164121312906993,0.45561128391409483,0.12288700034404666,0.7575587579911458,0.4506305754184723,0.45722926267281105,0.44484769928710355,0.20483711708938007,0.0,0.0,0.00010976007536734543,-0.025949873978750586
past_rgb_bookstore_seed29,bookstore,29,past_rgb,6944,0.2945721497915915,-0.02040806874784539,-0.046248182651228625,0.5046110102514713,0.444824294677785,0.18616776608722901,0.8234775858118828,0.46769988536834717,0.45722926267281105,0.44484769928710355,0.1777281210254325,-6.609102660703263e-05,-0.020341977721238358,4.3669048760312795e-05,-0.046291851699988944
mask_only_bookstore_seed43,bookstore,43,mask_only,6944,0.27884077851287564,0.0,-0.030516811372512803,0.4939104129627733,0.44367565428927414,0.14358082237494638,0.7656745217166713,0.4750652313232422,0.45722926267281105,0.44484769928710355,0.20707349541818895,0.0,0.0,-0.000164818750717247,-0.030351992621795564
past_rgb_bookstore_seed43,bookstore,43,past_rgb,6944,0.29959710564734604,-0.020756327134470343,-0.051273138506983146,0.4776708456680379,0.4303901935384452,0.18568657881908618,0.823652670105849,0.5055143237113953,0.45722926267281105,0.44484769928710355,0.19310852702272102,-0.002013328435873419,-0.01874299869859693,-0.0021781471865906657,-0.049094991320392495
mask_only_coupa_seed17,coupa,17,mask_only,4250,0.28567163812310814,0.0,-0.011026119540606512,0.5522028478806855,0.6146934189682388,0.20929719743789993,0.7816393195827293,0.40920156240463257,0.5990588235294118,0.4134297064665628,0.2145730393526624,0.0,0.0,-0.0015876036883117131,-0.009438515852294702
past_rgb_coupa_seed17,coupa,17,past_rgb,4250,0.3217425691796968,-0.036070931056588616,-0.04709705059719513,0.5667142419850341,0.6273476272575726,0.27533975775956226,0.8865451110885622,0.3352767825126648,0.5990588235294118,0.4134297064665628,0.20736904840287773,-0.03353520661308412,-0.002535724443504493,-0.035122810301395836,-0.011974240295799195
mask_only_coupa_seed29,coupa,29,mask_only,4250,0.2777281812816331,0.0,-0.0030826626991314293,0.5793666489642226,0.6393466655937527,0.19696110839068012,0.7668246684083265,0.42083778977394104,0.5990588235294118,0.4134297064665628,0.21221380550040908,0.0,0.0,0.002695426659582306,-0.005778089358713646
past_rgb_coupa_seed29,coupa,29,past_rgb,4250,0.31228244340184047,-0.03455426212020731,-0.03763692481933875,0.577011163603775,0.6389549660314751,0.25745924985715574,0.8644211404814713,0.356595516204834,0.5990588235294118,0.4134297064665628,0.20059695995045995,-0.027025705541914746,-0.007528556578292569,-0.02433027888233244,-0.013306645937006215
mask_only_coupa_seed43,coupa,43,mask_only,4250,0.28582544330628123,0.0,-0.01117992472377953,0.5554109548624557,0.6232123749319644,0.21497869649354148,0.7795438508464754,0.4043682813644409,0.5990588235294118,0.4134297064665628,0.21324319290613872,0.0,0.0,-0.0034462380113912117,-0.007733686712388225
