trial,step,bce,gradient_norm
mask_only_bookstore_seed17,1,0.6923683285713196,0.13237492740154266
mask_only_bookstore_seed17,100,0.6697515249252319,0.12865975499153137
mask_only_bookstore_seed17,200,0.6590834856033325,0.14790163934230804
mask_only_bookstore_seed17,300,0.6906096339225769,0.2024776041507721
mask_only_bookstore_seed17,400,0.679187536239624,0.2632512152194977
mask_only_bookstore_seed17,500,0.6365342736244202,0.27993372082710266
mask_only_bookstore_seed17,600,0.678649365901947,0.3369040787220001
mask_only_bookstore_seed17,700,0.6540844440460205,0.30489468574523926
mask_only_bookstore_seed17,800,0.6399979591369629,0.38342660665512085
mask_only_bookstore_seed17,900,0.6012721657752991,0.36376169323921204
mask_only_bookstore_seed17,1000,0.6137365102767944,0.41280466318130493
mask_only_bookstore_seed17,1100,0.6501811742782593,0.5190028548240662
mask_only_bookstore_seed17,1200,0.6722451448440552,0.5189540386199951
mask_only_bookstore_seed17,1300,0.6519957184791565,0.4798904061317444
mask_only_bookstore_seed17,1400,0.6567520499229431,0.42257410287857056
mask_only_bookstore_seed17,1500,0.6367060542106628,0.5169200301170349
mask_only_bookstore_seed17,1600,0.5921034812927246,0.5824556350708008
mask_only_bookstore_seed17,1700,0.5353347063064575,0.5702211856842041
mask_only_bookstore_seed17,1800,0.5917426943778992,0.545407235622406
mask_only_bookstore_seed17,1900,0.5853959918022156,0.6702836751937866
mask_only_bookstore_seed17,2000,0.5889161825180054,0.6979094743728638
past_rgb_bookstore_seed17,1,0.6922910809516907,0.1322341114282608
past_rgb_bookstore_seed17,100,0.6698799133300781,0.12900684773921967
past_rgb_bookstore_seed17,200,0.6591218709945679,0.14951123297214508
past_rgb_bookstore_seed17,300,0.6895031929016113,0.20525133609771729
past_rgb_bookstore_seed17,400,0.6818158030509949,0.2657133638858795
past_rgb_bookstore_seed17,500,0.6344529390335083,0.2945328652858734
past_rgb_bookstore_seed17,600,0.6738834977149963,0.3539334535598755
past_rgb_bookstore_seed17,700,0.6427492499351501,0.34339505434036255
past_rgb_bookstore_seed17,800,0.6240541338920593,0.42434701323509216
past_rgb_bookstore_seed17,900,0.5674148201942444,0.4166174530982971
past_rgb_bookstore_seed17,1000,0.6070643663406372,0.48668035864830017
past_rgb_bookstore_seed17,1100,0.6231468915939331,0.6682522892951965
past_rgb_bookstore_seed17,1200,0.6907281875610352,0.6574464440345764
past_rgb_bookstore_seed17,1300,0.6179556846618652,0.5590862035751343
past_rgb_bookstore_seed17,1400,0.6484396457672119,0.611942708492279
past_rgb_bookstore_seed17,1500,0.6578239798545837,0.6216368079185486
past_rgb_bookstore_seed17,1600,0.5384936928749084,0.7292996644973755
past_rgb_bookstore_seed17,1700,0.5310761332511902,0.7443010210990906
past_rgb_bookstore_seed17,1800,0.5538307428359985,0.7768356204032898
past_rgb_bookstore_seed17,1900,0.5562469959259033,0.7008798718452454
past_rgb_bookstore_seed17,2000,0.5773766040802002,0.7585979104042053
mask_only_bookstore_seed29,1,0.6786479949951172,0.11731982231140137
mask_only_bookstore_seed29,100,0.6875614523887634,0.11923279613256454
mask_only_bookstore_seed29,200,0.6698077321052551,0.1149139553308487
mask_only_bookstore_seed29,300,0.6572959423065186,0.2100207507610321
mask_only_bookstore_seed29,400,0.6671127080917358,0.23643040657043457
mask_only_bookstore_seed29,500,0.66710364818573,0.2967256009578705
mask_only_bookstore_seed29,600,0.5982674360275269,0.33216169476509094
mask_only_bookstore_seed29,700,0.6765166521072388,0.3867853283882141
mask_only_bookstore_seed29,800,0.6360050439834595,0.31129327416419983
mask_only_bookstore_seed29,900,0.6094933152198792,0.3158867657184601
mask_only_bookstore_seed29,1000,0.6622580885887146,0.607511043548584
mask_only_bookstore_seed29,1100,0.6507511138916016,0.644589364528656
mask_only_bookstore_seed29,1200,0.6419318318367004,0.4662327766418457
mask_only_bookstore_seed29,1300,0.6395125389099121,0.568474292755127
mask_only_bookstore_seed29,1400,0.6560465097427368,0.6015070676803589
