model,predictor,ADE_gain_pct,ADE_CI_low,ADE_CI_high,FDE_gain_pct,hard_gain_pct,easy_degradation_pct,worst_site_easy_degradation_pct,source,json_pointer
Causal CV,constant_velocity,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,native_eqmotion_v1,/summaries/constant_velocity
"Transformer, uncontrolled",transformer,7.633080843114261,5.96322487698451,9.302157577621328,8.645107000842952,10.657509119427717,21.709675066868346,32.4714150845506,native_eqmotion_v1,/summaries/transformer/mean_seed
"EqMotion K=1, uncontrolled",eqmotion,11.043498446055226,8.224567009793134,13.397602185227885,12.391089779026586,15.401484473617348,35.24967627159415,45.903498330980355,native_eqmotion_v1,/summaries/eqmotion/mean_seed
Native-cost strict,eqmotion,3.0671900586421716,1.4720904903170573,5.2849556819168,3.3413456845249923,4.304510187691124,2.499768267569361,6.344099518472657,cost_budget_matched_v1,/summaries/native/strict_stop
Fraction-cost strict,eqmotion,1.657668920635867,0.8928682069497651,2.920112636636035,1.7856900398668063,0.7870130636353732,-1.5886442848964364,0.48165877710728555,cost_budget_matched_v1,/summaries/fraction/strict_stop
Intermediate-cost strict,eqmotion,3.728921978984225,2.293034590780374,5.390951696785482,4.030886595891824,3.7438605939146976,-0.8139487798316245,2.947235169420348,cost_budget_matched_v1,/summaries/tempered/strict_stop
Region-weighted strict,eqmotion,4.097635998140567,2.62299603101252,5.993974451086603,4.410906185886555,4.259564037601509,-0.5749000107553378,2.9333183057717704,conditional_cost_v1,/summaries/strict_stop
Region-weighted net-gain,eqmotion,11.95077738330111,9.514675796190232,13.815554256498613,12.787190662493144,14.22402244753578,21.68172188235281,34.09189391022138,conditional_cost_v1,/summaries/net_stop
