family,candidate,control,lower_fraction,upper_fraction,queries,predicted_harm_mean,observed_harm_lower_bound_mean,fully_scored_selected_queries,exact_harm_mean,predicted_harm_mean_on_exact_subset
eqmotion,seed29_neural_cost_moderate,independent_coupling_reference,0.25,0.5,17,0.00869206856826649,0.010420252763473076,1,0.11173732997105183,0.007683496456593275
eqmotion,seed29_neural_cost_moderate,independent_coupling_reference,0.5,0.75,0,,,0,,
eqmotion,seed29_neural_cost_moderate,independent_coupling_reference,0.75,1.00000001,0,,,0,,
eqmotion,seed29_neural_cost_moderate,unary_geometry_exact_count,0.0,0.25,953,0.0013822200284093037,0.005326995195167047,571,0.00495149012090166,0.0008087084494010904
eqmotion,seed29_neural_cost_moderate,unary_geometry_exact_count,0.25,0.5,17,0.00869206856826649,0.010420252763473076,1,0.11173732997105183,0.007683496456593275
eqmotion,seed29_neural_cost_moderate,unary_geometry_exact_count,0.5,0.75,0,,,0,,
eqmotion,seed29_neural_cost_moderate,unary_geometry_exact_count,0.75,1.00000001,0,,,0,,
eqmotion,seed29_neural_cost_moderate,joint_coupling_exact_count,0.0,0.25,953,0.0013822200284093037,0.005326995195167047,571,0.00495149012090166,0.0008087084494010904
eqmotion,seed29_neural_cost_moderate,joint_coupling_exact_count,0.25,0.5,17,0.00869206856826649,0.010420252763473076,1,0.11173732997105183,0.007683496456593275
eqmotion,seed29_neural_cost_moderate,joint_coupling_exact_count,0.5,0.75,0,,,0,,
eqmotion,seed29_neural_cost_moderate,joint_coupling_exact_count,0.75,1.00000001,0,,,0,,
eqmotion,seed43_ridge_conservative,independent_coupling_reference,0.0,0.25,970,3.97632482113248e-05,0.02271288911014125,486,0.01990535577156376,2.1081906616841798e-05
eqmotion,seed43_ridge_conservative,independent_coupling_reference,0.25,0.5,0,,,0,,
eqmotion,seed43_ridge_conservative,independent_coupling_reference,0.5,0.75,0,,,0,,
eqmotion,seed43_ridge_conservative,independent_coupling_reference,0.75,1.00000001,0,,,0,,
eqmotion,seed43_ridge_conservative,unary_geometry_exact_count,0.0,0.25,970,3.97632482113248e-05,0.02271288911014125,486,0.01990535577156376,2.1081906616841798e-05
eqmotion,seed43_ridge_conservative,unary_geometry_exact_count,0.25,0.5,0,,,0,,
eqmotion,seed43_ridge_conservative,unary_geometry_exact_count,0.5,0.75,0,,,0,,
eqmotion,seed43_ridge_conservative,unary_geometry_exact_count,0.75,1.00000001,0,,,0,,
eqmotion,seed43_ridge_conservative,joint_coupling_exact_count,0.0,0.25,970,3.97632482113248e-05,0.02271288911014125,486,0.01990535577156376,2.1081906616841798e-05
eqmotion,seed43_ridge_conservative,joint_coupling_exact_count,0.25,0.5,0,,,0,,
eqmotion,seed43_ridge_conservative,joint_coupling_exact_count,0.5,0.75,0,,,0,,
eqmotion,seed43_ridge_conservative,joint_coupling_exact_count,0.75,1.00000001,0,,,0,,
eqmotion,seed43_ridge_moderate,independent_coupling_reference,0.0,0.25,970,0.00013499141591356167,0.023471266996890422,459,0.020530520035122048,6.63196239096071e-05
eqmotion,seed43_ridge_moderate,independent_coupling_reference,0.25,0.5,0,,,0,,
eqmotion,seed43_ridge_moderate,independent_coupling_reference,0.5,0.75,0,,,0,,
eqmotion,seed43_ridge_moderate,independent_coupling_reference,0.75,1.00000001,0,,,0,,
eqmotion,seed43_ridge_moderate,unary_geometry_exact_count,0.0,0.25,970,0.00013499141591356167,0.023471266996890422,459,0.020530520035122048,6.63196239096071e-05
eqmotion,seed43_ridge_moderate,unary_geometry_exact_count,0.25,0.5,0,,,0,,
eqmotion,seed43_ridge_moderate,unary_geometry_exact_count,0.5,0.75,0,,,0,,
eqmotion,seed43_ridge_moderate,unary_geometry_exact_count,0.75,1.00000001,0,,,0,,
eqmotion,seed43_ridge_moderate,joint_coupling_exact_count,0.0,0.25,970,0.00013499141591356167,0.023471266996890422,459,0.020530520035122048,6.63196239096071e-05
eqmotion,seed43_ridge_moderate,joint_coupling_exact_count,0.25,0.5,0,,,0,,
eqmotion,seed43_ridge_moderate,joint_coupling_exact_count,0.5,0.75,0,,,0,,
eqmotion,seed43_ridge_moderate,joint_coupling_exact_count,0.75,1.00000001,0,,,0,,
eqmotion,seed43_neural_cost_conservative,independent_coupling_reference,0.0,0.25,940,0.0004704485026468803,0.0025979681889406205,746,0.00228577349083585,0.00034223256667135517
eqmotion,seed43_neural_cost_conservative,independent_coupling_reference,0.25,0.5,29,0.003180409813749379,0.0019635915052714464,7,0.0017161684313338338,0.003153331145378096
eqmotion,seed43_neural_cost_conservative,independent_coupling_reference,0.5,0.75,1,0.006555487401783466,0.0,0,,
eqmotion,seed43_neural_cost_conservative,independent_coupling_reference,0.75,1.00000001,0,,,0,,
eqmotion,seed43_neural_cost_conservative,unary_geometry_exact_count,0.0,0.25,940,0.0004704485026468803,0.0025979681889406205,746,0.00228577349083585,0.00034223256667135517
eqmotion,seed43_neural_cost_conservative,unary_geometry_exact_count,0.25,0.5,29,0.003180409813749379,0.0019635915052714464,7,0.0017161684313338338,0.003153331145378096
eqmotion,seed43_neural_cost_conservative,unary_geometry_exact_count,0.5,0.75,1,0.006555487401783466,0.0,0,,
eqmotion,seed43_neural_cost_conservative,unary_geometry_exact_count,0.75,1.00000001,0,,,0,,
eqmotion,seed43_neural_cost_conservative,joint_coupling_exact_count,0.0,0.25,940,0.0004704485026468803,0.0025979681889406205,746,0.00228577349083585,0.00034223256667135517
eqmotion,seed43_neural_cost_conservative,joint_coupling_exact_count,0.25,0.5,29,0.003180409813749379,0.0019635915052714464,7,0.0017161684313338338,0.003153331145378096
eqmotion,seed43_neural_cost_conservative,joint_coupling_exact_count,0.5,0.75,1,0.006555487401783466,0.0,0,,
eqmotion,seed43_neural_cost_conservative,joint_coupling_exact_count,0.75,1.00000001,0,,,0,,
eqmotion,seed43_neural_cost_moderate,independent_coupling_reference,0.0,0.25,962,0.0012500583285162416,0.003924111292489927,653,0.0037757475973390644,0.0007852735048506623
eqmotion,seed43_neural_cost_moderate,independent_coupling_reference,0.25,0.5,8,0.009315617324318737,0.0026564311266016665,1,0.00464823511162302,0.009356305003166199
eqmotion,seed43_neural_cost_moderate,independent_coupling_reference,0.5,0.75,0,,,0,,
eqmotion,seed43_neural_cost_moderate,independent_coupling_reference,0.75,1.00000001,0,,,0,,
eqmotion,seed43_neural_cost_moderate,unary_geometry_exact_count,0.0,0.25,962,0.0012500583285162416,0.003924111292489927,653,0.0037757475973390644,0.0007852735048506623
eqmotion,seed43_neural_cost_moderate,unary_geometry_exact_count,0.25,0.5,8,0.009315617324318737,0.0026564311266016665,1,0.00464823511162302,0.009356305003166199
eqmotion,seed43_neural_cost_moderate,unary_geometry_exact_count,0.5,0.75,0,,,0,,
eqmotion,seed43_neural_cost_moderate,unary_geometry_exact_count,0.75,1.00000001,0,,,0,,
eqmotion,seed43_neural_cost_moderate,joint_coupling_exact_count,0.0,0.25,962,0.0012500583285162416,0.003924111292489927,653,0.0037757475973390644,0.0007852735048506623
eqmotion,seed43_neural_cost_moderate,joint_coupling_exact_count,0.25,0.5,8,0.009315617324318737,0.0026564311266016665,1,0.00464823511162302,0.009356305003166199
eqmotion,seed43_neural_cost_moderate,joint_coupling_exact_count,0.5,0.75,0,,,0,,
eqmotion,seed43_neural_cost_moderate,joint_coupling_exact_count,0.75,1.00000001,0,,,0,,
