family,candidate,control,lower_fraction,upper_fraction,queries,predicted_harm_mean,observed_harm_lower_bound_mean,fully_scored_selected_queries,exact_harm_mean,predicted_harm_mean_on_exact_subset
transformer,seed17_neural_cost_moderate,joint_coupling_exact_count,0.0,0.25,898,0.0021870047370073347,0.0012281935822143805,381,0.0010392133591203942,0.000971348724160539
transformer,seed17_neural_cost_moderate,joint_coupling_exact_count,0.25,0.5,67,0.00962057857732497,0.005063263797480276,2,0.010220376172573703,0.012005403637886047
transformer,seed17_neural_cost_moderate,joint_coupling_exact_count,0.5,0.75,5,0.016563554853200914,0.0016158939282728425,0,,
transformer,seed17_neural_cost_moderate,joint_coupling_exact_count,0.75,1.00000001,0,,,0,,
transformer,seed29_ridge_conservative,independent_coupling_reference,0.0,0.25,968,0.00024567489306982944,0.003777629056406395,311,0.0038840423958079145,0.0001759819650740733
transformer,seed29_ridge_conservative,independent_coupling_reference,0.25,0.5,2,0.0026715744752436876,0.0015357520630286533,0,,
transformer,seed29_ridge_conservative,independent_coupling_reference,0.5,0.75,0,,,0,,
transformer,seed29_ridge_conservative,independent_coupling_reference,0.75,1.00000001,0,,,0,,
transformer,seed29_ridge_conservative,unary_geometry_exact_count,0.0,0.25,968,0.0002454189554880899,0.003777629056406395,311,0.0038840423958079145,0.0001759819650740733
transformer,seed29_ridge_conservative,unary_geometry_exact_count,0.25,0.5,2,0.0026715744752436876,0.0015357520630286533,0,,
transformer,seed29_ridge_conservative,unary_geometry_exact_count,0.5,0.75,0,,,0,,
transformer,seed29_ridge_conservative,unary_geometry_exact_count,0.75,1.00000001,0,,,0,,
transformer,seed29_ridge_conservative,joint_coupling_exact_count,0.0,0.25,968,0.00024567489306982944,0.003777629056406395,311,0.0038840423958079145,0.0001759819650740733
transformer,seed29_ridge_conservative,joint_coupling_exact_count,0.25,0.5,2,0.0026715744752436876,0.0015357520630286533,0,,
transformer,seed29_ridge_conservative,joint_coupling_exact_count,0.5,0.75,0,,,0,,
transformer,seed29_ridge_conservative,joint_coupling_exact_count,0.75,1.00000001,0,,,0,,
